,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1, N01 Tuesday evening ,2024-04-16T18:27:59.000,39.175714773,-84.447644989,79.0,4.0,4.0,4.0,52.0
2, N01 Tuesday evening ,2024-04-16T18:28:09.000,39.175722077,-84.447673004,79.0,3.3333333,4.0,3.6666667,53.0
3, N01 Tuesday evening ,2024-04-16T18:28:14.000,39.175727431,-84.44769502,80.0,2.8,3.6,2.8,53.0
4, N01 Tuesday evening ,2024-04-16T18:28:19.000,39.175728235,-84.447686195,80.0,3.0,4.0,3.0,53.0
5, N01 Tuesday evening ,2024-04-16T18:28:24.000,39.17573786,-84.447677086,80.0,3.6,4.4,4.0,53.0
6, N01 Tuesday evening ,2024-04-16T18:28:29.000,39.175709501,-84.44768796,80.0,3.4,4.4,3.8,53.0
7, N01 Tuesday evening ,2024-04-16T18:28:34.000,39.175700184,-84.447688452,80.0,3.0,3.8,3.2,53.0
8, N01 Tuesday evening ,2024-04-16T18:28:39.000,39.175700184,-84.447688452,80.0,3.0,3.8,3.0,53.0
9, N01 Tuesday evening ,2024-04-16T18:28:44.000,39.175700184,-84.447688452,80.0,2.0,2.0,2.0,53.0
10, N01 Tuesday evening ,2024-04-16T18:28:49.000,39.175700184,-84.447688452,80.0,3.2,3.8,3.4,52.6
11, N01 Tuesday evening ,2024-04-16T18:28:54.000,39.175700184,-84.447688452,80.0,2.6,3.2,2.6,52.0
12, N01 Tuesday evening ,2024-04-16T18:28:59.000,39.175700184,-84.447688452,80.0,3.0,4.0,3.0,52.0
