,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N01 Wednesday afternoon,2024-04-17T13:38:59.000,39.175755494,-84.447895317,75.0,4.0,5.0,5.0,65.0
2,N01 Wednesday afternoon,2024-04-17T13:39:00.000,39.175757846,-84.447890496,75.0,4.0,5.0,5.0,65.0
3,N01 Wednesday afternoon,2024-04-17T13:39:01.000,39.175752561,-84.447895301,75.0,4.0,5.0,5.0,65.0
4,N01 Wednesday afternoon,2024-04-17T13:39:02.000,39.175748506,-84.447882791,75.0,4.0,5.0,5.0,64.0
5,N01 Wednesday afternoon,2024-04-17T13:39:03.000,39.175750294,-84.447866115,75.0,4.0,5.0,5.0,64.0
6,N01 Wednesday afternoon,2024-04-17T13:39:04.000,39.175750684,-84.447860846,75.0,5.0,6.0,6.0,64.0
7,N01 Wednesday afternoon,2024-04-17T13:39:05.000,39.175751291,-84.447858884,75.0,5.0,6.0,6.0,64.0
8,N01 Wednesday afternoon,2024-04-17T13:39:06.000,39.175754078,-84.447860614,75.0,5.0,6.0,6.0,64.0
9,N01 Wednesday afternoon,2024-04-17T13:39:07.000,39.175753731,-84.447852343,75.0,5.0,6.0,6.0,65.0
10,N01 Wednesday afternoon,2024-04-17T13:39:08.000,39.175752314,-84.447836717,75.0,5.0,6.0,6.0,65.0
11,N01 Wednesday afternoon,2024-04-17T13:39:09.000,39.175751711,-84.447823728,75.0,6.0,7.0,7.0,65.0
12,N01 Wednesday afternoon,2024-04-17T13:39:10.000,39.175749596,-84.44781138,75.0,6.0,7.0,7.0,65.0
