,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N01 Wednesday evening,2024-04-17T19:21:40.000,39.175730879,-84.447761912,76.0,0.0,0.0,0.0,54.0
2,N01 Wednesday evening,2024-04-17T19:21:41.000,39.175730971,-84.447766288,76.0,0.0,0.0,0.0,54.0
3,N01 Wednesday evening,2024-04-17T19:21:42.000,39.175730087,-84.447768618,76.0,0.0,0.0,0.0,54.0
4,N01 Wednesday evening,2024-04-17T19:21:43.000,39.17572432,-84.447767347,76.0,0.0,0.0,0.0,54.0
5,N01 Wednesday evening,2024-04-17T19:21:44.000,39.175724211,-84.447774196,76.0,0.0,0.0,0.0,54.0
6,N01 Wednesday evening,2024-04-17T19:21:45.000,39.17572217,-84.447770411,76.0,0.0,0.0,0.0,54.0
7,N01 Wednesday evening,2024-04-17T19:21:46.000,39.175723707,-84.447772067,76.0,0.0,0.0,0.0,54.0
8,N01 Wednesday evening,2024-04-17T19:21:47.000,39.175726388,-84.44777892,76.0,1.0,1.0,1.0,54.0
9,N01 Wednesday evening,2024-04-17T19:21:48.000,39.175726335,-84.447781561,76.0,1.0,1.0,1.0,54.0
10,N01 Wednesday evening,2024-04-17T19:21:49.000,39.17572623,-84.447787795,76.0,1.0,1.0,1.0,54.0
11,N01 Wednesday evening,2024-04-17T19:21:50.000,39.175725995,-84.4477885,76.0,0.0,0.0,0.0,54.0
12,N01 Wednesday evening,2024-04-17T19:21:51.000,39.175724611,-84.447787328,76.0,0.0,0.0,0.0,54.0
