,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N02,2024-04-15T17:05:46.000,39.184293397,-84.423918546,75.0,1.0,1.0,1.0,51.0
2,N02,2024-04-15T17:05:47.000,39.184293397,-84.423918546,76.0,1.0,1.0,1.0,50.0
3,N02,2024-04-15T17:05:48.000,39.184288088,-84.423913623,76.0,1.0,1.0,1.0,50.0
4,N02,2024-04-15T17:05:49.000,39.184288088,-84.423913623,76.0,1.0,1.0,1.0,50.0
5,N02,2024-04-15T17:05:50.000,39.184288088,-84.423913623,76.0,1.0,1.0,1.0,50.0
6,N02,2024-04-15T17:05:51.000,39.184288088,-84.423913623,76.0,1.0,1.0,1.0,50.0
7,N02,2024-04-15T17:05:52.000,39.184288088,-84.423913623,76.0,1.0,1.0,1.0,50.0
8,N02,2024-04-15T17:05:53.000,39.184288088,-84.423913623,76.0,1.0,1.0,1.0,50.0
9,N02,2024-04-15T17:05:54.000,39.184288088,-84.423913623,76.0,1.0,1.0,1.0,50.0
10,N02,2024-04-15T17:05:55.000,39.184288088,-84.423913623,76.0,2.0,2.0,2.0,50.0
11,N02,2024-04-15T17:05:56.000,39.184288088,-84.423913623,76.0,2.0,2.0,2.0,50.0
12,N02,2024-04-15T17:05:57.000,39.184288088,-84.423913623,76.0,2.0,2.0,2.0,50.0
13,N02,2024-04-15T17:05:58.000,39.184288088,-84.423913623,76.0,2.0,2.0,2.0,50.0
14,N02,2024-04-15T17:05:59.000,39.184288088,-84.423913623,76.0,2.0,2.0,2.0,50.0
15,N02,2024-04-15T17:06:00.000,39.18428836,-84.423935575,76.0,2.0,2.0,2.0,50.0
16,N02,2024-04-15T17:06:01.000,39.18428836,-84.423935575,76.0,2.0,2.0,2.0,50.0
17,N02,2024-04-15T17:06:02.000,39.18428836,-84.423935575,76.0,2.0,2.0,2.0,50.0
18,N02,2024-04-15T17:06:03.000,39.18428836,-84.423935575,76.0,2.0,2.0,2.0,50.0
19,N02,2024-04-15T17:06:04.000,39.18428836,-84.423935575,76.0,2.0,2.0,2.0,50.0
20,N02,2024-04-15T17:06:05.000,39.18428836,-84.423935575,76.0,2.0,2.0,2.0,50.0
21,N02,2024-04-15T17:06:06.000,39.18428836,-84.423935575,76.0,2.0,2.0,2.0,50.0
