,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N02,2024-04-16T08:11:55.000,39.133157314,-84.515215183,83.0,0.7878788,0.7878788,0.7878788,35.763638
2,N02,2024-04-16T08:12:55.000,39.13316959,-84.51542972,83.0,0.8333333,0.8333333,0.8333333,34.0
3,N02,2024-04-16T08:13:55.000,39.13316959,-84.51542972,83.0,0.56666666,0.56666666,0.56666666,33.033333
4,N02,2024-04-16T08:14:55.000,39.13316959,-84.51542972,83.0,0.65,0.65,0.65,33.0
5,N02,2024-04-16T08:15:55.000,39.133335716,-84.51539825,83.0,0.6166667,0.6166667,0.6166667,33.0
6,N02,2024-04-16T08:16:55.000,39.133448303,-84.514685967,83.0,0.35,0.35,0.35,33.0
7,N02,2024-04-16T08:17:55.000,39.133442045,-84.514904223,83.0,0.6666667,0.6666667,0.6666667,33.0
8,N02,2024-04-16T08:18:55.000,39.133242244,-84.515376058,83.0,0.5833333,0.5833333,0.5833333,33.0
9,N02,2024-04-16T08:19:55.000,39.133242244,-84.515376058,83.0,0.6166667,0.6166667,0.6166667,33.0
10,N02,2024-04-16T08:20:55.000,39.133242244,-84.515376058,83.0,0.41666666,0.41666666,0.41666666,33.0
11,N02,2024-04-16T08:21:55.000,39.133242244,-84.515376058,83.0,0.73333335,0.73333335,0.73333335,33.0
12,N02,2024-04-16T08:22:55.000,39.133242244,-84.515376058,83.0,0.51666665,0.51666665,0.51666665,33.0
13,N02,2024-04-16T08:23:55.000,39.133242244,-84.515376058,83.0,0.95,0.95,0.95,33.0
14,N02,2024-04-16T08:24:55.000,39.133242244,-84.515376058,83.0,1.4166666,1.4166666,1.4166666,32.65
15,N02,2024-04-16T08:25:55.000,39.133242244,-84.515376058,83.0,1.0333333,1.0333333,1.0333333,32.0
16,N02,2024-04-16T08:26:55.000,39.133242244,-84.515376058,83.2,1.05,1.05,1.05,32.0
17,N02,2024-04-16T08:27:55.000,39.133242244,-84.515376058,83.9,0.69166666,0.69166666,0.69166666,32.0
18,N02,2024-04-16T08:28:55.000,39.133242244,-84.515376058,84.0,0.31666666,0.31666666,0.31666666,32.0
19,N02,2024-04-16T08:29:55.000,39.133242244,-84.515376058,84.0,0.8,0.8,0.8,32.0
20,N02,2024-04-16T08:30:55.000,39.13333536,-84.515553534,84.0,0.8333333,0.8333333,0.8333333,32.0
