,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N02,2024-04-17T08:06:09.000,39.133099893,-84.514860108,79.0,3.0,3.5,3.0,
2,N02,2024-04-17T08:06:09.000,39.133104161,-84.514842793,,,,,47.0
3,N02,2024-04-17T08:06:14.000,39.133126312,-84.514994079,79.0,,,,
4,N02,2024-04-17T08:06:14.000,39.133118301,-84.514973087,,4.0,,,
5,N02,2024-04-17T08:06:14.000,39.133126312,-84.514994079,,,5.0,5.0,46.0
6,N02,2024-04-17T08:06:19.000,39.133136394,-84.515041381,79.0,,,,
7,N02,2024-04-17T08:06:19.000,39.133108876,-84.515019737,,4.0,,,
8,N02,2024-04-17T08:06:19.000,39.133136394,-84.515041381,,,5.0,,
9,N02,2024-04-17T08:06:19.000,39.133108876,-84.515019737,,,,5.0,
10,N02,2024-04-17T08:06:19.000,39.133136394,-84.515041381,,,,,45.8
11,N02,2024-04-17T08:06:24.000,39.133135335,-84.515052743,79.0,3.4,4.2,3.6,45.0
12,N02,2024-04-17T08:06:29.000,39.133135335,-84.515052743,79.0,3.5,4.5,4.0,45.0
13,N02,2024-04-17T08:06:34.000,39.133135335,-84.515052743,79.0,3.8,4.8,4.6,45.0
14,N02,2024-04-17T08:06:39.000,39.133144006,-84.515273936,79.0,3.0,4.0,3.0,45.0
15,N02,2024-04-17T08:06:44.000,39.133144006,-84.515273936,79.0,3.0,4.0,3.0,45.0
16,N02,2024-04-17T08:06:49.000,39.133144006,-84.515273936,79.0,4.2,5.2,5.0,45.0
17,N02,2024-04-17T08:06:54.000,39.133144006,-84.515273936,79.0,4.2,5.2,5.2,45.0
18,N02,2024-04-17T08:06:59.000,39.133144006,-84.515273936,79.0,5.0,6.0,6.0,45.0
19,N02,2024-04-17T08:07:04.000,39.133144006,-84.515273936,79.0,4.2,5.2,5.2,45.0
20,N02,2024-04-17T08:07:09.000,39.133144006,-84.515273936,79.0,4.8,5.8,5.8,45.0
21,N02,2024-04-17T08:07:14.000,39.133144006,-84.515273936,79.0,4.4,5.4,5.4,44.8
22,N02,2024-04-17T08:07:19.000,39.133144006,-84.515273936,79.0,4.4,5.4,5.4,44.0
23,N02,2024-04-17T08:07:24.000,39.133144006,-84.515273936,79.0,3.8,4.8,4.6,44.4
