,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N02,2024-04-17T16:32:31.000,39.133301998,-84.515008726,93.0,0.0,0.0,0.0,30.0
2,N02,2024-04-17T16:32:33.000,39.133296632,-84.51501888,93.0,0.0,0.0,0.0,30.0
3,N02,2024-04-17T16:32:35.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
4,N02,2024-04-17T16:32:36.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
5,N02,2024-04-17T16:32:37.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
6,N02,2024-04-17T16:32:38.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
7,N02,2024-04-17T16:32:39.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
8,N02,2024-04-17T16:32:40.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
9,N02,2024-04-17T16:32:41.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
10,N02,2024-04-17T16:32:42.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
11,N02,2024-04-17T16:32:43.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
12,N02,2024-04-17T16:32:44.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
13,N02,2024-04-17T16:32:45.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
14,N02,2024-04-17T16:32:46.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
15,N02,2024-04-17T16:32:47.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
16,N02,2024-04-17T16:32:48.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
17,N02,2024-04-17T16:32:49.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
18,N02,2024-04-17T16:32:50.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
19,N02,2024-04-17T16:32:51.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
20,N02,2024-04-17T16:32:52.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
21,N02,2024-04-17T16:32:53.000,39.133297371,-84.515019509,93.0,0.0,0.0,0.0,30.0
