,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N02,2024-04-18T07:25:16.000,39.159609233,-84.466635075,67.0,0.27272728,0.27272728,0.27272728,47.47273
2,N02,2024-04-18T07:26:16.000,39.160101864,-84.465197996,67.75,0.0,0.0,0.0,43.483334
3,N02,2024-04-18T07:27:16.000,39.156195735,-84.465584059,68.0,0.0,0.0,0.0,43.1
4,N02,2024-04-18T07:28:16.000,39.15712178,-84.470483154,68.03333,0.0,0.0,0.0,43.45
5,N02,2024-04-18T07:29:16.000,39.154817299,-84.471956295,68.9,0.0,0.0,0.0,43.666668
6,N02,2024-04-18T07:30:16.000,39.148056569,-84.478035166,69.0,0.0,0.0,,
7,N02,2024-04-18T07:30:16.000,39.147987336,-84.478168415,,,,0.0,
8,N02,2024-04-18T07:30:16.000,39.148056569,-84.478035166,,,,,43.033333
9,N02,2024-04-18T07:31:16.000,39.147289513,-84.479460677,69.0,0.0,0.0,0.0,44.0
10,N02,2024-04-18T07:32:16.000,39.140648021,-84.483210122,69.0,0.0,0.0,0.0,43.416668
11,N02,2024-04-18T07:33:16.000,39.134599234,-84.486641676,69.74722,0.0,0.0,0.0,43.886112
12,N02,2024-04-18T07:34:16.000,39.134052291,-84.487534733,70.0,0.0,0.0,0.0,44.0
13,N02,2024-04-18T07:35:16.000,39.134522442,-84.489586912,70.0,0.0,0.0,0.0,44.0
14,N02,2024-04-18T07:36:16.000,39.13478262,-84.493699608,70.0,0.0,0.0,0.0,44.0
15,N02,2024-04-18T07:37:16.000,39.135289397,-84.501973569,70.0,0.0,0.0,0.0,44.0
16,N02,2024-04-18T07:38:16.000,39.135491093,-84.5049511,70.683334,0.0,0.0,0.0,43.816666
17,N02,2024-04-18T07:39:16.000,39.135487108,-84.508544343,71.0,0.0,0.0,0.0,43.933334
18,N02,2024-04-18T07:40:16.000,39.135750173,-84.514847645,71.0,0.1,0.1,0.1,43.833332
19,N02,2024-04-18T07:41:16.000,39.134894146,-84.51580272,71.0,0.0,0.0,0.0,43.833332
20,N02,2024-04-18T07:42:16.000,39.134917699,-84.515297678,71.0,0.0,0.0,0.0,43.85
21,N02,2024-04-18T07:43:16.000,39.134592768,-84.515046757,71.166664,0.51666665,0.51666665,0.51666665,44.0
