,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N02,2024-04-18T18:05:28.000,39.159659979,-84.46662627,70.0,,,,65.0
2,N02,2024-04-19T05:58:58.000,39.159434644,-84.466576381,70.0,1.0,1.0,1.0,65.25
3,N02,2024-04-19T05:59:03.000,39.159408994,-84.4666461,70.0,1.0,1.0,1.0,66.0
4,N02,2024-04-19T05:59:08.000,39.159416474,-84.466657546,70.0,1.0,1.0,1.0,66.0
5,N02,2024-04-19T05:59:13.000,39.159477038,-84.466597593,70.0,0.6,0.6,0.6,66.4
6,N02,2024-04-19T05:59:18.000,39.159516792,-84.466591577,70.0,0.0,0.0,0.0,67.0
7,N02,2024-04-19T05:59:23.000,39.159561504,-84.466536027,70.0,0.0,0.0,0.0,67.0
8,N02,2024-04-19T05:59:28.000,39.159565015,-84.466514625,70.0,0.0,0.0,0.0,67.0
9,N02,2024-04-19T05:59:33.000,39.159559556,-84.466529789,70.0,0.0,0.0,0.0,67.0
10,N02,2024-04-19T05:59:38.000,39.159585296,-84.466563853,70.0,0.0,0.0,0.0,67.0
11,N02,2024-04-19T05:59:43.000,39.159597203,-84.466561794,70.2,0.0,0.0,0.0,67.0
12,N02,2024-04-19T05:59:48.000,39.159600675,-84.46655368,70.8,0.0,0.0,0.0,67.0
13,N02,2024-04-19T05:59:53.000,39.159681739,-84.466584232,71.0,0.6,0.6,0.6,67.0
14,N02,2024-04-19T05:59:58.000,39.159633096,-84.466551234,71.0,0.0,0.0,0.0,68.0
15,N02,2024-04-19T06:00:03.000,39.159613411,-84.466545928,71.0,0.0,0.0,0.0,67.8
16,N02,2024-04-19T06:00:08.000,39.159617811,-84.466556849,71.0,0.4,0.4,0.4,65.0
17,N02,2024-04-19T06:00:13.000,39.159618973,-84.466565746,71.0,0.2,0.2,0.2,61.8
18,N02,2024-04-19T06:00:18.000,39.159632081,-84.466578139,71.0,0.0,0.0,0.0,60.0
19,N02,2024-04-19T06:00:23.000,39.159667814,-84.466556484,71.0,0.0,0.0,0.0,57.8
20,N02,2024-04-19T06:00:28.000,39.159713808,-84.466502161,71.0,0.0,0.0,0.0,56.4
21,N02,2024-04-19T06:00:33.000,39.15969311,-84.466132888,71.0,0.0,0.0,0.0,56.0
22,N02,2024-04-19T06:00:38.000,39.15959321,-84.465636965,71.0,0.0,0.0,0.0,55.4
