,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N02,2024-04-19T08:28:45.000,39.159600846,-84.466587886,73.0,,,,53.0
2,N02,2024-04-19T09:00:43.000,39.159537956,-84.466481186,73.0,4.0,4.0,4.0,53.0
3,N02,2024-04-19T09:00:45.000,39.159537956,-84.466481186,73.0,5.0,5.0,6.0,53.0
4,N02,2024-04-19T09:00:47.000,39.159537956,-84.466481186,73.0,5.0,6.0,6.0,53.0
5,N02,2024-04-19T09:00:48.000,39.159537956,-84.466481186,73.0,5.0,6.0,6.0,53.0
6,N02,2024-04-19T09:00:50.000,39.159537956,-84.466481186,73.0,,,,
7,N02,2024-04-19T09:00:50.000,39.159562523,-84.466502549,73.0,5.0,,,
8,N02,2024-04-19T09:00:50.000,39.159537956,-84.466481186,,5.0,6.0,,
9,N02,2024-04-19T09:00:50.000,39.159562523,-84.466502549,,,6.0,,
10,N02,2024-04-19T09:00:50.000,39.159537956,-84.466481186,,,,6.0,
11,N02,2024-04-19T09:00:50.000,39.159562523,-84.466502549,,,,6.0,53.0
12,N02,2024-04-19T09:00:50.000,39.159537956,-84.466481186,,,,,53.0
13,N02,2024-04-19T09:00:52.000,39.159588256,-84.466526267,73.0,5.0,6.0,6.0,53.0
14,N02,2024-04-19T09:00:53.000,39.159609227,-84.466542342,73.0,3.0,4.0,3.0,53.0
15,N02,2024-04-19T09:00:54.000,39.159619544,-84.466547023,73.0,3.0,4.0,3.0,53.0
16,N02,2024-04-19T09:00:55.000,39.159625371,-84.466551131,73.0,3.0,4.0,3.0,53.0
17,N02,2024-04-19T09:00:56.000,39.159614818,-84.46655033,73.0,3.0,4.0,3.0,53.0
18,N02,2024-04-19T09:00:57.000,39.159612,-84.466550008,73.0,3.0,4.0,3.0,53.0
19,N02,2024-04-19T09:00:58.000,39.159613088,-84.466547647,73.0,3.0,4.0,3.0,53.0
20,N02,2024-04-19T09:00:59.000,39.159619963,-84.466535254,73.0,3.0,4.0,3.0,53.0
21,N02,2024-04-19T09:01:00.000,39.159626284,-84.46652859,73.0,3.0,4.0,3.0,53.0
22,N02,2024-04-19T09:01:01.000,39.159624812,-84.46652497,73.0,2.0,2.0,2.0,53.0
23,N02,2024-04-19T09:01:02.000,39.159623521,-84.466525311,73.0,2.0,2.0,2.0,53.0
