,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N02,2024-04-19T10:24:58.000,39.15962636,-84.466538124,74.0,,,,32.0
2,N02,2024-04-20T11:21:08.000,39.20367278,-84.368745217,81.0,8.8,9.6,9.4,27.8
3,N02,2024-04-20T11:21:13.000,39.203623404,-84.36873683,81.0,12.4,14.0,13.0,27.0
4,N02,2024-04-20T11:21:18.000,39.203614919,-84.368733753,81.0,8.0,9.0,8.6,27.0
5,N02,2024-04-20T11:21:23.000,39.203592791,-84.368698764,81.0,6.0,7.0,7.0,27.6
6,N02,2024-04-20T11:21:28.000,39.203620897,-84.368742432,81.0,10.0,11.0,10.0,28.0
7,N02,2024-04-20T11:21:33.000,39.203677018,-84.368767515,81.0,8.2,9.8,9.0,28.0
8,N02,2024-04-20T11:21:38.000,39.203711387,-84.368777467,81.0,7.6,9.2,8.6,28.0
9,N02,2024-04-20T11:21:43.000,39.203778039,-84.368797735,81.0,8.0,10.0,9.0,27.8
10,N02,2024-04-20T11:21:48.000,39.203785436,-84.368774304,81.0,7.4,8.8,8.4,27.2
11,N02,2024-04-20T11:21:53.000,39.203779078,-84.368763279,81.0,8.0,10.0,9.0,27.0
12,N02,2024-04-20T11:21:58.000,39.203772154,-84.368761611,81.0,7.25,8.75,8.25,27.0
13,N02,2024-04-20T11:22:03.000,39.203772154,-84.368761611,81.0,6.3333335,7.3333335,7.3333335,27.0
14,N02,2024-04-20T11:22:08.000,39.203738262,-84.368736599,81.0,6.6,7.6,7.6,27.0
15,N02,2024-04-20T11:22:13.000,39.203735444,-84.368748664,81.0,7.0,8.0,8.0,27.0
16,N02,2024-04-20T11:22:18.000,39.203734493,-84.368760863,81.0,6.2,7.2,7.2,27.0
17,N02,2024-04-20T11:22:23.000,39.203734493,-84.368760863,81.0,6.4,7.4,7.4,27.0
18,N02,2024-04-20T11:22:28.000,39.203734493,-84.368760863,81.0,6.0,7.0,7.0,27.0
19,N02,2024-04-20T11:22:33.000,39.203734493,-84.368760863,81.0,6.0,7.0,7.0,27.0
20,N02,2024-04-20T11:22:38.000,39.203734493,-84.368760863,81.0,6.0,7.0,7.0,27.0
21,N02,2024-04-20T11:22:43.000,39.203734493,-84.368760863,81.0,6.0,7.0,7.0,27.0
