,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N02,2024-04-20T15:20:57.000,39.159620629,-84.466607066,70.0,,,,40.0
2,N02,2024-04-20T17:52:15.000,39.159566235,-84.466492354,70.0,0.0,0.0,0.0,40.0
3,N02,2024-04-20T17:52:20.000,39.159566235,-84.466492354,70.0,0.0,0.0,0.0,40.0
4,N02,2024-04-20T17:52:25.000,39.159582693,-84.46653334,70.0,0.0,0.0,0.0,40.4
5,N02,2024-04-20T17:52:30.000,39.159579172,-84.466552308,70.0,0.0,0.0,0.0,41.0
6,N02,2024-04-20T17:52:35.000,39.159574318,-84.466588273,70.0,0.0,0.0,0.0,41.2
7,N02,2024-04-20T17:52:40.000,39.159586171,-84.466568939,70.0,0.0,0.0,0.0,42.0
8,N02,2024-04-20T17:52:45.000,39.159636056,-84.466577751,70.0,0.0,0.0,0.0,40.6
9,N02,2024-04-20T17:52:50.000,39.159677454,-84.46659375,70.0,0.0,0.0,0.0,36.0
10,N02,2024-04-20T17:52:55.000,39.159621451,-84.466559877,70.0,0.0,0.0,0.0,31.6
11,N02,2024-04-20T17:53:00.000,39.159632406,-84.466571101,70.0,0.0,0.0,0.0,30.0
12,N02,2024-04-20T17:53:05.000,39.15962646,-84.466567493,70.0,0.0,0.0,0.0,30.0
13,N02,2024-04-20T17:53:10.000,39.159623208,-84.466578868,70.0,0.0,0.0,0.0,30.0
14,N02,2024-04-20T17:53:15.000,39.159612475,-84.466582793,70.0,0.0,0.0,0.0,31.2
15,N02,2024-04-20T17:53:20.000,39.15961936,-84.46656545,70.0,0.0,0.0,0.0,32.4
16,N02,2024-04-20T17:53:25.000,39.159604656,-84.466600864,70.0,0.0,0.0,0.0,33.4
17,N02,2024-04-20T17:53:30.000,39.159631682,-84.466598619,70.0,0.0,0.0,0.0,34.0
18,N02,2024-04-20T17:53:35.000,39.159633394,-84.466597422,70.2,0.0,0.0,0.0,34.0
19,N02,2024-04-20T17:53:40.000,39.159622157,-84.466583318,70.4,0.0,0.0,0.0,34.8
20,N02,2024-04-20T17:53:45.000,39.159627016,-84.466572729,71.0,0.6,0.6,0.6,34.0
21,N02,2024-04-20T17:53:50.000,39.159632228,-84.466564583,71.0,0.0,0.0,0.0,34.0
22,N02,2024-04-20T17:53:55.000,39.159637329,-84.466530097,71.0,0.0,0.0,0.0,33.2
