,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N02,2024-04-20T21:30:47.000,39.159523006,-84.466515316,65.0,,,,49.0
2,N02,2024-04-21T11:37:02.000,39.159510855,-84.466461965,65.0,0.0,0.0,0.0,48.25
3,N02,2024-04-21T11:37:07.000,39.159550825,-84.46649389,65.0,0.0,0.0,0.0,49.0
4,N02,2024-04-21T11:37:12.000,39.159592264,-84.466550979,65.0,0.0,0.0,0.0,49.0
5,N02,2024-04-21T11:37:17.000,39.159589658,-84.46656487,65.0,0.0,0.0,0.0,49.8
6,N02,2024-04-21T11:37:22.000,39.159596947,-84.466569951,65.0,0.0,0.0,0.0,50.0
7,N02,2024-04-21T11:37:27.000,39.159596947,-84.466569951,65.0,0.0,0.0,0.0,50.0
8,N02,2024-04-21T11:37:32.000,39.159585594,-84.466560758,65.2,0.0,0.0,0.0,50.0
9,N02,2024-04-21T11:37:37.000,39.159581749,-84.466539383,65.6,0.0,0.0,0.0,50.0
10,N02,2024-04-21T11:37:42.000,39.15959734,-84.466547321,66.0,0.0,0.0,0.0,50.0
11,N02,2024-04-21T11:37:47.000,39.159612097,-84.466574345,66.0,0.0,0.0,0.0,50.0
12,N02,2024-04-21T11:37:52.000,39.159597531,-84.466571989,66.0,0.0,0.0,0.0,49.8
13,N02,2024-04-21T11:37:57.000,39.159658089,-84.466613114,66.0,0.4,0.4,0.4,47.6
14,N02,2024-04-21T11:38:02.000,39.159684154,-84.466569511,66.0,0.8,0.8,0.8,44.2
15,N02,2024-04-21T11:38:07.000,39.159666047,-84.466534401,66.0,2.6,3.2,2.6,42.0
16,N02,2024-04-21T11:38:12.000,39.15964236,-84.46657317,66.0,3.4,4.4,3.8,39.8
17,N02,2024-04-21T11:38:17.000,39.15963698,-84.466571067,66.0,3.4,4.4,3.8,38.2
18,N02,2024-04-21T11:38:22.000,39.159615563,-84.466554958,66.0,2.4,2.8,2.4,36.8
19,N02,2024-04-21T11:38:27.000,39.159609121,-84.466525403,66.0,2.0,2.0,2.0,36.0
20,N02,2024-04-21T11:38:32.000,39.159609121,-84.466525403,66.0,1.2,1.2,1.2,35.2
21,N02,2024-04-21T11:38:37.000,39.159609121,-84.466525403,66.0,0.0,0.0,0.0,35.0
22,N02,2024-04-21T11:38:42.000,39.159609121,-84.466525403,66.0,0.0,0.0,0.0,35.0
