,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N02,2024-04-22T11:58:14.000,39.132512815,-84.496805741,84.0,0.5,0.5,0.5,21.0
2,N02,2024-04-22T11:58:19.000,39.132512815,-84.496805741,84.0,0.4,0.4,0.4,21.0
3,N02,2024-04-22T11:58:24.000,39.132512815,-84.496805741,84.0,1.0,1.0,1.0,21.0
4,N02,2024-04-22T11:58:29.000,39.132490248,-84.496799562,84.0,1.0,1.0,1.0,21.0
5,N02,2024-04-22T11:58:34.000,39.132463933,-84.496814885,84.0,0.8,0.8,0.8,21.0
6,N02,2024-04-22T11:58:39.000,39.132463933,-84.496814885,84.0,0.8,0.8,0.8,21.0
7,N02,2024-04-22T11:58:44.000,39.132463933,-84.496814885,84.0,1.6,1.6,1.6,21.0
8,N02,2024-04-22T11:58:49.000,39.132466702,-84.496834211,84.0,1.8,1.8,1.8,21.0
9,N02,2024-04-22T11:58:54.000,39.132466702,-84.496834211,84.0,2.0,2.0,2.0,21.0
10,N02,2024-04-22T11:58:59.000,39.132480688,-84.496804806,84.0,1.6,1.6,1.6,21.0
11,N02,2024-04-22T11:59:04.000,39.132480688,-84.496804806,84.0,2.0,2.0,2.0,21.0
12,N02,2024-04-22T11:59:09.000,39.132477005,-84.496814048,84.0,1.4,1.4,1.4,21.0
13,N02,2024-04-22T11:59:14.000,39.132477005,-84.496814048,84.0,1.75,1.75,1.75,21.0
14,N02,2024-04-22T11:59:19.000,39.132477005,-84.496814048,84.0,2.0,2.0,2.0,21.0
15,N02,2024-04-22T11:59:24.000,39.132484748,-84.496838547,84.0,0.8,0.8,0.8,21.0
16,N02,2024-04-22T11:59:29.000,39.132484748,-84.496838547,84.0,0.8,0.8,0.8,21.0
17,N02,2024-04-22T11:59:34.000,39.132472041,-84.496817916,84.0,0.33333334,0.33333334,0.33333334,21.0
18,N02,2024-04-22T11:59:39.000,39.132472041,-84.496817916,84.0,0.0,0.0,0.0,21.0
19,N02,2024-04-22T11:59:44.000,39.132472041,-84.496817916,84.0,0.8,0.8,0.8,21.0
20,N02,2024-04-22T11:59:49.000,39.13247756,-84.49682932,84.0,1.0,1.0,1.0,21.0
21,N02,2024-04-22T11:59:54.000,39.13247756,-84.49682932,84.0,0.4,0.4,0.4,21.0
