,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c,AirBeam3:e868e738a27c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N02,2024-04-23T07:29:41.000,39.159623929,-84.466542268,76.0,1.0,1.0,1.0,41.0
2,N02,2024-04-23T07:29:46.000,39.159600389,-84.466579427,76.0,0.0,0.0,0.0,42.4
3,N02,2024-04-23T07:29:51.000,39.159564695,-84.466590306,76.0,0.0,0.0,0.0,42.8
4,N02,2024-04-23T07:29:56.000,39.159514047,-84.466574585,76.0,0.0,0.0,0.0,41.6
5,N02,2024-04-23T07:30:01.000,39.159494535,-84.466595401,76.0,0.4,0.4,0.4,41.0
6,N02,2024-04-23T07:30:06.000,39.159495974,-84.466588847,76.0,0.2,0.2,0.2,41.0
7,N02,2024-04-23T07:30:11.000,39.159495804,-84.466573221,76.0,0.0,0.0,0.0,41.0
8,N02,2024-04-23T07:30:16.000,39.159527991,-84.46656066,76.0,0.4,0.4,0.4,41.0
9,N02,2024-04-23T07:30:21.000,39.159564956,-84.466560935,76.0,1.0,1.0,1.0,40.6
10,N02,2024-04-23T07:30:26.000,39.15956521,-84.466565956,76.0,1.0,1.0,1.0,40.0
11,N02,2024-04-23T07:30:31.000,39.159568075,-84.466581736,76.0,0.4,0.4,0.4,39.0
12,N02,2024-04-23T07:30:36.000,39.159543923,-84.46661222,76.0,0.4,0.4,0.4,39.6
13,N02,2024-04-23T07:30:41.000,39.159535679,-84.466599223,76.0,0.0,0.0,0.0,40.0
14,N02,2024-04-23T07:30:46.000,39.15952664,-84.466595917,76.0,0.8,0.8,0.8,40.4
15,N02,2024-04-23T07:30:51.000,39.159511203,-84.466596064,76.0,1.0,1.0,1.0,40.6
16,N02,2024-04-23T07:30:56.000,39.159541917,-84.466579805,76.0,1.0,1.0,1.0,40.0
17,N02,2024-04-23T07:31:01.000,39.159546477,-84.466569743,76.0,1.0,1.0,1.0,40.0
18,N02,2024-04-23T07:31:06.000,39.159545935,-84.466565586,76.2,1.0,1.0,1.0,40.0
19,N02,2024-04-23T07:31:11.000,39.159553309,-84.466592006,76.8,0.6,0.6,0.6,40.0
20,N02,2024-04-23T07:31:16.000,39.159577473,-84.466589996,77.0,0.0,0.0,0.0,40.0
21,N02,2024-04-23T07:31:21.000,39.15958974,-84.466592207,77.0,0.4,0.4,0.4,39.6
