,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N03 Tuesday,2024-04-18T00:00:17.000,39.150880867,-84.501315553,78.0,,,,
2,N03 Tuesday,2024-04-23T17:08:27.000,39.184421901,-84.4238515,78.0,0.0,0.0,0.0,36.0
3,N03 Tuesday,2024-04-23T17:08:28.000,39.184421901,-84.4238515,78.0,0.0,0.0,0.0,35.0
4,N03 Tuesday,2024-04-23T17:08:29.000,39.184421901,-84.4238515,78.0,0.0,0.0,0.0,35.0
5,N03 Tuesday,2024-04-23T17:08:30.000,39.184421901,-84.4238515,78.0,0.0,0.0,0.0,35.0
6,N03 Tuesday,2024-04-23T17:08:31.000,39.184421901,-84.4238515,78.0,0.0,0.0,0.0,35.0
7,N03 Tuesday,2024-04-23T17:08:32.000,39.184421901,-84.4238515,78.0,0.0,0.0,0.0,35.0
8,N03 Tuesday,2024-04-23T17:08:33.000,39.184421901,-84.4238515,78.0,0.0,0.0,0.0,35.0
9,N03 Tuesday,2024-04-23T17:08:34.000,39.184421901,-84.4238515,78.0,0.0,0.0,0.0,35.0
10,N03 Tuesday,2024-04-23T17:08:35.000,39.184421901,-84.4238515,78.0,0.0,0.0,0.0,35.0
11,N03 Tuesday,2024-04-23T17:08:36.000,39.184421901,-84.4238515,78.0,0.0,0.0,0.0,35.0
12,N03 Tuesday,2024-04-23T17:08:37.000,39.184421901,-84.4238515,78.0,0.0,0.0,0.0,35.0
13,N03 Tuesday,2024-04-23T17:08:38.000,39.184421901,-84.4238515,78.0,0.0,0.0,0.0,35.0
14,N03 Tuesday,2024-04-23T17:08:39.000,39.184410882,-84.423861849,78.0,0.0,0.0,0.0,35.0
15,N03 Tuesday,2024-04-23T17:08:40.000,39.184407041,-84.423868034,78.0,0.0,0.0,0.0,35.0
16,N03 Tuesday,2024-04-23T17:08:41.000,39.18440652,-84.423873068,78.0,0.0,0.0,0.0,35.0
17,N03 Tuesday,2024-04-23T17:08:42.000,39.184407888,-84.423875907,78.0,0.0,0.0,0.0,35.0
18,N03 Tuesday,2024-04-23T17:08:43.000,39.184408167,-84.423877094,78.0,0.0,0.0,0.0,35.0
19,N03 Tuesday,2024-04-23T17:08:44.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
20,N03 Tuesday,2024-04-23T17:08:45.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
21,N03 Tuesday,2024-04-23T17:08:46.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
22,N03 Tuesday,2024-04-23T17:08:47.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
23,N03 Tuesday,2024-04-23T17:08:48.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
24,N03 Tuesday,2024-04-23T17:08:49.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
25,N03 Tuesday,2024-04-23T17:08:50.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
26,N03 Tuesday,2024-04-23T17:08:51.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
27,N03 Tuesday,2024-04-23T17:08:52.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
28,N03 Tuesday,2024-04-23T17:08:53.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
29,N03 Tuesday,2024-04-23T17:08:54.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
30,N03 Tuesday,2024-04-23T17:08:55.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
31,N03 Tuesday,2024-04-23T17:08:56.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
32,N03 Tuesday,2024-04-23T17:08:57.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
33,N03 Tuesday,2024-04-23T17:08:58.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
34,N03 Tuesday,2024-04-23T17:08:59.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
35,N03 Tuesday,2024-04-23T17:09:00.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
36,N03 Tuesday,2024-04-23T17:09:01.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
37,N03 Tuesday,2024-04-23T17:09:02.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
38,N03 Tuesday,2024-04-23T17:09:03.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
39,N03 Tuesday,2024-04-23T17:09:04.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
40,N03 Tuesday,2024-04-23T17:09:05.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,34.0
41,N03 Tuesday,2024-04-23T17:09:06.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
42,N03 Tuesday,2024-04-23T17:09:07.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
43,N03 Tuesday,2024-04-23T17:09:08.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
44,N03 Tuesday,2024-04-23T17:09:09.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
45,N03 Tuesday,2024-04-23T17:09:10.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
46,N03 Tuesday,2024-04-23T17:09:11.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
47,N03 Tuesday,2024-04-23T17:09:12.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
48,N03 Tuesday,2024-04-23T17:09:13.000,39.184406718,-84.423877294,78.0,0.0,0.0,0.0,35.0
49,N03 Tuesday,2024-04-23T17:09:14.000,39.184406718,-84.423877294,79.0,0.0,0.0,0.0,35.0
50,N03 Tuesday,2024-04-23T17:09:15.000,39.184406718,-84.423877294,79.0,0.0,0.0,0.0,35.0
51,N03 Tuesday,2024-04-23T17:09:16.000,39.184406718,-84.423877294,79.0,0.0,0.0,0.0,34.0
52,N03 Tuesday,2024-04-23T17:09:17.000,39.184406718,-84.423877294,79.0,0.0,0.0,0.0,34.0
53,N03 Tuesday,2024-04-23T17:09:18.000,39.184406718,-84.423877294,79.0,0.0,0.0,0.0,34.0
54,N03 Tuesday,2024-04-23T17:09:19.000,39.184406718,-84.423877294,79.0,0.0,0.0,0.0,34.0
55,N03 Tuesday,2024-04-23T17:09:20.000,39.184422787,-84.423902608,79.0,0.0,0.0,0.0,34.0
56,N03 Tuesday,2024-04-23T17:09:21.000,39.184423222,-84.423904404,79.0,0.0,0.0,0.0,34.0
57,N03 Tuesday,2024-04-23T17:09:22.000,39.184425041,-84.423901048,79.0,0.0,0.0,0.0,34.0
58,N03 Tuesday,2024-04-23T17:09:23.000,39.184424258,-84.423895105,79.0,0.0,0.0,0.0,34.0
59,N03 Tuesday,2024-04-23T17:09:24.000,39.184425034,-84.423892495,79.0,0.0,0.0,0.0,34.0
60,N03 Tuesday,2024-04-23T17:09:25.000,39.184425874,-84.423891013,79.0,0.0,0.0,0.0,34.0
61,N03 Tuesday,2024-04-23T17:09:26.000,39.184418791,-84.423886214,79.0,0.0,0.0,0.0,34.0
62,N03 Tuesday,2024-04-23T17:09:27.000,39.184420799,-84.423881415,79.0,0.0,0.0,0.0,34.0
63,N03 Tuesday,2024-04-23T17:09:28.000,39.184420559,-84.423881222,79.0,0.0,0.0,0.0,34.0
64,N03 Tuesday,2024-04-23T17:09:29.000,39.18442131,-84.423882964,79.0,0.0,0.0,0.0,34.0
65,N03 Tuesday,2024-04-23T17:09:30.000,39.184421727,-84.423876298,79.0,0.0,0.0,0.0,34.0
