,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N04friday,2024-04-26T06:26:23.000,39.155926051,-84.462612055,84.933334,1.8222222,2.1222222,1.8777778,25.908333
2,N04friday,2024-04-26T06:27:23.000,39.155926051,-84.462612055,84.0,3.1541667,4.075,3.3541667,23.0
3,N04friday,2024-04-26T06:28:23.000,39.155926051,-84.462612055,83.066666,2.8,3.6,2.8,23.0
4,N04friday,2024-04-26T06:29:23.000,39.155926051,-84.462612055,81.98333,3.55,4.5,4.016667,23.0
5,N04friday,2024-04-26T06:30:23.000,39.155926051,-84.462612055,80.75,2.4166667,2.8666666,2.4166667,23.683332
6,N04friday,2024-04-26T06:31:23.000,39.155926051,-84.462612055,79.65,2.9,3.6166666,3.0833333,24.0
7,N04friday,2024-04-26T06:32:23.000,39.155884224,-84.462740952,78.48333,2.7166667,3.2333333,2.9166667,24.633333
8,N04friday,2024-04-26T06:33:23.000,39.155895918,-84.462701439,77.333336,3.1666667,4.1,3.3833334,25.266666
9,N04friday,2024-04-26T06:34:23.000,39.155865602,-84.462753566,76.21667,1.7444445,1.7444445,1.7444445,28.5
10,N04friday,2024-04-26T06:35:23.000,39.155865602,-84.462753566,76.0,0.81666666,0.81666666,0.81666666,30.0
11,N04friday,2024-04-26T06:36:23.000,39.155865602,-84.462753566,76.0,0.8833333,0.8833333,0.8833333,30.166666
12,N04friday,2024-04-26T06:37:23.000,39.155865602,-84.462753566,76.0,0.8833333,0.8833333,0.8833333,31.0
