,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N04saturday,2024-04-27T00:38:35.000,39.155926806,-84.462783927,91.0,,,,
2,N04saturday,2024-04-27T13:50:23.000,39.155822466,-84.462764035,91.0,8.0,10.0,9.0,40.0
3,N04saturday,2024-04-27T13:50:28.000,39.155815681,-84.462764584,91.0,8.0,10.0,9.0,40.0
4,N04saturday,2024-04-27T13:50:33.000,39.155815681,-84.462764584,91.0,7.6,9.2,8.6,40.0
5,N04saturday,2024-04-27T13:50:38.000,39.155815681,-84.462764584,91.0,6.6,7.6,7.6,40.0
6,N04saturday,2024-04-27T13:50:43.000,39.155815681,-84.462764584,91.0,6.4,7.4,7.4,39.2
7,N04saturday,2024-04-27T13:50:48.000,39.155815681,-84.462764584,91.0,7.8,9.4,8.8,39.0
8,N04saturday,2024-04-27T13:50:53.000,39.155815681,-84.462764584,91.0,7.0,8.0,8.0,39.0
9,N04saturday,2024-04-27T13:50:58.000,39.155815681,-84.462764584,91.0,7.0,8.0,8.0,39.0
10,N04saturday,2024-04-27T13:51:03.000,39.155815681,-84.462764584,91.0,7.6,8.8,8.6,39.0
11,N04saturday,2024-04-27T13:51:08.000,39.155815681,-84.462764584,91.0,8.0,10.0,9.0,39.0
12,N04saturday,2024-04-27T13:51:13.000,39.155815681,-84.462764584,91.0,8.0,10.0,9.0,39.0
13,N04saturday,2024-04-27T13:51:18.000,39.155815681,-84.462764584,91.0,6.4,7.4,7.4,39.0
