,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428,AirBeam3:943cc6785428
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N04Tuesday,2024-04-22T21:24:33.000,39.175689029,-84.447727495,77.0,,,,
2,N04Tuesday,2024-04-23T17:36:56.000,39.18443277,-84.423933347,77.0,0.0,0.0,0.0,35.0
3,N04Tuesday,2024-04-23T17:37:01.000,39.18443277,-84.423933347,77.0,0.0,0.0,0.0,34.4
4,N04Tuesday,2024-04-23T17:37:06.000,39.18443277,-84.423933347,77.0,0.0,0.0,0.0,34.0
5,N04Tuesday,2024-04-23T17:37:11.000,39.18443277,-84.423933347,77.0,0.0,0.0,0.0,34.0
6,N04Tuesday,2024-04-23T17:37:16.000,39.18443277,-84.423933347,77.0,0.0,0.0,0.0,34.0
7,N04Tuesday,2024-04-23T17:37:21.000,39.18443277,-84.423933347,77.2,0.0,0.0,0.0,34.0
8,N04Tuesday,2024-04-23T17:37:26.000,39.18443277,-84.423933347,77.8,0.0,0.0,0.0,34.6
9,N04Tuesday,2024-04-23T17:37:31.000,39.18443277,-84.423933347,78.0,0.0,0.0,0.0,36.4
10,N04Tuesday,2024-04-23T17:37:36.000,39.18443277,-84.423933347,78.0,0.0,0.0,0.0,36.8
11,N04Tuesday,2024-04-23T17:37:41.000,39.18443277,-84.423933347,78.0,0.0,0.0,0.0,36.0
12,N04Tuesday,2024-04-23T17:37:46.000,39.18443277,-84.423933347,78.0,0.0,0.0,0.0,35.8
13,N04Tuesday,2024-04-23T17:37:51.000,39.18443277,-84.423933347,78.0,0.0,0.0,0.0,35.0
