,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N06friday,2024-04-26T11:45:18.000,39.103361283,-84.550762065,83.0,2.2152777,2.551389,2.2152777,30.683332
2,N06friday,2024-04-26T11:46:18.000,39.103374658,-84.550720534,83.0,3.0472221,3.8555555,3.286111,30.0
3,N06friday,2024-04-26T11:47:18.000,39.103374658,-84.550720534,83.0,2.9944444,3.7458334,3.2375,30.0
4,N06friday,2024-04-26T11:48:18.000,39.103374658,-84.550720534,83.0,3.4416666,4.327778,3.9361112,30.0
5,N06friday,2024-04-26T11:49:18.000,39.103374658,-84.550720534,83.0,2.9291666,3.6180556,3.211111,30.0
6,N06friday,2024-04-26T11:50:18.000,39.103374658,-84.550720534,83.0,3.1166666,3.8166666,3.5,30.0
7,N06friday,2024-04-26T11:51:18.000,39.103374658,-84.550720534,83.0,3.2333333,4.116667,3.5333333,30.0
8,N06friday,2024-04-26T11:52:18.000,39.103374658,-84.550720534,83.0,3.1,3.8333333,3.4166667,30.0
9,N06friday,2024-04-26T11:53:18.000,39.103374658,-84.550720534,83.0,2.8416667,3.5666666,2.9583333,30.516666
10,N06friday,2024-04-26T11:54:18.000,39.103374658,-84.550720534,83.0,3.1666667,3.9833333,3.4833333,31.0
11,N06friday,2024-04-26T11:55:18.000,39.103374658,-84.550720534,83.0,2.95,3.7166667,3.1,31.0
12,N06friday,2024-04-26T11:56:18.000,39.103374658,-84.550720534,83.0,3.5,4.4666667,4.0,31.0
13,N06friday,2024-04-26T11:57:18.000,39.103374658,-84.550720534,83.0,2.4833333,2.9625,2.4833333,31.0
14,N06friday,2024-04-26T11:58:18.000,39.103374658,-84.550720534,83.0,2.875,3.7361112,2.875,31.0
15,N06friday,2024-04-26T11:59:18.000,39.103374658,-84.550720534,83.0,2.523611,2.9597223,2.6416667,31.0
16,N06friday,2024-04-26T12:00:18.000,39.103374658,-84.550720534,83.0,2.4166667,2.9166667,2.4166667,31.0
17,N06friday,2024-04-26T12:01:18.000,39.103374658,-84.550720534,83.0,3.0666666,3.8833334,3.2666667,31.0
18,N06friday,2024-04-26T12:02:18.000,39.103374658,-84.550720534,83.0,3.3833334,4.1666665,3.95,31.0
19,N06friday,2024-04-26T12:03:18.000,39.103374658,-84.550720534,83.0,2.6333334,3.2666667,2.6333334,31.0
20,N06friday,2024-04-26T12:04:18.000,39.103374658,-84.550720534,83.0,2.6,3.2166667,2.6333334,31.0
21,N06friday,2024-04-26T12:05:18.000,39.103374658,-84.550720534,83.05,3.05,3.9,3.25,31.0
22,N06friday,2024-04-26T12:06:18.000,39.103374658,-84.550720534,83.316666,3.3666666,4.3,3.8,31.0
23,N06friday,2024-04-26T12:07:18.000,39.103374658,-84.550720534,83.816666,2.8166666,3.6333334,2.8166666,31.0
24,N06friday,2024-04-26T12:08:18.000,39.103374658,-84.550720534,83.96667,2.9583333,3.625,3.1916666,31.0
25,N06friday,2024-04-26T12:09:18.000,39.103374658,-84.550720534,84.0,2.8,3.45,2.9166667,31.0
26,N06friday,2024-04-26T12:10:18.000,39.103374658,-84.550720534,84.0,2.1916666,2.4708333,2.1916666,31.0
27,N06friday,2024-04-26T12:11:18.000,39.103374658,-84.550720534,84.0,2.0763888,2.2680554,2.125,31.0
28,N06friday,2024-04-26T12:12:18.000,39.103374658,-84.550720534,84.0,2.4291666,2.9625,2.4291666,31.0
29,N06friday,2024-04-26T12:13:18.000,39.103374658,-84.550720534,84.0,3.2166667,4.0291667,3.6,31.0
30,N06friday,2024-04-26T12:14:18.000,39.103374658,-84.550720534,84.0,3.2,4.15,3.4166667,31.0
31,N06friday,2024-04-26T12:15:18.000,39.103374658,-84.550720534,84.0,2.75,3.4166667,2.8,31.0
32,N06friday,2024-04-26T12:16:18.000,39.103374658,-84.550720534,84.0,3.0166667,3.75,3.2666667,31.0
33,N06friday,2024-04-26T12:17:18.000,39.103374658,-84.550720534,84.0,2.2166667,2.6833334,2.2166667,31.0
34,N06friday,2024-04-26T12:18:18.000,39.103374658,-84.550720534,84.0,2.8333333,3.4166667,3.0666666,31.0
35,N06friday,2024-04-26T12:19:18.000,39.103374658,-84.550720534,84.0,2.45,2.9166667,2.4833333,31.0
36,N06friday,2024-04-26T12:20:18.000,39.103374658,-84.550720534,84.0,2.5833333,2.9333334,2.7833333,31.0
37,N06friday,2024-04-26T12:21:18.000,39.103374658,-84.550720534,84.0,2.15,2.4666667,2.15,31.0
38,N06friday,2024-04-26T12:22:18.000,39.103374658,-84.550720534,84.0,2.348611,2.7597222,2.348611,31.0
39,N06friday,2024-04-26T12:23:18.000,39.103374658,-84.550720534,84.0,2.573611,3.1347222,2.573611,31.0
40,N06friday,2024-04-26T12:24:18.000,39.103374658,-84.550720534,84.0,1.85,2.0333333,1.85,31.0
41,N06friday,2024-04-26T12:25:18.000,39.103374658,-84.550720534,84.0,2.1666667,2.5166667,2.1666667,31.0
42,N06friday,2024-04-26T12:26:18.000,39.103374658,-84.550720534,84.0,2.6666667,3.3166666,2.6666667,31.0
43,N06friday,2024-04-26T12:27:18.000,39.103374658,-84.550720534,84.0,2.85,3.6833334,2.8666666,31.0
44,N06friday,2024-04-26T12:28:18.000,39.103374658,-84.550720534,84.0,2.8666666,3.7,2.8666666,31.0
45,N06friday,2024-04-26T12:29:18.000,39.103374658,-84.550720534,84.0,2.6222222,3.348611,2.6222222,30.25
46,N06friday,2024-04-26T12:30:18.000,39.103374658,-84.550720534,84.0,2.4402778,2.913889,2.4402778,30.0
47,N06friday,2024-04-26T12:31:18.000,39.103374658,-84.550720534,84.0,1.9,2.1833334,1.9,30.0
48,N06friday,2024-04-26T12:32:18.000,39.103374658,-84.550720534,84.0,2.0166667,2.2166667,2.0166667,30.0
49,N06friday,2024-04-26T12:33:18.000,39.103374658,-84.550720534,84.0,1.55,1.6666666,1.55,30.0
50,N06friday,2024-04-26T12:34:18.000,39.103374658,-84.550720534,84.0,1.7833333,1.8833333,1.7833333,29.583334
51,N06friday,2024-04-26T12:35:18.000,39.103374658,-84.550720534,84.0,1.9166666,2.1,1.9166666,29.0
52,N06friday,2024-04-26T12:36:18.000,39.103374658,-84.550720534,84.0,2.8222222,3.511111,3.0555556,29.0
53,N06friday,2024-04-26T12:37:18.000,39.103374658,-84.550720534,84.0,2.5138888,3.0555556,2.5138888,29.166666
54,N06friday,2024-04-26T12:38:18.000,39.103374658,-84.550720534,84.0,2.3722222,2.8027778,2.3722222,30.0
55,N06friday,2024-04-26T12:39:18.000,39.103374658,-84.550720534,84.0,2.5055556,3.011111,2.5055556,30.0
56,N06friday,2024-04-26T12:40:18.000,39.103374658,-84.550720534,84.0,2.4666667,2.9,2.4666667,30.95
57,N06friday,2024-04-26T12:41:18.000,39.103374658,-84.550720534,84.0,1.9166666,1.9166666,1.9166666,31.0
58,N06friday,2024-04-26T12:42:18.000,39.103374658,-84.550720534,84.0,2.25,2.5333333,2.25,30.85
59,N06friday,2024-04-26T12:43:18.000,39.103374658,-84.550720534,84.0,2.2333333,2.5166667,2.2333333,31.0
60,N06friday,2024-04-26T12:44:18.000,39.103374658,-84.550720534,84.0,1.8958334,2.0291667,1.8958334,31.0
61,N06friday,2024-04-26T12:45:18.000,39.103374658,-84.550720534,84.0,2.0597222,2.2305555,2.0597222,31.0
62,N06friday,2024-04-26T12:46:18.000,39.103374658,-84.550720534,84.0,2.1666667,2.4,2.1666667,31.0
63,N06friday,2024-04-26T12:47:18.000,39.103374658,-84.550720534,84.0,1.9166666,2.05,1.9166666,31.0
64,N06friday,2024-04-26T12:48:18.000,39.103374658,-84.550720534,84.0,2.0666666,2.2,2.0666666,31.0
65,N06friday,2024-04-26T12:49:18.000,39.103374658,-84.550720534,84.0,2.0666666,2.2666667,2.0666666,31.0
66,N06friday,2024-04-26T12:50:18.000,39.103374658,-84.550720534,84.0,2.05,2.2333333,2.05,31.0
67,N06friday,2024-04-26T12:51:18.000,39.103374658,-84.550720534,84.0,1.9055556,2.0555556,1.9055556,31.0
68,N06friday,2024-04-26T12:52:18.000,39.103374658,-84.550720534,84.0,1.6708333,1.7541667,1.6708333,31.0
69,N06friday,2024-04-26T12:53:18.000,39.103374658,-84.550720534,84.0,2.2,2.5472221,2.2,31.0
70,N06friday,2024-04-26T12:54:18.000,39.103374658,-84.550720534,84.0,1.9166666,2.2166667,1.9166666,31.0
71,N06friday,2024-04-26T12:55:18.000,39.103374658,-84.550720534,84.0,1.3,1.3333334,1.3,31.0
72,N06friday,2024-04-26T12:56:18.000,39.103374658,-84.550720534,84.066666,1.4666667,1.4666667,1.4666667,31.0
