,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N06thursday,2024-04-24T21:18:16.000,39.167902521,-84.453634608,57.0,2.0,,2.0,52.0
2,N06thursday,2024-04-25T07:09:25.000,39.167848742,-84.453693898,57.0,2.0,2.0,2.0,53.0
3,N06thursday,2024-04-25T07:09:30.000,39.167837265,-84.453691112,58.0,2.0,2.0,2.0,53.0
4,N06thursday,2024-04-25T07:09:35.000,39.167838331,-84.453689774,57.5,2.0,2.0,2.0,53.0
5,N06thursday,2024-04-25T07:09:40.000,39.167839189,-84.453700063,58.0,2.0,2.0,2.0,52.8
6,N06thursday,2024-04-25T07:09:45.000,39.167841114,-84.453699115,58.0,1.8,1.8,1.8,52.0
7,N06thursday,2024-04-25T07:09:50.000,39.167841114,-84.453699115,58.0,2.0,2.0,2.0,51.4
8,N06thursday,2024-04-25T07:09:55.000,39.167841114,-84.453699115,58.0,1.2,1.4,1.2,51.0
9,N06thursday,2024-04-25T07:10:00.000,39.167841114,-84.453699115,58.0,1.0,1.0,1.0,50.8
10,N06thursday,2024-04-25T07:10:05.000,39.167841114,-84.453699115,58.0,1.0,1.0,1.0,50.0
11,N06thursday,2024-04-25T07:10:10.000,39.167841114,-84.453699115,58.0,2.0,1.8,2.0,50.0
12,N06thursday,2024-04-25T07:10:15.000,39.167841114,-84.453699115,58.2,2.0,2.0,2.0,50.0
13,N06thursday,2024-04-25T07:10:20.000,39.167841114,-84.453699115,58.6,2.0,2.0,2.0,50.0
14,N06thursday,2024-04-25T07:10:25.000,39.167841114,-84.453699115,59.0,2.0,2.0,2.0,49.8
15,N06thursday,2024-04-25T07:10:30.000,39.167868198,-84.453712484,59.0,2.8,3.0,2.8,49.0
16,N06thursday,2024-04-25T07:10:35.000,39.167869252,-84.453676051,59.0,3.0,4.0,3.0,49.0
17,N06thursday,2024-04-25T07:10:40.000,39.167871368,-84.453681514,59.0,2.4,3.2,2.4,49.0
18,N06thursday,2024-04-25T07:10:45.000,39.167870209,-84.453682028,59.0,2.0,2.0,2.0,49.0
19,N06thursday,2024-04-25T07:10:50.000,39.167858213,-84.453692046,59.0,1.2,1.4,1.2,49.0
20,N06thursday,2024-04-25T07:10:55.000,39.167878032,-84.453647847,59.0,1.8,1.6,1.8,49.0
21,N06thursday,2024-04-25T07:11:00.000,39.167878032,-84.453647847,59.0,2.0,2.0,2.0,49.0
22,N06thursday,2024-04-25T07:11:05.000,39.167878032,-84.453647847,59.4,2.0,2.0,2.0,49.0
23,N06thursday,2024-04-25T07:11:10.000,39.167878032,-84.453647847,59.8,2.0,2.0,2.0,49.0
24,N06thursday,2024-04-25T07:11:15.000,39.167878032,-84.453647847,60.0,2.4,2.8,2.4,48.6
25,N06thursday,2024-04-25T07:11:20.000,39.167878032,-84.453647847,60.0,2.4,2.4,2.4,48.0
26,N06thursday,2024-04-25T07:11:25.000,39.167878032,-84.453647847,60.0,3.0,4.0,3.0,48.0
27,N06thursday,2024-04-25T07:11:30.000,39.167878032,-84.453647847,60.0,3.0,4.0,3.0,48.0
28,N06thursday,2024-04-25T07:11:35.000,39.167878032,-84.453647847,60.0,3.0,4.0,3.0,48.0
29,N06thursday,2024-04-25T07:11:40.000,39.167901117,-84.453648021,60.0,3.0,4.0,3.0,48.0
30,N06thursday,2024-04-25T07:11:45.000,39.16786581,-84.453669515,60.0,2.8,4.0,2.8,47.2
31,N06thursday,2024-04-25T07:11:50.000,39.167857568,-84.45366929,60.0,2.8,3.2,2.8,47.0
32,N06thursday,2024-04-25T07:11:55.000,39.167857568,-84.45366929,60.6,2.4,2.8,2.4,47.0
33,N06thursday,2024-04-25T07:12:00.000,39.167857568,-84.45366929,61.0,3.0,4.0,3.0,47.0
34,N06thursday,2024-04-25T07:12:05.000,39.167857568,-84.45366929,61.0,3.0,4.0,3.0,47.0
35,N06thursday,2024-04-25T07:12:10.000,39.167857568,-84.45366929,61.0,2.8,3.4,2.8,47.0
36,N06thursday,2024-04-25T07:12:15.000,39.167857568,-84.45366929,61.0,2.6,3.6,2.6,47.0
37,N06thursday,2024-04-25T07:12:20.000,39.167869332,-84.453683885,61.0,2.0,2.0,2.0,47.0
38,N06thursday,2024-04-25T07:12:25.000,39.16785871,-84.453689483,61.0,2.0,2.0,2.0,46.0
39,N06thursday,2024-04-25T07:12:30.000,39.167856031,-84.453683763,61.0,2.0,2.0,2.0,46.0
40,N06thursday,2024-04-25T07:12:35.000,39.167856031,-84.453683763,61.0,2.0,2.0,2.0,46.0
41,N06thursday,2024-04-25T07:12:40.000,39.167856031,-84.453683763,61.0,2.0,2.0,2.0,46.0
42,N06thursday,2024-04-25T07:12:45.000,39.167856031,-84.453683763,61.0,2.0,2.0,2.0,46.0
43,N06thursday,2024-04-25T07:12:50.000,39.167856031,-84.453683763,61.4,2.0,2.0,2.0,46.0
44,N06thursday,2024-04-25T07:12:55.000,39.167856031,-84.453683763,62.0,2.4,2.4,2.4,46.0
45,N06thursday,2024-04-25T07:13:00.000,39.167856031,-84.453683763,62.0,2.0,2.4,2.0,46.0
46,N06thursday,2024-04-25T07:13:05.000,39.167837628,-84.453676151,62.0,2.0,2.0,2.0,46.0
47,N06thursday,2024-04-25T07:13:10.000,39.167847526,-84.453675522,62.0,2.0,2.0,2.0,45.8
48,N06thursday,2024-04-25T07:13:15.000,39.167847526,-84.453675522,62.0,2.0,2.0,2.0,45.0
49,N06thursday,2024-04-25T07:13:20.000,39.167847526,-84.453675522,62.0,2.0,2.0,2.0,45.0
50,N06thursday,2024-04-25T07:13:25.000,39.167847526,-84.453675522,62.0,2.0,2.0,2.0,45.0
51,N06thursday,2024-04-25T07:13:30.000,39.167847526,-84.453675522,62.0,2.0,2.0,2.0,45.0
52,N06thursday,2024-04-25T07:13:35.000,39.167847526,-84.453675522,62.0,2.2,2.0,2.2,45.0
53,N06thursday,2024-04-25T07:13:40.000,39.167847526,-84.453675522,62.0,2.8,3.6,2.8,45.0
54,N06thursday,2024-04-25T07:13:45.000,39.167847526,-84.453675522,62.0,3.0,4.0,3.0,45.0
55,N06thursday,2024-04-25T07:13:50.000,39.167847526,-84.453675522,62.0,2.0,2.2,2.0,45.0
56,N06thursday,2024-04-25T07:13:55.000,39.167847526,-84.453675522,62.2,2.0,2.0,2.0,45.0
57,N06thursday,2024-04-25T07:14:00.000,39.167847526,-84.453675522,63.0,2.0,2.0,2.0,44.0
58,N06thursday,2024-04-25T07:14:05.000,39.167847526,-84.453675522,63.0,2.0,2.0,2.0,44.0
59,N06thursday,2024-04-25T07:14:10.000,39.167847526,-84.453675522,63.0,2.0,2.0,2.0,44.0
60,N06thursday,2024-04-25T07:14:15.000,39.167847526,-84.453675522,63.0,2.0,2.0,2.0,44.0
61,N06thursday,2024-04-25T07:14:20.000,39.167847526,-84.453675522,63.0,2.0,2.0,2.0,44.0
62,N06thursday,2024-04-25T07:14:25.000,39.167847526,-84.453675522,63.0,2.0,2.0,2.0,44.0
63,N06thursday,2024-04-25T07:14:30.000,39.167847526,-84.453675522,63.0,1.6,1.6,1.6,44.0
64,N06thursday,2024-04-25T07:14:35.000,39.167847526,-84.453675522,63.0,2.0,2.0,2.0,44.0
65,N06thursday,2024-04-25T07:14:40.000,39.167847526,-84.453675522,63.0,2.0,2.0,2.0,44.0
66,N06thursday,2024-04-25T07:14:45.000,39.167847526,-84.453675522,63.0,2.0,2.0,2.0,44.0
67,N06thursday,2024-04-25T07:14:50.000,39.167847526,-84.453675522,63.0,2.0,2.0,2.0,44.0
68,N06thursday,2024-04-25T07:14:55.000,39.167847526,-84.453675522,63.0,2.0,2.0,2.0,44.0
69,N06thursday,2024-04-25T07:15:00.000,39.167844502,-84.453702613,63.0,3.0,3.6,3.0,44.0
70,N06thursday,2024-04-25T07:15:05.000,39.167841846,-84.453699985,63.2,3.0,4.0,3.0,44.0
71,N06thursday,2024-04-25T07:15:10.000,39.167834749,-84.45369743,63.8,2.6,3.6,2.6,44.0
72,N06thursday,2024-04-25T07:15:15.000,39.167834749,-84.45369743,64.0,2.0,2.0,2.0,44.0
73,N06thursday,2024-04-25T07:15:20.000,39.167834749,-84.45369743,64.0,2.8,3.2,2.8,44.0
74,N06thursday,2024-04-25T07:15:25.000,39.167834749,-84.45369743,64.0,3.0,4.0,3.0,43.6
75,N06thursday,2024-04-25T07:15:30.000,39.167821877,-84.453676824,64.0,2.8,4.0,2.8,43.0
76,N06thursday,2024-04-25T07:15:35.000,39.167830966,-84.453668857,64.0,2.2,2.4,2.2,43.0
77,N06thursday,2024-04-25T07:15:40.000,39.167841624,-84.45366836,64.0,2.0,2.0,2.0,43.0
