,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74,AirBeam3:1c9dc2fd2b74
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,N06Tuesday,2024-04-23T17:54:42.000,39.184394106,-84.423866788,76.0,0.0,0.0,0.0,34.666668
2,N06Tuesday,2024-04-23T17:54:47.000,39.184394106,-84.423866788,76.0,0.4,0.4,0.4,35.0
3,N06Tuesday,2024-04-23T17:54:52.000,39.184394106,-84.423866788,76.0,0.2,0.2,0.2,35.0
4,N06Tuesday,2024-04-23T17:54:57.000,39.184372253,-84.423858424,76.0,0.0,0.0,0.0,34.4
5,N06Tuesday,2024-04-23T17:55:02.000,39.184370984,-84.423857416,76.0,0.0,0.0,0.0,33.6
6,N06Tuesday,2024-04-23T17:55:07.000,39.184370984,-84.423857416,76.0,0.0,0.0,0.0,33.0
7,N06Tuesday,2024-04-23T17:55:12.000,39.184370984,-84.423857416,76.0,0.0,0.0,0.0,33.0
8,N06Tuesday,2024-04-23T17:55:17.000,39.184370984,-84.423857416,76.0,0.0,0.0,0.0,33.6
9,N06Tuesday,2024-04-23T17:55:22.000,39.184370984,-84.423857416,76.0,0.0,0.0,0.0,33.6
10,N06Tuesday,2024-04-23T17:55:27.000,39.184370984,-84.423857416,76.0,0.0,0.0,0.0,33.0
11,N06Tuesday,2024-04-23T17:55:32.000,39.184370984,-84.423857416,76.8,0.0,0.0,0.0,33.0
12,N06Tuesday,2024-04-23T17:55:37.000,39.184370984,-84.423857416,77.0,0.0,0.0,0.0,33.6
13,N06Tuesday,2024-04-23T17:55:42.000,39.184418712,-84.423840603,77.0,0.2,0.2,0.2,34.0
14,N06Tuesday,2024-04-23T17:55:47.000,39.184410949,-84.423846737,77.0,0.2,0.2,0.2,34.0
15,N06Tuesday,2024-04-23T17:55:52.000,39.184410949,-84.423846737,77.0,0.0,0.0,0.0,34.0
16,N06Tuesday,2024-04-23T17:55:57.000,39.184410949,-84.423846737,77.0,0.0,0.0,0.0,34.0
17,N06Tuesday,2024-04-23T17:56:02.000,39.184439501,-84.423864369,77.0,0.0,0.0,0.0,33.2
18,N06Tuesday,2024-04-23T17:56:07.000,39.184448683,-84.423851593,77.0,0.0,0.0,0.0,32.6
19,N06Tuesday,2024-04-23T17:56:12.000,39.184439513,-84.423847206,77.0,0.0,0.0,0.0,32.0
20,N06Tuesday,2024-04-23T17:56:17.000,39.184439513,-84.423847206,77.0,0.0,0.0,0.0,32.0
21,N06Tuesday,2024-04-23T17:56:22.000,39.184439513,-84.423847206,77.0,0.6,0.6,0.6,32.0
22,N06Tuesday,2024-04-23T17:56:27.000,39.184419081,-84.423875707,77.0,0.4,0.4,0.4,31.8
23,N06Tuesday,2024-04-23T17:56:32.000,39.184414863,-84.423884946,77.0,0.0,0.0,0.0,31.2
24,N06Tuesday,2024-04-23T17:56:37.000,39.184414863,-84.423884946,77.0,0.8,0.8,0.8,32.0
25,N06Tuesday,2024-04-23T17:56:42.000,39.184414863,-84.423884946,77.0,0.2,0.2,0.2,33.0
26,N06Tuesday,2024-04-23T17:56:47.000,39.184414863,-84.423884946,77.0,0.0,0.0,0.0,33.0
27,N06Tuesday,2024-04-23T17:56:52.000,39.184414863,-84.423884946,77.0,0.6,0.6,0.6,33.0
28,N06Tuesday,2024-04-23T17:56:57.000,39.184416879,-84.423868513,77.8,0.0,0.0,0.0,32.4
29,N06Tuesday,2024-04-23T17:57:02.000,39.184432562,-84.423883277,78.0,0.0,0.0,0.0,32.0
30,N06Tuesday,2024-04-23T17:57:07.000,39.184437135,-84.423885297,78.0,0.0,0.0,0.0,32.4
31,N06Tuesday,2024-04-23T17:57:12.000,39.184433035,-84.423922669,78.0,0.2,0.2,0.2,33.6
32,N06Tuesday,2024-04-23T17:57:17.000,39.184423625,-84.423925628,78.0,0.0,0.0,0.0,34.6
33,N06Tuesday,2024-04-23T17:57:22.000,39.184423873,-84.42391048,78.0,0.6,0.6,0.6,35.0
34,N06Tuesday,2024-04-23T17:57:27.000,39.184459515,-84.423910829,78.0,0.2,0.2,0.2,35.0
35,N06Tuesday,2024-04-23T17:57:32.000,39.184446369,-84.4239286,78.0,0.0,0.0,0.0,35.0
36,N06Tuesday,2024-04-23T17:57:37.000,39.184445282,-84.423943281,78.0,0.0,0.0,0.0,35.0
37,N06Tuesday,2024-04-23T17:57:42.000,39.184445282,-84.423943281,78.0,0.0,0.0,0.0,35.6
38,N06Tuesday,2024-04-23T17:57:47.000,39.184445282,-84.423943281,78.0,0.0,0.0,0.0,35.0
39,N06Tuesday,2024-04-23T17:57:52.000,39.184445282,-84.423943281,78.0,0.0,0.0,0.0,35.4
40,N06Tuesday,2024-04-23T17:57:57.000,39.184445282,-84.423943281,78.0,0.2,0.2,0.2,36.0
41,N06Tuesday,2024-04-23T17:58:02.000,39.184445282,-84.423943281,78.0,0.4,0.4,0.4,36.0
42,N06Tuesday,2024-04-23T17:58:07.000,39.184445282,-84.423943281,78.0,0.4,0.4,0.4,35.0
43,N06Tuesday,2024-04-23T17:58:12.000,39.184445282,-84.423943281,78.0,0.4,0.4,0.4,34.4
44,N06Tuesday,2024-04-23T17:58:17.000,39.184445282,-84.423943281,78.0,0.2,0.2,0.2,34.0
45,N06Tuesday,2024-04-23T17:58:22.000,39.184445282,-84.423943281,78.8,0.0,0.0,0.0,33.4
46,N06Tuesday,2024-04-23T17:58:27.000,39.184445282,-84.423943281,79.0,0.0,0.0,0.0,33.0
47,N06Tuesday,2024-04-23T17:58:32.000,39.184445282,-84.423943281,79.0,0.0,0.0,0.0,32.4
48,N06Tuesday,2024-04-23T17:58:37.000,39.184445282,-84.423943281,79.0,0.0,0.0,0.0,32.0
49,N06Tuesday,2024-04-23T17:58:42.000,39.184445282,-84.423943281,79.0,0.2,0.2,0.2,32.0
50,N06Tuesday,2024-04-23T17:58:47.000,39.184445282,-84.423943281,79.0,0.4,0.4,0.4,32.0
51,N06Tuesday,2024-04-23T17:58:52.000,39.184445282,-84.423943281,79.0,0.4,0.4,0.4,32.8
52,N06Tuesday,2024-04-23T17:58:57.000,39.184445282,-84.423943281,79.0,0.0,0.0,0.0,33.0
53,N06Tuesday,2024-04-23T17:59:02.000,39.184445282,-84.423943281,79.0,0.0,0.0,0.0,32.6
54,N06Tuesday,2024-04-23T17:59:07.000,39.184445282,-84.423943281,79.0,1.0,1.0,1.0,32.0
55,N06Tuesday,2024-04-23T17:59:12.000,39.184445282,-84.423943281,79.0,0.2,0.2,0.2,31.2
56,N06Tuesday,2024-04-23T17:59:17.000,39.184445282,-84.423943281,79.0,0.0,0.0,0.0,31.0
57,N06Tuesday,2024-04-23T17:59:22.000,39.184445282,-84.423943281,79.0,0.0,0.0,0.0,30.8
58,N06Tuesday,2024-04-23T17:59:27.000,39.184445282,-84.423943281,79.0,0.6,0.6,0.6,30.0
59,N06Tuesday,2024-04-23T17:59:32.000,39.184444128,-84.423904193,79.0,1.2,1.2,1.2,30.0
60,N06Tuesday,2024-04-23T17:59:37.000,39.184446808,-84.423901979,79.0,1.0,1.0,1.0,30.0
61,N06Tuesday,2024-04-23T17:59:42.000,39.184440914,-84.423906983,79.0,0.0,0.0,0.0,30.0
62,N06Tuesday,2024-04-23T17:59:47.000,39.184442493,-84.423896504,79.0,0.0,0.0,0.0,30.0
63,N06Tuesday,2024-04-23T17:59:52.000,39.184440186,-84.423899181,79.0,0.0,0.0,0.0,30.0
64,N06Tuesday,2024-04-23T17:59:57.000,39.184424203,-84.423880297,79.2,0.0,0.0,0.0,30.0
65,N06Tuesday,2024-04-23T18:00:02.000,39.184415427,-84.423899915,79.6,0.2,0.2,0.2,30.0
66,N06Tuesday,2024-04-23T18:00:07.000,39.184391632,-84.423926984,79.8,0.0,0.0,0.0,30.0
67,N06Tuesday,2024-04-23T18:00:12.000,39.18439194,-84.423918786,80.0,0.0,0.0,0.0,30.0
68,N06Tuesday,2024-04-23T18:00:17.000,39.184429037,-84.423938363,80.0,0.0,0.0,0.0,30.0
69,N06Tuesday,2024-04-23T18:00:22.000,39.184425627,-84.423931269,80.0,0.0,0.0,0.0,30.0
70,N06Tuesday,2024-04-23T18:00:27.000,39.184386915,-84.423936558,80.0,0.0,0.0,0.0,30.0
71,N06Tuesday,2024-04-23T18:00:32.000,39.184322594,-84.423961897,80.0,0.0,0.0,0.0,30.0
72,N06Tuesday,2024-04-23T18:00:37.000,39.184265282,-84.423925345,80.0,0.0,0.0,0.0,30.0
73,N06Tuesday,2024-04-23T18:00:42.000,39.184230406,-84.423924037,80.0,0.0,0.0,0.0,29.0
74,N06Tuesday,2024-04-23T18:00:47.000,39.184228681,-84.423898396,80.0,0.0,0.0,0.0,29.0
