,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,NO3 Friday,2024-04-26T08:12:34.000,39.159487453,-84.46513302,76.0,45.0,85.0,52.0,36.0
2,NO3 Friday,2024-04-26T08:12:39.000,39.159475132,-84.465142348,76.0,45.0,85.0,52.0,35.2
3,NO3 Friday,2024-04-26T08:12:44.000,39.159474342,-84.465135906,76.0,48.6,94.0,56.2,35.2
4,NO3 Friday,2024-04-26T08:12:49.000,39.15949234,-84.465135699,76.0,50.0,98.0,58.0,35.0
5,NO3 Friday,2024-04-26T08:12:54.000,39.159515033,-84.465155669,76.0,47.2,90.0,54.4,35.0
6,NO3 Friday,2024-04-26T08:12:59.000,39.15955053,-84.465153272,76.0,45.0,85.0,52.0,35.0
7,NO3 Friday,2024-04-26T08:13:04.000,39.15957351,-84.465148024,76.0,44.2,82.6,50.8,35.0
8,NO3 Friday,2024-04-26T08:13:09.000,39.159577868,-84.465145316,76.0,43.8,81.4,50.2,35.0
9,NO3 Friday,2024-04-26T08:13:14.000,39.159574499,-84.465154423,76.0,42.0,77.2,48.0,35.0
10,NO3 Friday,2024-04-26T08:13:19.000,39.159562957,-84.465167194,76.0,46.2,87.4,53.2,35.0
11,NO3 Friday,2024-04-26T08:13:24.000,39.159554477,-84.465165954,76.0,43.8,81.4,50.2,35.0
12,NO3 Friday,2024-04-26T08:13:29.000,39.15955713,-84.465167002,76.0,46.8,88.6,53.8,35.0
13,NO3 Friday,2024-04-26T08:13:34.000,39.159538075,-84.46517256,76.0,42.4,78.4,48.6,35.0
14,NO3 Friday,2024-04-26T08:13:39.000,39.159533035,-84.465187231,76.0,42.4,77.8,48.4,35.0
15,NO3 Friday,2024-04-26T08:13:44.000,39.159524116,-84.465177441,76.0,40.6,74.2,46.6,35.0
16,NO3 Friday,2024-04-26T08:13:49.000,39.159517338,-84.465166816,76.0,41.8,76.6,47.8,35.0
17,NO3 Friday,2024-04-26T08:13:54.000,39.159520403,-84.465157254,76.0,40.6,74.2,46.6,35.0
18,NO3 Friday,2024-04-26T08:13:59.000,39.159531096,-84.465158243,76.2,43.2,79.6,49.2,35.0
19,NO3 Friday,2024-04-26T08:14:04.000,39.159534898,-84.465151911,76.4,43.4,80.2,49.6,35.0
20,NO3 Friday,2024-04-26T08:14:09.000,39.159542447,-84.465164049,76.6,43.8,81.4,50.2,35.0
21,NO3 Friday,2024-04-26T08:14:14.000,39.159546757,-84.465157427,76.8,43.4,80.2,49.6,35.0
22,NO3 Friday,2024-04-26T08:14:19.000,39.159557337,-84.465145998,77.0,43.8,81.4,50.2,35.0
23,NO3 Friday,2024-04-26T08:14:24.000,39.159561767,-84.465147668,77.0,45.0,85.0,52.0,35.0
24,NO3 Friday,2024-04-26T08:14:29.000,39.15955082,-84.465157042,77.0,45.0,85.0,52.0,35.0
25,NO3 Friday,2024-04-26T08:14:34.000,39.159557313,-84.46516029,77.0,43.8,81.4,50.2,35.0
26,NO3 Friday,2024-04-26T08:14:39.000,39.15955613,-84.465162385,77.0,45.0,85.0,52.0,35.0
27,NO3 Friday,2024-04-26T08:14:44.000,39.159555397,-84.465167962,77.0,44.6,83.8,51.4,35.0
28,NO3 Friday,2024-04-26T08:14:49.000,39.15955,-84.465165598,77.0,42.0,77.8,48.4,35.0
29,NO3 Friday,2024-04-26T08:14:54.000,39.159554606,-84.465166768,77.0,41.8,76.6,47.8,35.0
30,NO3 Friday,2024-04-26T08:14:59.000,39.159567459,-84.465175035,77.0,40.6,74.0,46.6,35.0
31,NO3 Friday,2024-04-26T08:15:04.000,39.1595889,-84.465162541,77.0,41.2,75.4,47.2,35.0
32,NO3 Friday,2024-04-26T08:15:09.000,39.159581645,-84.465172991,77.0,43.0,79.0,49.0,35.0
33,NO3 Friday,2024-04-26T08:15:14.000,39.159578924,-84.465185632,77.0,43.0,79.0,49.0,35.0
34,NO3 Friday,2024-04-26T08:15:19.000,39.159556172,-84.465174867,77.0,41.2,75.4,47.2,35.0
35,NO3 Friday,2024-04-26T08:15:24.000,39.159547819,-84.465135592,77.0,39.2,70.2,44.8,35.0
36,NO3 Friday,2024-04-26T08:15:29.000,39.159534965,-84.46512725,77.0,42.4,77.8,48.4,35.0
37,NO3 Friday,2024-04-26T08:15:34.000,39.15953496,-84.465134588,77.0,41.8,76.6,47.8,35.0
38,NO3 Friday,2024-04-26T08:15:39.000,39.159555896,-84.465165422,77.0,40.6,74.2,46.6,35.0
39,NO3 Friday,2024-04-26T08:15:44.000,39.159557909,-84.465165542,77.0,39.6,71.6,45.4,35.0
40,NO3 Friday,2024-04-26T08:15:49.000,39.159552193,-84.465156154,77.0,40.0,73.0,46.0,35.0
41,NO3 Friday,2024-04-26T08:15:54.000,39.159567396,-84.465131092,77.0,43.0,79.0,49.0,35.0
42,NO3 Friday,2024-04-26T08:15:59.000,39.159564237,-84.465118501,77.0,40.6,74.2,46.6,35.0
43,NO3 Friday,2024-04-26T08:16:04.000,39.159559197,-84.465128758,77.0,40.0,72.0,45.6,35.0
44,NO3 Friday,2024-04-26T08:16:09.000,39.159574229,-84.46512214,77.0,37.0,65.2,41.8,35.0
45,NO3 Friday,2024-04-26T08:16:14.000,39.159574229,-84.46512214,77.0,37.8,66.2,42.8,35.0
46,NO3 Friday,2024-04-26T08:16:19.000,39.159598919,-84.465142565,77.0,38.8,68.8,44.2,35.0
47,NO3 Friday,2024-04-26T08:16:24.000,39.159598919,-84.465142565,77.0,40.0,73.0,46.0,35.0
48,NO3 Friday,2024-04-26T08:16:29.000,39.159598919,-84.465142565,77.0,37.8,67.0,42.8,35.0
49,NO3 Friday,2024-04-26T08:16:34.000,39.159583938,-84.465175487,77.0,36.6,63.8,41.2,35.0
50,NO3 Friday,2024-04-26T08:16:39.000,39.159547907,-84.465140395,77.0,36.8,63.6,41.4,35.0
51,NO3 Friday,2024-04-26T08:16:44.000,39.159546307,-84.465146243,77.0,36.2,62.4,40.6,35.0
52,NO3 Friday,2024-04-26T08:16:49.000,39.159543655,-84.465145386,77.0,35.0,60.0,39.0,35.0
53,NO3 Friday,2024-04-26T08:16:54.000,39.159536134,-84.465146908,77.0,36.8,63.6,41.4,35.0
54,NO3 Friday,2024-04-26T08:16:59.000,39.159530585,-84.465160868,77.0,38.0,66.0,43.0,35.0
55,NO3 Friday,2024-04-26T08:17:04.000,39.159558901,-84.46514508,77.0,36.6,63.0,41.0,35.0
56,NO3 Friday,2024-04-26T08:17:09.000,39.159608557,-84.465142981,77.0,37.4,64.8,42.2,35.0
57,NO3 Friday,2024-04-26T08:17:14.000,39.159602008,-84.465150064,77.0,37.4,64.8,42.2,35.0
58,NO3 Friday,2024-04-26T08:17:19.000,39.159590204,-84.465160945,77.0,38.0,66.8,43.0,35.0
59,NO3 Friday,2024-04-26T08:17:24.000,39.159611828,-84.465162992,77.0,36.2,62.4,40.6,35.0
60,NO3 Friday,2024-04-26T08:17:29.000,39.159603116,-84.465171591,77.0,36.2,62.4,40.6,35.0
61,NO3 Friday,2024-04-26T08:17:34.000,39.159604684,-84.465179111,77.0,35.4,60.6,39.4,35.0
62,NO3 Friday,2024-04-26T08:17:39.000,39.159613103,-84.465187664,77.0,36.8,63.6,41.4,35.0
63,NO3 Friday,2024-04-26T08:17:44.000,39.159606207,-84.465176033,77.0,38.0,66.0,43.0,35.0
64,NO3 Friday,2024-04-26T08:17:49.000,39.15960516,-84.465167605,77.0,36.8,63.6,41.4,35.0
65,NO3 Friday,2024-04-26T08:17:54.000,39.159590268,-84.465163773,77.0,36.8,63.6,41.4,35.0
66,NO3 Friday,2024-04-26T08:17:59.000,39.159544422,-84.465160707,77.0,37.4,64.8,42.2,35.0
