,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,NO3 Saturday ,2024-04-27T10:11:54.000,39.159501324,-84.465183414,72.666664,8.0,9.333333,9.0,55.0
2,NO3 Saturday ,2024-04-27T10:11:59.000,39.159500308,-84.465183098,73.0,7.2,8.4,8.2,54.6
3,NO3 Saturday ,2024-04-27T10:12:04.000,39.159500308,-84.465183098,73.0,7.0,8.0,8.0,54.0
4,NO3 Saturday ,2024-04-27T10:12:09.000,39.159500308,-84.465183098,73.0,7.6,9.2,8.6,54.0
5,NO3 Saturday ,2024-04-27T10:12:14.000,39.159500308,-84.465183098,73.0,7.0,8.0,8.0,54.0
6,NO3 Saturday ,2024-04-27T10:12:19.000,39.159500308,-84.465183098,73.0,6.4,7.4,7.2,54.0
7,NO3 Saturday ,2024-04-27T10:12:24.000,39.159500308,-84.465183098,73.0,5.0,6.0,6.0,54.0
8,NO3 Saturday ,2024-04-27T10:12:29.000,39.159500308,-84.465183098,73.0,5.0,6.0,6.0,54.0
9,NO3 Saturday ,2024-04-27T10:12:34.000,39.159500308,-84.465183098,73.0,5.0,6.0,6.0,54.0
10,NO3 Saturday ,2024-04-27T10:12:39.000,39.159500308,-84.465183098,73.0,4.6,5.6,5.6,54.0
11,NO3 Saturday ,2024-04-27T10:12:44.000,39.159500308,-84.465183098,73.0,5.2,6.2,6.2,54.0
12,NO3 Saturday ,2024-04-27T10:12:49.000,39.159500308,-84.465183098,73.4,5.4,6.4,6.4,53.6
13,NO3 Saturday ,2024-04-27T10:12:54.000,39.159500308,-84.465183098,74.0,5.6,6.6,6.6,53.0
14,NO3 Saturday ,2024-04-27T10:12:59.000,39.159500308,-84.465183098,74.0,6.0,7.0,7.0,53.0
15,NO3 Saturday ,2024-04-27T10:13:04.000,39.159500308,-84.465183098,74.0,6.0,7.0,6.8,53.0
16,NO3 Saturday ,2024-04-27T10:13:09.000,39.159500308,-84.465183098,74.0,5.6,6.6,6.6,53.0
17,NO3 Saturday ,2024-04-27T10:13:14.000,39.159500308,-84.465183098,74.0,4.8,5.8,5.8,53.0
18,NO3 Saturday ,2024-04-27T10:13:19.000,39.159500308,-84.465183098,74.0,4.6,5.4,5.4,53.0
19,NO3 Saturday ,2024-04-27T10:13:24.000,39.159500308,-84.465183098,74.0,4.2,5.2,5.2,53.0
20,NO3 Saturday ,2024-04-27T10:13:29.000,39.159500308,-84.465183098,74.0,4.4,5.4,5.4,53.0
21,NO3 Saturday ,2024-04-27T10:13:34.000,39.159500308,-84.465183098,74.0,4.0,5.0,5.0,53.0
22,NO3 Saturday ,2024-04-27T10:13:39.000,39.159500308,-84.465183098,74.0,3.4,4.2,3.6,53.0
23,NO3 Saturday ,2024-04-27T10:13:44.000,39.159500308,-84.465183098,74.0,3.8,4.8,4.6,53.0
24,NO3 Saturday ,2024-04-27T10:13:49.000,39.15951789,-84.465199092,74.0,4.0,5.0,5.0,52.4
25,NO3 Saturday ,2024-04-27T10:13:54.000,39.159508829,-84.465183041,74.0,4.8,5.8,5.8,52.6
26,NO3 Saturday ,2024-04-27T10:13:59.000,39.159498296,-84.465165153,74.0,5.2,6.2,6.2,53.0
27,NO3 Saturday ,2024-04-27T10:14:04.000,39.159495016,-84.465181262,74.0,7.0,8.0,8.0,53.0
28,NO3 Saturday ,2024-04-27T10:14:09.000,39.159492059,-84.465181211,74.0,7.2,8.4,8.2,53.0
29,NO3 Saturday ,2024-04-27T10:14:14.000,39.159491453,-84.46518689,74.4,7.6,9.2,8.6,53.8
30,NO3 Saturday ,2024-04-27T10:14:19.000,39.15950198,-84.465169659,74.8,8.0,10.0,9.0,54.0
31,NO3 Saturday ,2024-04-27T10:14:24.000,39.159532539,-84.465148172,75.0,8.6,10.4,9.6,53.8
32,NO3 Saturday ,2024-04-27T10:14:29.000,39.159541036,-84.465132581,75.0,8.8,10.2,9.6,53.0
33,NO3 Saturday ,2024-04-27T10:14:34.000,39.159554668,-84.465127888,75.0,7.25,8.5,8.25,53.0
34,NO3 Saturday ,2024-04-27T10:14:39.000,39.159542313,-84.465187303,75.0,8.666667,10.333333,9.333333,53.0
35,NO3 Saturday ,2024-04-27T10:14:44.000,39.159537594,-84.465222767,75.0,8.8,10.4,9.4,53.0
36,NO3 Saturday ,2024-04-27T10:14:49.000,39.15952177,-84.465255809,75.0,7.75,9.5,8.75,53.0
37,NO3 Saturday ,2024-04-27T10:14:54.000,39.159505555,-84.465244268,75.0,7.0,8.0,8.0,53.0
38,NO3 Saturday ,2024-04-27T10:14:59.000,39.159571119,-84.465296823,75.0,,,,
39,NO3 Saturday ,2024-04-27T10:14:59.000,39.1595872,-84.465301047,,7.5,8.833333,,
40,NO3 Saturday ,2024-04-27T10:14:59.000,39.159571119,-84.465296823,,,,8.5,
41,NO3 Saturday ,2024-04-27T10:14:59.000,39.1595872,-84.465301047,,,,,53.0
42,NO3 Saturday ,2024-04-27T10:15:04.000,39.159626736,-84.465228198,75.0,7.0,,,
43,NO3 Saturday ,2024-04-27T10:15:04.000,39.159624965,-84.465254141,,,8.4,,
44,NO3 Saturday ,2024-04-27T10:15:04.000,39.159626736,-84.465228198,,,,8.0,53.0
45,NO3 Saturday ,2024-04-27T10:15:09.000,39.15963779,-84.465193037,75.0,7.8,9.6,8.8,53.0
46,NO3 Saturday ,2024-04-27T10:15:14.000,39.159649013,-84.465208721,75.0,,,,
47,NO3 Saturday ,2024-04-27T10:15:14.000,39.159641014,-84.465212331,,8.0,10.0,9.0,53.0
48,NO3 Saturday ,2024-04-27T10:15:19.000,39.159618433,-84.465237414,75.0,10.25,11.25,10.5,53.0
49,NO3 Saturday ,2024-04-27T10:15:24.000,39.159587911,-84.465285806,75.0,,,,
50,NO3 Saturday ,2024-04-27T10:15:24.000,39.159594194,-84.465274877,,10.6,,,
51,NO3 Saturday ,2024-04-27T10:15:24.000,39.159587911,-84.465285806,,,11.6,11.2,
52,NO3 Saturday ,2024-04-27T10:15:24.000,39.159594194,-84.465274877,,,,,53.0
53,NO3 Saturday ,2024-04-27T10:15:29.000,39.159520322,-84.465372439,75.0,,,,
54,NO3 Saturday ,2024-04-27T10:15:29.000,39.159533362,-84.465353323,,9.666667,10.833333,9.833333,
55,NO3 Saturday ,2024-04-27T10:15:29.000,39.159520322,-84.465372439,,,,,53.0
56,NO3 Saturday ,2024-04-27T10:15:34.000,39.159469416,-84.465408612,75.0,7.25,8.75,8.25,53.0
57,NO3 Saturday ,2024-04-27T10:15:39.000,39.159472299,-84.46535338,75.0,6.2,7.2,7.2,53.0
58,NO3 Saturday ,2024-04-27T10:15:44.000,39.159504919,-84.465291335,75.0,,,,
59,NO3 Saturday ,2024-04-27T10:15:44.000,39.159498897,-84.465292807,,7.1666665,,,
60,NO3 Saturday ,2024-04-27T10:15:44.000,39.159504919,-84.465291335,,,8.333333,,
61,NO3 Saturday ,2024-04-27T10:15:44.000,39.159498897,-84.465292807,,,,8.166667,52.5
62,NO3 Saturday ,2024-04-27T10:15:49.000,39.159517272,-84.465281211,75.0,8.0,10.0,9.0,52.0
63,NO3 Saturday ,2024-04-27T10:15:54.000,39.159510811,-84.465267006,75.6,8.0,,,
64,NO3 Saturday ,2024-04-27T10:15:54.000,39.159512054,-84.465263234,,,10.0,9.0,
65,NO3 Saturday ,2024-04-27T10:15:54.000,39.159510811,-84.465267006,,,,,52.0
66,NO3 Saturday ,2024-04-27T10:15:59.000,39.159506416,-84.465258271,76.0,7.5,9.166667,,
67,NO3 Saturday ,2024-04-27T10:15:59.000,39.159511387,-84.465261702,,,,8.5,52.0
68,NO3 Saturday ,2024-04-27T10:16:04.000,39.15950685,-84.465246947,76.0,6.75,7.75,7.75,52.0
