,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,NO3 Sunday,2024-04-28T11:35:28.000,39.159601146,-84.465095074,74.0,5.3333335,6.3333335,6.3333335,63.333332
2,NO3 Sunday,2024-04-28T11:35:33.000,39.159559765,-84.465113919,74.0,5.6,6.6,6.6,63.0
3,NO3 Sunday,2024-04-28T11:35:38.000,39.159528362,-84.465116333,74.0,5.0,6.0,6.0,63.0
4,NO3 Sunday,2024-04-28T11:35:43.000,39.159511667,-84.46511986,74.0,4.8,5.8,5.8,62.0
5,NO3 Sunday,2024-04-28T11:35:48.000,39.159494618,-84.465152866,74.2,5.0,6.0,6.0,62.0
6,NO3 Sunday,2024-04-28T11:35:53.000,39.159535509,-84.465206082,74.2,5.0,6.0,6.0,62.0
7,NO3 Sunday,2024-04-28T11:35:58.000,39.159558975,-84.465230136,74.8,5.0,6.0,6.0,62.0
8,NO3 Sunday,2024-04-28T11:36:03.000,39.159582589,-84.465197666,75.0,6.2,7.2,7.0,62.0
9,NO3 Sunday,2024-04-28T11:36:08.000,39.159554641,-84.465175655,75.0,6.4,7.4,7.4,62.0
10,NO3 Sunday,2024-04-28T11:36:13.000,39.159535416,-84.46515271,75.0,6.0,7.0,7.0,62.0
11,NO3 Sunday,2024-04-28T11:36:18.000,39.159554314,-84.465065226,75.0,6.0,7.0,7.0,61.4
12,NO3 Sunday,2024-04-28T11:36:23.000,39.159555969,-84.465051814,75.0,5.6666665,6.6666665,6.6666665,61.0
13,NO3 Sunday,2024-04-28T11:36:28.000,39.159555969,-84.465051814,75.0,5.0,6.0,6.0,61.0
14,NO3 Sunday,2024-04-28T11:36:33.000,39.159555969,-84.465051814,75.0,5.0,6.0,6.0,61.0
15,NO3 Sunday,2024-04-28T11:36:38.000,39.159555969,-84.465051814,75.0,5.1666665,6.1666665,6.1666665,61.0
16,NO3 Sunday,2024-04-28T11:36:43.000,39.159555969,-84.465051814,75.0,4.0,5.0,5.0,61.0
17,NO3 Sunday,2024-04-28T11:36:48.000,39.159555969,-84.465051814,75.0,3.6,4.6,4.2,61.0
18,NO3 Sunday,2024-04-28T11:36:53.000,39.159555969,-84.465051814,75.0,4.1666665,5.1666665,5.1666665,60.333332
19,NO3 Sunday,2024-04-28T11:36:58.000,39.159555969,-84.465051814,75.0,4.25,5.25,5.25,60.0
20,NO3 Sunday,2024-04-28T11:37:03.000,39.159555969,-84.465051814,75.0,4.2,5.2,5.0,60.0
21,NO3 Sunday,2024-04-28T11:37:08.000,39.159555969,-84.465051814,75.0,4.1666665,5.0,4.8333335,60.0
22,NO3 Sunday,2024-04-28T11:37:13.000,39.159555969,-84.465051814,75.0,3.5,4.5,4.0,60.0
23,NO3 Sunday,2024-04-28T11:37:18.000,39.159555969,-84.465051814,75.0,4.0,5.0,5.0,60.0
24,NO3 Sunday,2024-04-28T11:37:23.000,39.159555969,-84.465051814,75.4,5.6,6.6,6.6,60.0
25,NO3 Sunday,2024-04-28T11:37:28.000,39.159555969,-84.465051814,76.0,5.2,6.2,6.2,60.0
26,NO3 Sunday,2024-04-28T11:37:33.000,39.159555969,-84.465051814,76.0,6.0,7.0,7.0,60.0
27,NO3 Sunday,2024-04-28T11:37:38.000,39.159555969,-84.465051814,76.0,5.0,6.0,6.0,60.0
28,NO3 Sunday,2024-04-28T11:37:43.000,39.159555969,-84.465051814,76.0,5.0,6.0,6.0,60.2
29,NO3 Sunday,2024-04-28T11:37:48.000,39.159555969,-84.465051814,76.0,4.6,5.6,5.6,61.0
30,NO3 Sunday,2024-04-28T11:37:53.000,39.159555969,-84.465051814,76.0,5.4,6.4,6.4,61.0
31,NO3 Sunday,2024-04-28T11:37:58.000,39.159555969,-84.465051814,76.0,5.0,6.0,6.0,60.6
32,NO3 Sunday,2024-04-28T11:38:03.000,39.159555969,-84.465051814,76.0,5.4,6.4,6.4,60.0
33,NO3 Sunday,2024-04-28T11:38:08.000,39.159555969,-84.465051814,76.0,4.6,5.6,5.6,60.0
34,NO3 Sunday,2024-04-28T11:38:13.000,39.159555969,-84.465051814,76.0,4.0,5.0,5.0,60.0
35,NO3 Sunday,2024-04-28T11:38:18.000,39.159555969,-84.465051814,76.0,3.4,4.2,3.6,60.0
36,NO3 Sunday,2024-04-28T11:38:23.000,39.159555969,-84.465051814,76.0,4.6,5.6,5.6,60.0
37,NO3 Sunday,2024-04-28T11:38:28.000,39.159555969,-84.465051814,76.2,5.4,6.4,6.4,60.0
38,NO3 Sunday,2024-04-28T11:38:33.000,39.159555969,-84.465051814,77.0,5.0,6.0,6.0,60.0
39,NO3 Sunday,2024-04-28T11:38:38.000,39.159555969,-84.465051814,77.0,5.0,6.0,6.0,60.0
40,NO3 Sunday,2024-04-28T11:38:43.000,39.159555969,-84.465051814,77.0,5.0,6.0,6.0,59.0
41,NO3 Sunday,2024-04-28T11:38:48.000,39.159555969,-84.465051814,77.0,4.2,5.2,5.2,59.0
42,NO3 Sunday,2024-04-28T11:38:53.000,39.159555969,-84.465051814,77.0,4.8,5.8,5.8,59.0
43,NO3 Sunday,2024-04-28T11:38:58.000,39.159555969,-84.465051814,77.0,5.4,6.4,6.4,59.0
44,NO3 Sunday,2024-04-28T11:39:03.000,39.159555969,-84.465051814,77.0,4.6,5.6,5.6,59.0
45,NO3 Sunday,2024-04-28T11:39:08.000,39.159555969,-84.465051814,77.0,4.0,5.0,5.0,59.0
46,NO3 Sunday,2024-04-28T11:39:13.000,39.159555969,-84.465051814,77.0,3.2,4.2,3.4,59.0
47,NO3 Sunday,2024-04-28T11:39:18.000,39.159555969,-84.465051814,77.0,4.4,5.4,5.4,58.8
48,NO3 Sunday,2024-04-28T11:39:23.000,39.159555969,-84.465051814,77.0,4.4,5.4,5.4,58.0
49,NO3 Sunday,2024-04-28T11:39:28.000,39.159555969,-84.465051814,77.0,4.0,5.0,5.0,58.0
50,NO3 Sunday,2024-04-28T11:39:33.000,39.159555969,-84.465051814,77.0,4.6,5.4,5.4,58.0
51,NO3 Sunday,2024-04-28T11:39:38.000,39.159555969,-84.465051814,77.0,3.6,4.6,4.2,58.0
52,NO3 Sunday,2024-04-28T11:39:43.000,39.159555969,-84.465051814,77.2,4.0,5.0,5.0,58.0
53,NO3 Sunday,2024-04-28T11:39:48.000,39.159555969,-84.465051814,78.0,3.6,4.6,4.2,58.0
54,NO3 Sunday,2024-04-28T11:39:53.000,39.159555969,-84.465051814,78.0,3.0,4.0,3.0,58.0
55,NO3 Sunday,2024-04-28T11:39:58.000,39.159555969,-84.465051814,78.0,3.4,4.4,3.8,57.6
56,NO3 Sunday,2024-04-28T11:40:03.000,39.159555969,-84.465051814,78.0,5.0,6.0,6.0,57.0
57,NO3 Sunday,2024-04-28T11:40:08.000,39.159555969,-84.465051814,78.0,5.2,6.2,6.2,57.0
58,NO3 Sunday,2024-04-28T11:40:13.000,39.159555969,-84.465051814,78.0,5.4,6.4,6.4,57.0
59,NO3 Sunday,2024-04-28T11:40:18.000,39.159555969,-84.465051814,78.0,5.0,6.0,6.0,57.0
60,NO3 Sunday,2024-04-28T11:40:23.000,39.159555969,-84.465051814,78.0,4.4,5.2,5.2,57.0
61,NO3 Sunday,2024-04-28T11:40:28.000,39.159555969,-84.465051814,78.0,5.2,6.2,6.2,57.0
62,NO3 Sunday,2024-04-28T11:40:33.000,39.159555969,-84.465051814,78.0,6.0,7.0,6.8,57.0
63,NO3 Sunday,2024-04-28T11:40:38.000,39.159555969,-84.465051814,78.0,4.8,5.8,5.8,57.0
64,NO3 Sunday,2024-04-28T11:40:43.000,39.159555969,-84.465051814,78.0,4.4,5.2,5.2,56.6
65,NO3 Sunday,2024-04-28T11:40:48.000,39.159555969,-84.465051814,78.0,4.0,5.0,5.0,56.0
