,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,NO3 Thursday,2024-04-25T07:16:56.000,39.1595406,-84.465287132,68.490906,0.0,0.0,0.0,43.303032
2,NO3 Thursday,2024-04-25T07:17:56.000,39.1595406,-84.465287132,69.0,0.0,0.0,0.0,42.75
3,NO3 Thursday,2024-04-25T07:18:56.000,39.1595406,-84.465287132,69.933334,0.0,0.0,0.0,42.0
4,NO3 Thursday,2024-04-25T07:19:56.000,39.1595406,-84.465287132,70.46667,0.0,0.0,0.0,41.466667
5,NO3 Thursday,2024-04-25T07:20:56.000,39.1595406,-84.465287132,71.0,0.0,0.0,0.0,40.983334
6,NO3 Thursday,2024-04-25T07:21:56.000,39.1595406,-84.465287132,71.833336,0.0,0.0,0.0,40.0
7,NO3 Thursday,2024-04-25T07:22:56.000,39.1595406,-84.465287132,72.0,0.0,0.0,0.0,39.866665
8,NO3 Thursday,2024-04-25T07:23:56.000,39.1595406,-84.465287132,72.71667,0.0,0.0,0.0,39.0
9,NO3 Thursday,2024-04-25T07:24:56.000,39.1595406,-84.465287132,73.0,0.0,0.0,0.0,39.0
10,NO3 Thursday,2024-04-25T07:25:56.000,39.1595406,-84.465287132,73.13333,0.0,0.0,0.0,38.666668
11,NO3 Thursday,2024-04-25T07:26:56.000,39.1595406,-84.465287132,74.0,0.0,0.0,0.0,38.0
12,NO3 Thursday,2024-04-25T07:27:56.000,39.1595406,-84.465287132,74.0,0.0,0.0,0.0,38.0
13,NO3 Thursday,2024-04-25T07:28:56.000,39.1595406,-84.465287132,74.0,0.0,0.0,0.0,37.333332
14,NO3 Thursday,2024-04-25T07:29:56.000,39.1595406,-84.465287132,74.816666,0.0,0.0,0.0,37.0
15,NO3 Thursday,2024-04-25T07:30:56.000,39.15959147,-84.465148187,75.0,0.083333336,0.083333336,0.083333336,37.0
16,NO3 Thursday,2024-04-25T07:31:56.000,39.15959147,-84.465148187,75.0,0.0,0.0,0.0,36.166668
17,NO3 Thursday,2024-04-25T07:32:56.000,39.159499424,-84.465185247,75.0,0.0,0.0,0.0,36.216667
18,NO3 Thursday,2024-04-25T07:33:56.000,39.159499424,-84.465185247,75.03333,0.0,0.0,0.0,36.6875
19,NO3 Thursday,2024-04-25T07:34:56.000,39.159499424,-84.465185247,75.806946,0.0,0.0,0.0,36.0
20,NO3 Thursday,2024-04-25T07:35:56.000,39.159499424,-84.465185247,76.0,0.033333335,0.033333335,0.033333335,36.0
21,NO3 Thursday,2024-04-25T07:36:56.000,39.159499424,-84.465185247,76.0,0.0,0.0,0.0,36.0
22,NO3 Thursday,2024-04-25T07:37:56.000,39.159499424,-84.465185247,76.0,0.0,0.0,0.0,36.0
23,NO3 Thursday,2024-04-25T07:38:56.000,39.159499424,-84.465185247,76.0,0.0,0.0,0.0,36.0
24,NO3 Thursday,2024-04-25T07:39:56.000,39.159499424,-84.465185247,76.0,0.0,0.0,0.0,36.0
25,NO3 Thursday,2024-04-25T07:40:56.000,39.159499424,-84.465185247,76.275,0.0,0.0,0.0,36.0
26,NO3 Thursday,2024-04-25T07:41:56.000,39.159499424,-84.465185247,76.969444,0.0,0.0,0.0,36.0
27,NO3 Thursday,2024-04-25T07:42:56.000,39.159499424,-84.465185247,77.0,0.033333335,0.033333335,0.033333335,35.383335
28,NO3 Thursday,2024-04-25T07:43:56.000,39.159499424,-84.465185247,77.0,0.06666667,0.06666667,0.06666667,35.0
29,NO3 Thursday,2024-04-25T07:44:56.000,39.159499424,-84.465185247,77.0,0.0,0.0,0.0,35.0
30,NO3 Thursday,2024-04-25T07:45:56.000,39.159499424,-84.465185247,77.0,0.0,0.0,0.0,35.0
31,NO3 Thursday,2024-04-25T07:46:56.000,39.159499424,-84.465185247,77.0,0.0,0.0,0.0,35.0
32,NO3 Thursday,2024-04-25T07:47:56.000,39.159499424,-84.465185247,77.0,0.0,0.0,0.0,35.0
33,NO3 Thursday,2024-04-25T07:48:56.000,39.159499424,-84.465185247,77.333336,0.0,0.0,0.0,35.0
34,NO3 Thursday,2024-04-25T07:49:56.000,39.159497371,-84.465159164,77.96667,0.71666664,0.8333333,0.71666664,33.966667
35,NO3 Thursday,2024-04-25T07:50:56.000,39.159494726,-84.465086984,77.0,3.0666666,4.0,3.2,28.133333
36,NO3 Thursday,2024-04-25T07:51:56.000,39.159494726,-84.465086984,75.88333,3.9,4.883333,4.7833333,26.866667
37,NO3 Thursday,2024-04-25T07:52:56.000,39.159494726,-84.465086984,74.46667,3.5666666,4.5,4.1,27.616667
38,NO3 Thursday,2024-04-25T07:53:56.000,39.159606487,-84.465215976,72.98889,3.8944445,4.8944445,4.788889,28.716667
39,NO3 Thursday,2024-04-25T07:54:56.000,39.159606487,-84.465215976,71.55,3.1652777,4.115278,3.3805556,29.8
40,NO3 Thursday,2024-04-25T07:55:56.000,39.159526737,-84.465120853,70.388885,3.3166666,4.133333,3.7833333,30.833334
41,NO3 Thursday,2024-04-25T07:56:56.000,39.159526737,-84.465120853,69.2,3.4694445,4.4694443,3.9388888,31.419445
42,NO3 Thursday,2024-04-25T07:57:56.000,39.159526737,-84.465120853,68.066666,3.4666667,4.4333334,3.9,31.916666
43,NO3 Thursday,2024-04-25T07:58:56.000,39.159526737,-84.465120853,66.85,3.4861112,4.4694443,3.9222221,32.666668
44,NO3 Thursday,2024-04-25T07:59:56.000,39.159526737,-84.465120853,65.9,3.2944446,4.2777777,3.5722222,33.65
45,NO3 Thursday,2024-04-25T08:00:56.000,39.159526737,-84.465120853,64.78333,4.05,5.016667,4.883333,33.666668
46,NO3 Thursday,2024-04-25T08:01:56.000,39.159526737,-84.465120853,63.966667,3.5833333,4.5,4.1,34.733334
47,NO3 Thursday,2024-04-25T08:02:56.000,39.159526737,-84.465120853,63.0,3.4166667,4.366667,3.85,35.15
48,NO3 Thursday,2024-04-25T08:03:56.000,39.159526737,-84.465120853,62.266666,4.3333335,5.3166666,5.1666665,36.0
49,NO3 Thursday,2024-04-25T08:04:56.000,39.159526737,-84.465120853,61.683334,4.0833335,5.0833335,4.85,36.916668
50,NO3 Thursday,2024-04-25T08:05:56.000,39.159526737,-84.465120853,61.0,4.25,5.233333,5.2166667,37.583332
51,NO3 Thursday,2024-04-25T08:06:56.000,39.159526737,-84.465120853,60.683334,3.7333333,4.733333,4.383333,38.016666
52,NO3 Thursday,2024-04-25T08:07:56.000,39.159526737,-84.465120853,60.0,3.8666666,4.85,4.7166667,38.916668
53,NO3 Thursday,2024-04-25T08:08:56.000,39.159526737,-84.465120853,59.61111,3.2805555,4.2527776,3.588889,39.566666
54,NO3 Thursday,2024-04-25T08:09:56.000,39.159526737,-84.465120853,59.0,4.0,5.0,5.0,40.0
55,NO3 Thursday,2024-04-25T08:10:56.000,39.159526737,-84.465120853,59.0,3.475,4.461111,3.9027777,40.541668
56,NO3 Thursday,2024-04-25T08:11:56.000,39.159526737,-84.465120853,58.79861,3.4041667,4.366667,3.7708333,40.0
57,NO3 Thursday,2024-04-25T08:12:56.000,39.159526737,-84.465120853,58.0,3.7902777,4.776389,4.525,40.1
58,NO3 Thursday,2024-04-25T08:13:56.000,39.159526737,-84.465120853,58.0,4.05,5.0333333,4.9166665,41.0
59,NO3 Thursday,2024-04-25T08:14:56.000,39.159526737,-84.465120853,58.0,3.5666666,4.55,4.0833335,41.0
60,NO3 Thursday,2024-04-25T08:15:56.000,39.159526737,-84.465120853,57.4,3.5333333,4.5333333,4.0333333,41.0
61,NO3 Thursday,2024-04-25T08:16:56.000,39.159526737,-84.465120853,57.0,3.6333334,4.633333,4.1833334,41.0
62,NO3 Thursday,2024-04-25T08:17:56.000,39.159526737,-84.465120853,57.0,2.9833333,3.85,3.1,41.85
