,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8,AirBeam3:8c4b140385e8
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,NO3 Tuesday,2024-04-29T20:02:37.000,39.159494569,-84.465172668,72.0,1.0,,,66.0
2,NO3 Tuesday,2024-04-30T07:29:12.000,39.159521048,-84.46516854,72.28889,0.37777779,0.42407408,0.42407408,64.04815
3,NO3 Tuesday,2024-04-30T07:30:12.000,39.159521048,-84.46516854,73.083336,0.2,0.2,0.2,61.716667
4,NO3 Tuesday,2024-04-30T07:31:12.000,39.159521048,-84.46516854,74.0,0.28611112,0.26805556,0.26805556,60.216667
5,NO3 Tuesday,2024-04-30T07:32:12.000,39.15952455,-84.465151211,74.925,0.5833333,0.5833333,0.5833333,60.933334
6,NO3 Tuesday,2024-04-30T07:33:12.000,39.159542143,-84.465216326,75.45,1.0333333,1.0333333,1.0333333,62.35
7,NO3 Tuesday,2024-04-30T07:34:12.000,39.159554036,-84.464913508,76.0,1.0638889,1.0583333,1.0375,63.579166
8,NO3 Tuesday,2024-04-30T07:35:12.000,39.159302175,-84.462354323,76.0,1.05,1.0666667,1.0666667,63.75
9,NO3 Tuesday,2024-04-30T07:36:12.000,39.159082208,-84.460021376,75.066666,1.0,1.0,1.0,64.61667
10,NO3 Tuesday,2024-04-30T07:37:12.000,39.160110545,-84.459275686,75.0,1.075,1.0736111,1.0736111,64.775
11,NO3 Tuesday,2024-04-30T07:38:12.000,39.160199062,-84.459288556,75.0,1.1,1.1,1.1,65.78333
12,NO3 Tuesday,2024-04-30T07:39:12.000,39.160293834,-84.459257651,75.0,,,,
13,NO3 Tuesday,2024-04-30T07:39:12.000,39.160299481,-84.459259227,,1.1361111,,,
14,NO3 Tuesday,2024-04-30T07:39:12.000,39.160293834,-84.459257651,,,1.1125,1.1125,66.354164
15,NO3 Tuesday,2024-04-30T07:40:12.000,39.160355459,-84.459157202,75.0,0.19166666,0.22222222,0.22222222,56.323612
16,NO3 Tuesday,2024-04-30T07:41:12.000,39.160331896,-84.459101777,75.35,0.5,0.48333332,0.48333332,56.616665
17,NO3 Tuesday,2024-04-30T07:42:12.000,39.160331896,-84.459101777,76.0,0.78194445,0.7777778,0.7777778,57.0
18,NO3 Tuesday,2024-04-30T07:43:12.000,39.160335915,-84.459171871,76.0,0.41666666,0.43333334,0.43333334,57.116665
19,NO3 Tuesday,2024-04-30T07:44:12.000,39.160369567,-84.459147776,76.88333,0.925,0.92638886,0.92638886,57.933334
20,NO3 Tuesday,2024-04-30T07:45:12.000,39.160377494,-84.45914482,77.0,0.60833335,0.6041667,0.6041667,57.35
21,NO3 Tuesday,2024-04-30T07:46:12.000,39.160365675,-84.45915917,77.35,0.55,0.53333336,0.53333336,57.0
22,NO3 Tuesday,2024-04-30T07:47:12.000,39.160372506,-84.459147339,78.0,0.76666665,0.76666665,0.76666665,56.133335
23,NO3 Tuesday,2024-04-30T07:48:12.000,39.160354747,-84.459158219,78.0,0.6666667,0.68333334,0.68333334,55.45
24,NO3 Tuesday,2024-04-30T07:49:12.000,39.160376303,-84.459152651,78.49722,0.92777777,0.9236111,0.9236111,55.0
25,NO3 Tuesday,2024-04-30T07:50:12.000,39.160344383,-84.459165684,79.0,0.35,0.33333334,0.33333334,54.3
26,NO3 Tuesday,2024-04-30T07:51:12.000,39.160360387,-84.459155181,79.0,0.45277777,0.46666667,0.46666667,54.0
27,NO3 Tuesday,2024-04-30T07:52:12.000,39.160357903,-84.459155499,79.0,0.39722222,0.39027777,0.39027777,53.3125
28,NO3 Tuesday,2024-04-30T07:53:12.000,39.160370836,-84.459147335,79.816666,0.35,0.33333334,0.33333334,53.0
29,NO3 Tuesday,2024-04-30T07:54:12.000,39.160335027,-84.459171607,80.0,0.16666667,0.18333334,0.18333334,52.416668
30,NO3 Tuesday,2024-04-30T07:55:12.000,39.160335827,-84.459168773,80.0,0.4,0.4,0.4,52.0
31,NO3 Tuesday,2024-04-30T07:56:12.000,39.160336884,-84.459173657,80.0,,,,
32,NO3 Tuesday,2024-04-30T07:56:12.000,39.160338838,-84.459172228,,0.32916668,,,
33,NO3 Tuesday,2024-04-30T07:56:12.000,39.160336884,-84.459173657,,,0.33333334,,
34,NO3 Tuesday,2024-04-30T07:56:12.000,39.160338838,-84.459172228,,,,0.33333334,52.0
35,NO3 Tuesday,2024-04-30T07:57:12.000,39.160344145,-84.459174495,80.0,0.42916667,0.425,0.425,51.416668
36,NO3 Tuesday,2024-04-30T07:58:12.000,39.160335844,-84.459168966,80.86667,0.38333333,0.38333333,0.38333333,51.0
37,NO3 Tuesday,2024-04-30T07:59:12.000,39.160367412,-84.459146988,81.0,0.43888888,0.41527778,0.41527778,51.0
38,NO3 Tuesday,2024-04-30T08:00:12.000,39.160354317,-84.459157919,81.0,0.46666667,0.48333332,0.48333332,50.633335
39,NO3 Tuesday,2024-04-30T08:01:12.000,39.16035864,-84.459150452,81.0,0.1,0.1,0.1,50.0
40,NO3 Tuesday,2024-04-30T08:02:12.000,39.16037386,-84.459156777,81.0,0.6,0.6,0.6,49.416668
41,NO3 Tuesday,2024-04-30T08:03:12.000,39.160368014,-84.459169691,81.0,0.6166667,0.6,0.6,48.1
42,NO3 Tuesday,2024-04-30T08:04:12.000,39.160335987,-84.45917085,81.0,0.69166666,0.69861114,0.69861114,47.01389
43,NO3 Tuesday,2024-04-30T08:05:12.000,39.160382748,-84.459143936,81.0,0.7,0.7,0.7,47.0
44,NO3 Tuesday,2024-04-30T08:06:12.000,39.160330458,-84.459163002,81.0,0.45,0.43333334,0.43333334,47.0
45,NO3 Tuesday,2024-04-30T08:07:12.000,39.160345132,-84.459174988,81.0,0.74027777,0.74444443,0.74444443,47.0
46,NO3 Tuesday,2024-04-30T08:08:12.000,39.160274891,-84.459431635,81.35,0.5,0.5,0.5,47.0
47,NO3 Tuesday,2024-04-30T08:09:12.000,39.160466715,-84.459317787,81.78611,0.7013889,0.72083336,0.72083336,47.0
48,NO3 Tuesday,2024-04-30T08:10:12.000,39.160466715,-84.459317787,82.0,1.1166667,1.1,1.1,47.0
49,NO3 Tuesday,2024-04-30T08:11:12.000,39.160466715,-84.459317787,82.0,0.93333334,0.93333334,0.93333334,47.0
50,NO3 Tuesday,2024-04-30T08:12:12.000,39.160336106,-84.459360096,82.0,0.81805557,0.82222223,0.82222223,47.366665
51,NO3 Tuesday,2024-04-30T08:13:12.000,39.160336106,-84.459360096,82.0,0.9,0.9166667,0.9166667,48.0
52,NO3 Tuesday,2024-04-30T08:14:12.000,39.160336106,-84.459360096,82.0,0.72083336,0.7,0.7,48.0
53,NO3 Tuesday,2024-04-30T08:15:12.000,39.160336106,-84.459360096,82.0,0.5,0.51666665,0.51666665,48.0
54,NO3 Tuesday,2024-04-30T08:16:12.000,39.160336106,-84.459360096,82.0,0.825,0.8194444,0.8194444,48.0
55,NO3 Tuesday,2024-04-30T08:17:12.000,39.160336106,-84.459360096,82.0,0.9,0.9,0.9,48.0
56,NO3 Tuesday,2024-04-30T08:18:12.000,39.160336106,-84.459360096,82.0,1.1625,1.1666666,1.1666666,48.104168
57,NO3 Tuesday,2024-04-30T08:19:12.000,39.160336106,-84.459360096,82.0,1.3,1.2902777,1.2902777,49.0
58,NO3 Tuesday,2024-04-30T08:20:12.000,39.160336106,-84.459360096,82.0,0.9,0.9,0.9,49.0
59,NO3 Tuesday,2024-04-30T08:21:12.000,39.160330712,-84.459307451,82.0,1.0833334,1.1027777,1.1027777,49.283333
60,NO3 Tuesday,2024-04-30T08:22:12.000,39.160311471,-84.459138946,82.0,0.38333333,0.4,0.4,48.616665
61,NO3 Tuesday,2024-04-30T08:23:12.000,39.160328733,-84.459088462,82.0,0.0,0.0,0.0,44.508335
