,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,No5,2024-04-24T17:53:13.000,39.15586839,-84.463310142,73.0,0.6666667,0.6666667,0.6666667,52.333332
2,No5,2024-04-24T17:53:18.000,39.155848221,-84.463298366,73.0,0.0,0.0,0.0,51.0
3,No5,2024-04-24T17:53:23.000,39.155840945,-84.463314275,73.0,0.0,0.0,0.0,47.8
4,No5,2024-04-24T17:53:28.000,39.155834118,-84.463343101,73.0,0.0,0.0,0.0,46.0
5,No5,2024-04-24T17:53:33.000,39.155858986,-84.463306231,73.0,0.0,0.0,0.0,45.0
6,No5,2024-04-24T17:53:38.000,39.155872838,-84.463295004,73.0,0.0,0.0,0.0,44.4
7,No5,2024-04-24T17:53:43.000,39.155872838,-84.463295004,73.0,0.0,0.0,0.0,44.0
8,No5,2024-04-24T17:53:48.000,39.155872838,-84.463295004,73.0,0.0,0.0,0.0,43.2
9,No5,2024-04-24T17:53:53.000,39.155872838,-84.463295004,73.0,0.0,0.0,0.0,43.0
10,No5,2024-04-24T17:53:58.000,39.155872838,-84.463295004,73.0,0.0,0.0,0.0,43.0
11,No5,2024-04-24T17:54:03.000,39.155906123,-84.463290484,73.6,0.0,0.0,0.0,43.0
12,No5,2024-04-24T17:54:08.000,39.155900417,-84.463299756,74.0,,,,
13,No5,2024-04-24T17:54:08.000,39.155898552,-84.463295198,,0.0,0.0,0.0,
14,No5,2024-04-24T17:54:08.000,39.155900417,-84.463299756,,,,,43.0
15,No5,2024-04-24T17:54:13.000,39.155898053,-84.463298504,74.0,,,,
16,No5,2024-04-24T17:54:13.000,39.155898847,-84.46329668,,0.0,0.0,,
17,No5,2024-04-24T17:54:13.000,39.155898053,-84.463298504,,,,0.0,42.2
18,No5,2024-04-24T17:54:18.000,39.155898718,-84.463307082,74.0,0.0,,,
19,No5,2024-04-24T17:54:18.000,39.155898342,-84.463302969,,,0.0,0.0,42.0
20,No5,2024-04-24T17:54:23.000,39.155884984,-84.463329039,74.0,0.0,,,
21,No5,2024-04-24T17:54:23.000,39.155882279,-84.463329093,,,0.0,,
22,No5,2024-04-24T17:54:23.000,39.155884984,-84.463329039,,,,0.0,
23,No5,2024-04-24T17:54:23.000,39.155882279,-84.463329093,,,,,42.0
24,No5,2024-04-24T17:54:28.000,39.155892529,-84.463315685,74.0,0.0,0.0,0.0,42.0
25,No5,2024-04-24T17:54:33.000,39.155891295,-84.463305866,74.0,,,,
26,No5,2024-04-24T17:54:33.000,39.155894841,-84.463305425,,0.0,0.0,0.0,
27,No5,2024-04-24T17:54:33.000,39.155891295,-84.463305866,,,,,42.0
28,No5,2024-04-24T17:54:38.000,39.155886005,-84.46334138,74.0,,,,
29,No5,2024-04-24T17:54:38.000,39.155891165,-84.463350253,,0.0,0.0,,
30,No5,2024-04-24T17:54:38.000,39.155886005,-84.46334138,,,,0.0,42.0
31,No5,2024-04-24T17:54:43.000,39.155898728,-84.463358837,74.0,0.0,0.0,0.0,42.0
32,No5,2024-04-24T17:54:48.000,39.155885466,-84.463316781,74.0,0.0,0.0,0.0,
33,No5,2024-04-24T17:54:48.000,39.155892722,-84.4633221,,,,,42.0
34,No5,2024-04-24T17:54:53.000,39.155876999,-84.46333737,74.0,,,,
35,No5,2024-04-24T17:54:53.000,39.155878192,-84.463334765,,0.0,0.0,,
36,No5,2024-04-24T17:54:53.000,39.155876999,-84.46333737,,,,0.0,42.0
37,No5,2024-04-24T17:54:58.000,39.155876999,-84.46333737,74.0,0.0,0.0,0.0,42.0
38,No5,2024-04-24T17:55:03.000,39.155876999,-84.46333737,74.0,0.0,0.0,0.0,42.0
39,No5,2024-04-24T17:55:08.000,39.155876999,-84.46333737,74.0,0.0,0.0,0.0,41.0
40,No5,2024-04-24T17:55:13.000,39.155876999,-84.46333737,74.0,0.0,0.0,0.0,41.0
41,No5,2024-04-24T17:55:18.000,39.155876999,-84.46333737,74.0,0.0,0.0,0.0,41.0
42,No5,2024-04-24T17:55:23.000,39.155876999,-84.46333737,74.0,0.16666667,0.16666667,0.16666667,41.0
43,No5,2024-04-24T17:55:28.000,39.155876999,-84.46333737,74.0,0.75,0.75,0.75,41.0
44,No5,2024-04-24T17:55:33.000,39.155876999,-84.46333737,74.0,0.0,0.0,0.0,41.0
45,No5,2024-04-24T17:55:38.000,39.155876999,-84.46333737,74.4,0.0,0.0,0.0,41.0
46,No5,2024-04-24T17:55:43.000,39.155876999,-84.46333737,74.8,0.0,0.0,0.0,41.0
47,No5,2024-04-24T17:55:48.000,39.155876999,-84.46333737,75.0,0.0,0.0,0.0,41.0
48,No5,2024-04-24T17:55:53.000,39.155876999,-84.46333737,75.0,0.0,0.0,0.0,41.0
49,No5,2024-04-24T17:55:58.000,39.155876999,-84.46333737,75.0,0.0,0.0,0.0,41.0
50,No5,2024-04-24T17:56:03.000,39.155876999,-84.46333737,75.0,0.0,0.0,0.0,41.0
51,No5,2024-04-24T17:56:08.000,39.155876999,-84.46333737,75.0,0.0,0.0,0.0,41.0
52,No5,2024-04-24T17:56:13.000,39.155876999,-84.46333737,75.0,0.2,0.2,0.2,41.0
53,No5,2024-04-24T17:56:18.000,39.155876999,-84.46333737,75.0,0.4,0.4,0.4,41.0
54,No5,2024-04-24T17:56:23.000,39.155876999,-84.46333737,75.0,1.0,1.0,1.0,40.6
55,No5,2024-04-24T17:56:28.000,39.155876999,-84.46333737,75.0,0.0,0.0,0.0,40.0
56,No5,2024-04-24T17:56:33.000,39.155876999,-84.46333737,75.0,0.2,0.2,0.2,40.0
57,No5,2024-04-24T17:56:38.000,39.155876999,-84.46333737,75.0,0.0,0.0,0.0,40.0
58,No5,2024-04-24T17:56:43.000,39.155876999,-84.46333737,75.0,0.2,0.2,0.2,40.0
59,No5,2024-04-24T17:56:48.000,39.155876999,-84.46333737,75.0,0.6,0.6,0.6,40.0
60,No5,2024-04-24T17:56:53.000,39.155876999,-84.46333737,75.0,0.4,0.4,0.4,40.0
61,No5,2024-04-24T17:56:58.000,39.155876999,-84.46333737,75.0,0.2,0.2,0.2,40.0
62,No5,2024-04-24T17:57:03.000,39.155876999,-84.46333737,75.0,0.0,0.0,0.0,40.0
63,No5,2024-04-24T17:57:08.000,39.155876999,-84.46333737,75.0,0.0,0.0,0.0,40.0
64,No5,2024-04-24T17:57:13.000,39.155876999,-84.46333737,75.0,0.6,0.6,0.6,40.0
65,No5,2024-04-24T17:57:18.000,39.155876999,-84.46333737,75.0,1.0,1.0,1.0,40.0
66,No5,2024-04-24T17:57:23.000,39.155876999,-84.46333737,75.2,0.4,0.4,0.4,40.0
67,No5,2024-04-24T17:57:28.000,39.155876999,-84.46333737,75.2,1.0,1.0,1.0,40.0
68,No5,2024-04-24T17:57:33.000,39.155876999,-84.46333737,76.0,0.6,0.6,0.6,40.0
69,No5,2024-04-24T17:57:38.000,39.155876999,-84.46333737,76.0,0.2,0.2,0.2,40.0
70,No5,2024-04-24T17:57:43.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,40.0
71,No5,2024-04-24T17:57:48.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,40.0
72,No5,2024-04-24T17:57:53.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,40.0
73,No5,2024-04-24T17:57:58.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,40.0
74,No5,2024-04-24T17:58:03.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,40.0
75,No5,2024-04-24T17:58:08.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,40.0
76,No5,2024-04-24T17:58:13.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,40.0
77,No5,2024-04-24T17:58:18.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,40.0
78,No5,2024-04-24T17:58:23.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,40.0
79,No5,2024-04-24T17:58:28.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,40.0
80,No5,2024-04-24T17:58:33.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,40.0
81,No5,2024-04-24T17:58:38.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,40.0
82,No5,2024-04-24T17:58:43.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,40.0
83,No5,2024-04-24T17:58:48.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,39.2
84,No5,2024-04-24T17:58:53.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,39.0
85,No5,2024-04-24T17:58:58.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,39.0
86,No5,2024-04-24T17:59:03.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,39.0
87,No5,2024-04-24T17:59:08.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,39.0
88,No5,2024-04-24T17:59:13.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,39.0
89,No5,2024-04-24T17:59:18.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,39.0
90,No5,2024-04-24T17:59:23.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,39.0
91,No5,2024-04-24T17:59:28.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,39.0
92,No5,2024-04-24T17:59:33.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,39.0
93,No5,2024-04-24T17:59:38.000,39.155876999,-84.46333737,76.0,0.2,0.2,0.2,39.0
94,No5,2024-04-24T17:59:43.000,39.155876999,-84.46333737,76.0,0.4,0.4,0.4,39.0
95,No5,2024-04-24T17:59:48.000,39.155876999,-84.46333737,76.0,0.0,0.0,0.0,39.0
96,No5,2024-04-24T17:59:53.000,39.155876999,-84.46333737,76.4,0.0,0.0,0.0,39.0
97,No5,2024-04-24T17:59:58.000,39.155876999,-84.46333737,76.8,0.0,0.0,0.0,39.0
98,No5,2024-04-24T18:00:03.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
99,No5,2024-04-24T18:00:08.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
100,No5,2024-04-24T18:00:13.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
101,No5,2024-04-24T18:00:18.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
102,No5,2024-04-24T18:00:23.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
103,No5,2024-04-24T18:00:28.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
104,No5,2024-04-24T18:00:33.000,39.155876999,-84.46333737,77.0,0.5,0.5,0.5,39.0
105,No5,2024-04-24T18:00:38.000,39.155876999,-84.46333737,77.0,0.5,0.5,0.5,39.0
106,No5,2024-04-24T18:00:43.000,39.155876999,-84.46333737,77.0,0.8,0.8,0.8,39.0
107,No5,2024-04-24T18:00:48.000,39.155876999,-84.46333737,77.0,0.8333333,0.8333333,0.8333333,39.0
108,No5,2024-04-24T18:00:53.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
109,No5,2024-04-24T18:00:58.000,39.155876999,-84.46333737,77.0,0.8,0.8,0.8,39.0
110,No5,2024-04-24T18:01:03.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
111,No5,2024-04-24T18:01:08.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
112,No5,2024-04-24T18:01:13.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
113,No5,2024-04-24T18:01:18.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
114,No5,2024-04-24T18:01:23.000,39.155876999,-84.46333737,77.0,0.2,0.2,0.2,39.0
115,No5,2024-04-24T18:01:28.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
116,No5,2024-04-24T18:01:33.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
117,No5,2024-04-24T18:01:38.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,39.0
118,No5,2024-04-24T18:01:43.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,38.4
119,No5,2024-04-24T18:01:48.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,38.0
120,No5,2024-04-24T18:01:53.000,39.155876999,-84.46333737,77.0,0.0,0.0,0.0,38.0
