,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,NO7 Monday,2024-04-28T07:12:08.000,39.167920108,-84.4536568,85.0,141.0,,,44.0
2,NO7 Monday,2024-04-29T06:31:59.000,39.167915668,-84.453650832,86.0,150.0,336.0,177.0,44.0
3,NO7 Monday,2024-04-29T06:32:00.000,39.1679151,-84.453643064,86.0,150.0,360.0,190.0,44.0
4,NO7 Monday,2024-04-29T06:32:01.000,39.167920997,-84.45363121,86.0,146.0,360.0,190.0,44.0
5,NO7 Monday,2024-04-29T06:32:02.000,39.167919043,-84.453627374,86.0,146.0,349.0,184.0,44.0
6,NO7 Monday,2024-04-29T06:32:03.000,39.167920767,-84.453625731,86.0,146.0,349.0,184.0,44.0
7,NO7 Monday,2024-04-29T06:32:04.000,39.167915258,-84.45362886,86.0,146.0,349.0,184.0,44.0
8,NO7 Monday,2024-04-29T06:32:05.000,39.167912762,-84.453633894,86.0,146.0,349.0,184.0,44.0
9,NO7 Monday,2024-04-29T06:32:06.000,39.167920237,-84.453634885,86.0,143.0,349.0,184.0,44.0
10,NO7 Monday,2024-04-29T06:32:07.000,39.167924274,-84.453633873,86.0,143.0,341.0,180.0,44.0
11,NO7 Monday,2024-04-29T06:32:08.000,39.167923362,-84.45362998,86.0,146.0,341.0,180.0,44.0
12,NO7 Monday,2024-04-29T06:32:09.000,39.167921446,-84.453643016,86.0,146.0,349.0,184.0,44.0
13,NO7 Monday,2024-04-29T06:32:10.000,39.167918113,-84.453647524,86.0,146.0,349.0,184.0,44.0
14,NO7 Monday,2024-04-29T06:32:11.000,39.167917183,-84.453651074,86.0,146.0,349.0,184.0,44.0
15,NO7 Monday,2024-04-29T06:32:12.000,39.167916596,-84.453652641,86.0,146.0,349.0,184.0,44.0
16,NO7 Monday,2024-04-29T06:32:13.000,39.167915922,-84.453654232,86.0,144.0,349.0,184.0,44.0
17,NO7 Monday,2024-04-29T06:32:14.000,39.167915494,-84.453659894,86.0,144.0,345.0,182.0,44.0
18,NO7 Monday,2024-04-29T06:32:15.000,39.1679153,-84.453663226,86.0,144.0,345.0,182.0,44.0
19,NO7 Monday,2024-04-29T06:32:16.000,39.167910425,-84.453649683,86.0,144.0,345.0,182.0,44.0
20,NO7 Monday,2024-04-29T06:32:17.000,39.167909069,-84.453638566,86.0,144.0,345.0,182.0,44.0
21,NO7 Monday,2024-04-29T06:32:18.000,39.167908673,-84.453643886,86.0,146.0,345.0,182.0,44.0
22,NO7 Monday,2024-04-29T06:32:19.000,39.167905851,-84.453644171,86.0,146.0,349.0,184.0,43.0
23,NO7 Monday,2024-04-29T06:32:20.000,39.167905295,-84.453644161,86.0,146.0,349.0,184.0,43.0
24,NO7 Monday,2024-04-29T06:32:21.000,39.167903019,-84.45365782,86.0,146.0,349.0,184.0,43.0
25,NO7 Monday,2024-04-29T06:32:22.000,39.167902949,-84.453664731,86.0,144.0,349.0,184.0,43.0
26,NO7 Monday,2024-04-29T06:32:23.000,39.167904083,-84.453669602,86.0,144.0,345.0,182.0,43.0
27,NO7 Monday,2024-04-29T06:32:24.000,39.16790442,-84.453673202,86.0,143.0,345.0,182.0,43.0
28,NO7 Monday,2024-04-29T06:32:25.000,39.167905852,-84.453673574,86.0,143.0,341.0,180.0,43.0
29,NO7 Monday,2024-04-29T06:32:26.000,39.16790524,-84.453676941,86.0,143.0,341.0,180.0,43.0
30,NO7 Monday,2024-04-29T06:32:27.000,39.167905525,-84.45367592,86.0,143.0,341.0,180.0,43.0
31,NO7 Monday,2024-04-29T06:32:28.000,39.167906412,-84.453680024,86.0,143.0,341.0,180.0,43.0
32,NO7 Monday,2024-04-29T06:32:29.000,39.167903058,-84.453685447,86.0,143.0,341.0,180.0,43.0
33,NO7 Monday,2024-04-29T06:32:30.000,39.167915101,-84.453687811,86.0,143.0,341.0,180.0,43.0
34,NO7 Monday,2024-04-29T06:32:31.000,39.167928787,-84.453705436,86.0,143.0,341.0,180.0,43.0
35,NO7 Monday,2024-04-29T06:32:32.000,39.167939687,-84.45370801,86.0,143.0,341.0,180.0,43.0
36,NO7 Monday,2024-04-29T06:32:33.000,39.167946228,-84.453707638,86.0,144.0,341.0,180.0,43.0
37,NO7 Monday,2024-04-29T06:32:34.000,39.167951263,-84.453716227,86.0,144.0,343.0,181.0,43.0
38,NO7 Monday,2024-04-29T06:32:35.000,39.167951311,-84.453729867,86.0,144.0,345.0,182.0,43.0
39,NO7 Monday,2024-04-29T06:32:36.000,39.167953294,-84.453728836,86.0,144.0,345.0,182.0,43.0
40,NO7 Monday,2024-04-29T06:32:37.000,39.167959268,-84.45372551,86.0,144.0,345.0,182.0,43.0
41,NO7 Monday,2024-04-29T06:32:38.000,39.167961212,-84.453728789,86.0,143.0,345.0,182.0,43.0
42,NO7 Monday,2024-04-29T06:32:39.000,39.167956175,-84.453732802,86.0,143.0,341.0,180.0,43.0
43,NO7 Monday,2024-04-29T06:32:40.000,39.167950479,-84.453731269,86.0,143.0,341.0,180.0,43.0
44,NO7 Monday,2024-04-29T06:32:41.000,39.167952784,-84.453735625,86.0,143.0,341.0,180.0,43.0
45,NO7 Monday,2024-04-29T06:32:42.000,39.167951116,-84.453732164,86.0,142.0,341.0,180.0,43.0
46,NO7 Monday,2024-04-29T06:32:43.000,39.167953009,-84.453724197,86.0,142.0,337.0,178.0,43.0
47,NO7 Monday,2024-04-29T06:32:44.000,39.167955673,-84.453724018,86.0,140.0,337.0,178.0,43.0
48,NO7 Monday,2024-04-29T06:32:45.000,39.167968274,-84.453719076,86.0,138.0,333.0,176.0,43.0
49,NO7 Monday,2024-04-29T06:32:46.000,39.167968078,-84.453712318,86.0,139.0,326.0,172.0,43.0
50,NO7 Monday,2024-04-29T06:32:47.000,39.16796413,-84.453703349,86.0,139.0,329.0,174.0,43.0
51,NO7 Monday,2024-04-29T06:32:48.000,39.167969344,-84.453701594,86.0,140.0,329.0,174.0,43.0
52,NO7 Monday,2024-04-29T06:32:49.000,39.16797119,-84.453695835,86.0,139.0,333.0,176.0,43.0
53,NO7 Monday,2024-04-29T06:32:50.000,39.167968786,-84.45368815,86.0,142.0,329.0,174.0,43.0
54,NO7 Monday,2024-04-29T06:32:51.000,39.167968786,-84.45368815,86.0,143.0,337.0,178.0,43.0
55,NO7 Monday,2024-04-29T06:32:52.000,39.167968786,-84.45368815,86.0,146.0,341.0,180.0,43.0
56,NO7 Monday,2024-04-29T06:32:53.000,39.167968786,-84.45368815,86.0,146.0,349.0,184.0,43.0
57,NO7 Monday,2024-04-29T06:32:54.000,39.167968786,-84.45368815,86.0,146.0,349.0,184.0,43.0
58,NO7 Monday,2024-04-29T06:32:55.000,39.167968786,-84.45368815,86.0,148.0,349.0,184.0,43.0
59,NO7 Monday,2024-04-29T06:32:56.000,39.167968786,-84.45368815,86.0,148.0,357.0,188.0,43.0
60,NO7 Monday,2024-04-29T06:32:57.000,39.167968786,-84.45368815,86.0,148.0,357.0,188.0,43.0
61,NO7 Monday,2024-04-29T06:32:58.000,39.167968786,-84.45368815,86.0,148.0,357.0,188.0,43.0
62,NO7 Monday,2024-04-29T06:32:59.000,39.167968786,-84.45368815,86.0,148.0,357.0,188.0,43.0
63,NO7 Monday,2024-04-29T06:33:00.000,39.167968786,-84.45368815,86.0,151.0,357.0,188.0,43.0
64,NO7 Monday,2024-04-29T06:33:01.000,39.167968786,-84.45368815,86.0,151.0,364.0,192.0,43.0
65,NO7 Monday,2024-04-29T06:33:02.000,39.167968786,-84.45368815,86.0,148.0,364.0,192.0,43.0
66,NO7 Monday,2024-04-29T06:33:03.000,39.167968786,-84.45368815,86.0,144.0,357.0,188.0,43.0
67,NO7 Monday,2024-04-29T06:33:04.000,39.167968786,-84.45368815,86.0,144.0,345.0,182.0,43.0
68,NO7 Monday,2024-04-29T06:33:05.000,39.167968786,-84.45368815,86.0,142.0,345.0,182.0,43.0
69,NO7 Monday,2024-04-29T06:33:06.000,39.167968786,-84.45368815,86.0,142.0,337.0,178.0,43.0
70,NO7 Monday,2024-04-29T06:33:07.000,39.167968786,-84.45368815,86.0,138.0,337.0,178.0,43.0
71,NO7 Monday,2024-04-29T06:33:08.000,39.167968786,-84.45368815,86.0,138.0,326.0,172.0,43.0
72,NO7 Monday,2024-04-29T06:33:09.000,39.167968786,-84.45368815,86.0,140.0,326.0,172.0,43.0
73,NO7 Monday,2024-04-29T06:33:10.000,39.167968786,-84.45368815,86.0,140.0,333.0,176.0,43.0
74,NO7 Monday,2024-04-29T06:33:11.000,39.167968786,-84.45368815,86.0,139.0,331.0,175.0,43.0
75,NO7 Monday,2024-04-29T06:33:12.000,39.167968786,-84.45368815,86.0,139.0,329.0,174.0,44.0
76,NO7 Monday,2024-04-29T06:33:13.000,39.167968786,-84.45368815,86.0,140.0,329.0,174.0,44.0
77,NO7 Monday,2024-04-29T06:33:14.000,39.167968786,-84.45368815,86.0,139.0,333.0,176.0,44.0
78,NO7 Monday,2024-04-29T06:33:15.000,39.167968786,-84.45368815,86.0,140.0,329.0,174.0,44.0
79,NO7 Monday,2024-04-29T06:33:16.000,39.167968786,-84.45368815,86.0,142.0,333.0,176.0,44.0
80,NO7 Monday,2024-04-29T06:33:17.000,39.167968786,-84.45368815,86.0,143.0,337.0,178.0,44.0
81,NO7 Monday,2024-04-29T06:33:18.000,39.167968786,-84.45368815,86.0,144.0,341.0,180.0,44.0
82,NO7 Monday,2024-04-29T06:33:19.000,39.167968786,-84.45368815,86.0,143.0,345.0,182.0,44.0
83,NO7 Monday,2024-04-29T06:33:20.000,39.167968786,-84.45368815,86.0,143.0,341.0,180.0,44.0
84,NO7 Monday,2024-04-29T06:33:21.000,39.167968786,-84.45368815,86.0,144.0,341.0,180.0,44.0
85,NO7 Monday,2024-04-29T06:33:22.000,39.167968786,-84.45368815,86.0,144.0,343.0,181.0,44.0
86,NO7 Monday,2024-04-29T06:33:23.000,39.167968786,-84.45368815,86.0,143.0,345.0,182.0,44.0
87,NO7 Monday,2024-04-29T06:33:24.000,39.167968786,-84.45368815,86.0,142.0,341.0,180.0,44.0
88,NO7 Monday,2024-04-29T06:33:25.000,39.167968786,-84.45368815,86.0,140.0,337.0,178.0,44.0
89,NO7 Monday,2024-04-29T06:33:26.000,39.167968786,-84.45368815,86.0,140.0,333.0,176.0,44.0
90,NO7 Monday,2024-04-29T06:33:27.000,39.167968786,-84.45368815,86.0,142.0,333.0,176.0,44.0
91,NO7 Monday,2024-04-29T06:33:28.000,39.167968786,-84.45368815,86.0,141.0,337.0,178.0,44.0
92,NO7 Monday,2024-04-29T06:33:29.000,39.167968786,-84.45368815,86.0,139.0,335.0,177.0,44.0
93,NO7 Monday,2024-04-29T06:33:30.000,39.167968786,-84.45368815,86.0,138.0,329.0,174.0,44.0
94,NO7 Monday,2024-04-29T06:33:31.000,39.167968786,-84.45368815,86.0,138.0,326.0,172.0,44.0
95,NO7 Monday,2024-04-29T06:33:32.000,39.167968786,-84.45368815,87.0,140.0,326.0,172.0,44.0
96,NO7 Monday,2024-04-29T06:33:33.000,39.167968786,-84.45368815,87.0,142.0,333.0,176.0,44.0
97,NO7 Monday,2024-04-29T06:33:34.000,39.167968786,-84.45368815,86.0,142.0,337.0,178.0,44.0
98,NO7 Monday,2024-04-29T06:33:35.000,39.167953883,-84.4536868,87.0,142.0,337.0,178.0,44.0
99,NO7 Monday,2024-04-29T06:33:36.000,39.167954617,-84.453680029,87.0,142.0,337.0,178.0,44.0
100,NO7 Monday,2024-04-29T06:33:37.000,39.167960834,-84.453675149,87.0,140.0,337.0,178.0,44.0
101,NO7 Monday,2024-04-29T06:33:38.000,39.167963258,-84.453674229,87.0,142.0,333.0,176.0,44.0
102,NO7 Monday,2024-04-29T06:33:39.000,39.167962463,-84.453673631,87.0,140.0,337.0,178.0,44.0
103,NO7 Monday,2024-04-29T06:33:40.000,39.167964084,-84.45366648,87.0,140.0,333.0,176.0,44.0
104,NO7 Monday,2024-04-29T06:33:41.000,39.167970688,-84.453658615,87.0,138.0,333.0,176.0,44.0
105,NO7 Monday,2024-04-29T06:33:42.000,39.167972477,-84.453662232,87.0,138.0,326.0,172.0,44.0
106,NO7 Monday,2024-04-29T06:33:43.000,39.167975288,-84.453657343,87.0,140.0,326.0,172.0,44.0
107,NO7 Monday,2024-04-29T06:33:44.000,39.167976185,-84.453647959,87.0,140.0,333.0,176.0,44.0
108,NO7 Monday,2024-04-29T06:33:45.000,39.167977406,-84.453647385,87.0,142.0,333.0,176.0,44.0
109,NO7 Monday,2024-04-29T06:33:46.000,39.167975401,-84.453647437,87.0,142.0,337.0,178.0,44.0
