,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,NO7 Saturday,2024-04-25T20:41:17.000,39.167967718,-84.45359711,89.0,78.0,,,33.0
2,NO7 Saturday,2024-04-27T06:18:17.000,39.167965404,-84.453652012,88.0,69.0,170.0,95.0,34.0
3,NO7 Saturday,2024-04-27T06:18:18.000,39.167965404,-84.453652012,88.0,69.0,146.0,83.0,34.0
4,NO7 Saturday,2024-04-27T06:18:19.000,39.167965404,-84.453652012,88.0,68.0,146.0,83.0,34.0
5,NO7 Saturday,2024-04-27T06:18:20.000,39.16787833,-84.453699796,88.0,68.0,143.0,81.0,34.0
6,NO7 Saturday,2024-04-27T06:18:21.000,39.167875305,-84.453699288,88.0,68.0,143.0,81.0,34.0
7,NO7 Saturday,2024-04-27T06:18:22.000,39.167878453,-84.453696691,88.0,68.0,143.0,81.0,34.0
8,NO7 Saturday,2024-04-27T06:18:23.000,39.167874918,-84.453698847,88.0,70.0,143.0,81.0,34.0
9,NO7 Saturday,2024-04-27T06:18:24.000,39.167872743,-84.453704817,88.0,70.0,150.0,84.0,34.0
10,NO7 Saturday,2024-04-27T06:18:25.000,39.167872816,-84.453706115,88.0,69.0,150.0,84.0,34.0
11,NO7 Saturday,2024-04-27T06:18:26.000,39.167873934,-84.453703139,88.0,69.0,146.0,83.0,34.0
12,NO7 Saturday,2024-04-27T06:18:27.000,39.167882109,-84.453701843,88.0,66.0,146.0,83.0,34.0
13,NO7 Saturday,2024-04-27T06:18:28.000,39.167890661,-84.453701476,88.0,66.0,139.0,79.0,34.0
14,NO7 Saturday,2024-04-27T06:18:29.000,39.167903006,-84.45371932,88.0,65.0,139.0,79.0,34.0
15,NO7 Saturday,2024-04-27T06:18:30.000,39.167898377,-84.453711377,88.0,65.0,136.0,77.0,34.0
16,NO7 Saturday,2024-04-27T06:18:31.000,39.167916877,-84.453704754,88.0,66.0,136.0,77.0,34.0
17,NO7 Saturday,2024-04-27T06:18:32.000,39.167923774,-84.453695926,88.0,65.0,139.0,79.0,34.0
18,NO7 Saturday,2024-04-27T06:18:33.000,39.167921979,-84.453685369,88.0,68.0,136.0,77.0,34.0
19,NO7 Saturday,2024-04-27T06:18:34.000,39.167915519,-84.45368001,88.0,68.0,143.0,81.0,34.0
20,NO7 Saturday,2024-04-27T06:18:35.000,39.167914725,-84.453677481,88.0,68.0,143.0,81.0,34.0
21,NO7 Saturday,2024-04-27T06:18:36.000,39.167911486,-84.453679041,88.0,66.0,143.0,81.0,34.0
22,NO7 Saturday,2024-04-27T06:18:37.000,39.167912956,-84.453670312,88.0,65.0,139.0,79.0,34.0
23,NO7 Saturday,2024-04-27T06:18:38.000,39.167914008,-84.453668924,88.0,68.0,136.0,77.0,34.0
24,NO7 Saturday,2024-04-27T06:18:39.000,39.167914179,-84.453672516,88.0,68.0,143.0,81.0,34.0
25,NO7 Saturday,2024-04-27T06:18:40.000,39.167912994,-84.4536726,88.0,68.0,143.0,81.0,34.0
26,NO7 Saturday,2024-04-27T06:18:41.000,39.167915205,-84.453665881,88.0,68.0,143.0,81.0,34.0
27,NO7 Saturday,2024-04-27T06:18:42.000,39.167914237,-84.453663748,88.0,65.0,143.0,81.0,34.0
28,NO7 Saturday,2024-04-27T06:18:43.000,39.167913753,-84.453663187,88.0,65.0,136.0,77.0,34.0
29,NO7 Saturday,2024-04-27T06:18:44.000,39.167910561,-84.453661145,88.0,65.0,136.0,77.0,34.0
30,NO7 Saturday,2024-04-27T06:18:45.000,39.167914266,-84.453658151,88.0,65.0,136.0,77.0,34.0
31,NO7 Saturday,2024-04-27T06:18:46.000,39.167923229,-84.453658471,88.0,68.0,136.0,77.0,34.0
32,NO7 Saturday,2024-04-27T06:18:47.000,39.167928745,-84.453656503,88.0,66.0,143.0,81.0,34.0
33,NO7 Saturday,2024-04-27T06:18:48.000,39.167929661,-84.453647608,88.0,68.0,139.0,79.0,34.0
34,NO7 Saturday,2024-04-27T06:18:49.000,39.16793583,-84.453645911,88.0,66.0,143.0,81.0,34.0
35,NO7 Saturday,2024-04-27T06:18:50.000,39.16794009,-84.453642895,88.0,68.0,139.0,79.0,34.0
36,NO7 Saturday,2024-04-27T06:18:51.000,39.167941881,-84.453636474,88.0,70.0,143.0,81.0,34.0
37,NO7 Saturday,2024-04-27T06:18:52.000,39.167938727,-84.453636692,88.0,75.0,150.0,84.0,34.0
38,NO7 Saturday,2024-04-27T06:18:53.000,39.167937837,-84.45363691,88.0,80.0,162.0,90.0,34.0
39,NO7 Saturday,2024-04-27T06:18:54.000,39.167935799,-84.453639858,88.0,84.0,174.0,96.0,34.0
40,NO7 Saturday,2024-04-27T06:18:55.000,39.167937673,-84.453633436,88.0,84.0,184.0,102.0,34.0
41,NO7 Saturday,2024-04-27T06:18:56.000,39.16793851,-84.453631246,88.0,85.0,184.0,102.0,34.0
42,NO7 Saturday,2024-04-27T06:18:57.000,39.167942399,-84.453634466,88.0,86.0,188.0,103.0,34.0
43,NO7 Saturday,2024-04-27T06:18:58.000,39.167950138,-84.453639698,88.0,86.0,191.0,105.0,34.0
44,NO7 Saturday,2024-04-27T06:18:59.000,39.167950997,-84.453640671,88.0,86.0,191.0,105.0,34.0
45,NO7 Saturday,2024-04-27T06:19:00.000,39.167961999,-84.453640531,88.0,85.0,191.0,105.0,34.0
46,NO7 Saturday,2024-04-27T06:19:01.000,39.167961217,-84.453643185,88.0,81.0,188.0,103.0,34.0
47,NO7 Saturday,2024-04-27T06:19:02.000,39.167964432,-84.453635609,88.0,78.0,177.0,98.0,34.0
48,NO7 Saturday,2024-04-27T06:19:03.000,39.167965663,-84.453637994,88.0,78.0,170.0,95.0,34.0
49,NO7 Saturday,2024-04-27T06:19:04.000,39.167962676,-84.453636256,88.0,77.0,169.0,94.0,34.0
50,NO7 Saturday,2024-04-27T06:19:05.000,39.167960293,-84.453639444,88.0,74.0,167.0,93.0,34.0
51,NO7 Saturday,2024-04-27T06:19:06.000,39.167958982,-84.45364124,88.0,74.0,160.0,90.0,34.0
52,NO7 Saturday,2024-04-27T06:19:07.000,39.167956887,-84.45363869,88.0,74.0,160.0,90.0,34.0
53,NO7 Saturday,2024-04-27T06:19:08.000,39.1679574,-84.453637298,88.0,74.0,160.0,90.0,34.0
54,NO7 Saturday,2024-04-27T06:19:09.000,39.167957892,-84.453637034,88.0,73.0,160.0,90.0,34.0
55,NO7 Saturday,2024-04-27T06:19:10.000,39.167960788,-84.453637217,88.0,72.0,157.0,88.0,34.0
56,NO7 Saturday,2024-04-27T06:19:11.000,39.167959584,-84.453639158,88.0,73.0,153.0,86.0,34.0
57,NO7 Saturday,2024-04-27T06:19:12.000,39.167955606,-84.453638699,88.0,72.0,157.0,88.0,34.0
58,NO7 Saturday,2024-04-27T06:19:13.000,39.167949315,-84.453652998,88.0,72.0,153.0,86.0,34.0
59,NO7 Saturday,2024-04-27T06:19:14.000,39.167934981,-84.453666086,88.0,72.0,153.0,86.0,34.0
60,NO7 Saturday,2024-04-27T06:19:15.000,39.167933956,-84.453670588,88.0,72.0,153.0,86.0,34.0
61,NO7 Saturday,2024-04-27T06:19:16.000,39.167935209,-84.453670799,88.0,72.0,153.0,86.0,34.0
62,NO7 Saturday,2024-04-27T06:19:17.000,39.167935713,-84.453668563,88.0,72.0,153.0,86.0,34.0
63,NO7 Saturday,2024-04-27T06:19:18.000,39.167930617,-84.453663889,88.0,72.0,153.0,86.0,34.0
64,NO7 Saturday,2024-04-27T06:19:19.000,39.16792696,-84.453664365,88.0,72.0,153.0,86.0,34.0
65,NO7 Saturday,2024-04-27T06:19:20.000,39.167923761,-84.453662852,88.0,72.0,153.0,86.0,34.0
66,NO7 Saturday,2024-04-27T06:19:21.000,39.167924982,-84.453656456,88.0,70.0,153.0,86.0,34.0
67,NO7 Saturday,2024-04-27T06:19:22.000,39.1679292,-84.453651377,88.0,72.0,150.0,84.0,34.0
68,NO7 Saturday,2024-04-27T06:19:23.000,39.16793387,-84.453637158,88.0,74.0,153.0,86.0,34.0
69,NO7 Saturday,2024-04-27T06:19:24.000,39.167940574,-84.453629032,88.0,74.0,160.0,90.0,34.0
70,NO7 Saturday,2024-04-27T06:19:25.000,39.167947242,-84.453633919,88.0,76.0,160.0,90.0,34.0
71,NO7 Saturday,2024-04-27T06:19:26.000,39.167952923,-84.453632656,88.0,77.0,164.0,91.0,34.0
72,NO7 Saturday,2024-04-27T06:19:27.000,39.167961455,-84.453629059,88.0,81.0,167.0,93.0,34.0
73,NO7 Saturday,2024-04-27T06:19:28.000,39.167960575,-84.453625865,88.0,82.0,177.0,98.0,34.0
74,NO7 Saturday,2024-04-27T06:19:29.000,39.167970938,-84.453623471,88.0,82.0,181.0,100.0,34.0
75,NO7 Saturday,2024-04-27T06:19:30.000,39.167970885,-84.453630317,88.0,86.0,181.0,100.0,34.0
76,NO7 Saturday,2024-04-27T06:19:31.000,39.167971093,-84.453641682,88.0,88.0,191.0,105.0,34.0
77,NO7 Saturday,2024-04-27T06:19:32.000,39.167974188,-84.453652451,88.0,91.0,195.0,107.0,34.0
78,NO7 Saturday,2024-04-27T06:19:33.000,39.16797575,-84.453652226,88.0,86.0,201.0,110.0,34.0
79,NO7 Saturday,2024-04-27T06:19:34.000,39.167968129,-84.453656372,88.0,85.0,191.0,105.0,34.0
80,NO7 Saturday,2024-04-27T06:19:35.000,39.167966663,-84.453663817,88.0,85.0,188.0,103.0,34.0
81,NO7 Saturday,2024-04-27T06:19:36.000,39.167963118,-84.453670217,88.0,85.0,188.0,103.0,34.0
82,NO7 Saturday,2024-04-27T06:19:37.000,39.167960187,-84.453673533,88.0,89.0,188.0,103.0,34.0
83,NO7 Saturday,2024-04-27T06:19:38.000,39.167952406,-84.453669407,88.0,89.0,198.0,109.0,34.0
84,NO7 Saturday,2024-04-27T06:19:39.000,39.167949844,-84.453667718,88.0,89.0,198.0,109.0,34.0
85,NO7 Saturday,2024-04-27T06:19:40.000,39.16794671,-84.453670696,88.0,89.0,198.0,109.0,34.0
86,NO7 Saturday,2024-04-27T06:19:41.000,39.1679459,-84.453676251,88.0,91.0,198.0,109.0,34.0
87,NO7 Saturday,2024-04-27T06:19:42.000,39.1679459,-84.453676251,88.0,93.0,201.0,110.0,34.0
88,NO7 Saturday,2024-04-27T06:19:43.000,39.1679459,-84.453676251,88.0,95.0,208.0,114.0,34.0
89,NO7 Saturday,2024-04-27T06:19:44.000,39.1679459,-84.453676251,88.0,96.0,212.0,115.0,34.0
90,NO7 Saturday,2024-04-27T06:19:45.000,39.1679459,-84.453676251,88.0,99.0,215.0,117.0,34.0
91,NO7 Saturday,2024-04-27T06:19:46.000,39.1679459,-84.453676251,88.0,101.0,222.0,121.0,34.0
92,NO7 Saturday,2024-04-27T06:19:47.000,39.1679459,-84.453676251,88.0,103.0,229.0,124.0,34.0
93,NO7 Saturday,2024-04-27T06:19:48.000,39.1679459,-84.453676251,88.0,104.0,233.0,126.0,34.0
94,NO7 Saturday,2024-04-27T06:19:49.000,39.1679459,-84.453676251,88.0,103.0,236.0,127.0,34.0
95,NO7 Saturday,2024-04-27T06:19:50.000,39.1679459,-84.453676251,88.0,101.0,233.0,126.0,34.0
96,NO7 Saturday,2024-04-27T06:19:51.000,39.1679459,-84.453676251,88.0,100.0,229.0,124.0,34.0
97,NO7 Saturday,2024-04-27T06:19:52.000,39.1679459,-84.453676251,88.0,97.0,226.0,122.0,34.0
98,NO7 Saturday,2024-04-27T06:19:53.000,39.1679459,-84.453676251,88.0,97.0,219.0,119.0,34.0
99,NO7 Saturday,2024-04-27T06:19:54.000,39.1679459,-84.453676251,88.0,96.0,219.0,119.0,34.0
100,NO7 Saturday,2024-04-27T06:19:55.000,39.1679459,-84.453676251,88.0,96.0,215.0,117.0,34.0
101,NO7 Saturday,2024-04-27T06:19:56.000,39.16794564,-84.453702315,88.0,96.0,215.0,117.0,34.0
102,NO7 Saturday,2024-04-27T06:19:57.000,39.167941019,-84.453695028,88.0,96.0,215.0,117.0,34.0
103,NO7 Saturday,2024-04-27T06:19:58.000,39.167938435,-84.453702066,88.0,96.0,215.0,117.0,34.0
104,NO7 Saturday,2024-04-27T06:19:59.000,39.167944441,-84.453704422,88.0,97.0,215.0,117.0,34.0
105,NO7 Saturday,2024-04-27T06:20:00.000,39.167943905,-84.453708164,88.0,97.0,219.0,119.0,34.0
106,NO7 Saturday,2024-04-27T06:20:01.000,39.167943349,-84.453713086,88.0,99.0,219.0,119.0,34.0
107,NO7 Saturday,2024-04-27T06:20:02.000,39.167943345,-84.453713994,88.0,100.0,222.0,121.0,34.0
108,NO7 Saturday,2024-04-27T06:20:03.000,39.1679434,-84.453716669,88.0,99.0,226.0,122.0,34.0
