,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434,AirBeam3:8c4b14009434
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,NO7 Sunday,2024-04-27T06:56:26.000,39.167913638,-84.453672721,83.0,165.0,,,46.0
2,NO7 Sunday,2024-04-28T06:32:20.000,39.16793997,-84.453652352,83.0,163.0,405.0,209.0,45.0
3,NO7 Sunday,2024-04-28T06:32:21.000,39.167944553,-84.453654684,83.0,154.0,393.0,206.0,45.0
4,NO7 Sunday,2024-04-28T06:32:22.000,39.167948875,-84.453648126,83.0,154.0,372.0,196.0,45.0
5,NO7 Sunday,2024-04-28T06:32:23.000,39.167950279,-84.453644741,83.0,158.0,372.0,196.0,45.0
6,NO7 Sunday,2024-04-28T06:32:24.000,39.16794401,-84.453640352,83.0,156.0,384.0,201.0,45.0
7,NO7 Sunday,2024-04-28T06:32:25.000,39.167940578,-84.453637511,83.0,156.0,380.0,199.0,45.0
8,NO7 Sunday,2024-04-28T06:32:26.000,39.167941828,-84.453634521,83.0,152.0,380.0,199.0,45.0
9,NO7 Sunday,2024-04-28T06:32:27.000,39.167940451,-84.453636253,83.0,152.0,368.0,194.0,45.0
10,NO7 Sunday,2024-04-28T06:32:28.000,39.167937215,-84.453638444,83.0,151.0,366.0,193.0,45.0
11,NO7 Sunday,2024-04-28T06:32:29.000,39.167931518,-84.453636631,83.0,150.0,364.0,192.0,45.0
12,NO7 Sunday,2024-04-28T06:32:30.000,39.167927488,-84.453636552,83.0,151.0,360.0,190.0,45.0
13,NO7 Sunday,2024-04-28T06:32:31.000,39.167933265,-84.453642331,83.0,150.0,364.0,192.0,45.0
14,NO7 Sunday,2024-04-28T06:32:32.000,39.167935652,-84.453637991,83.0,148.0,360.0,190.0,45.0
15,NO7 Sunday,2024-04-28T06:32:33.000,39.167934354,-84.453638908,83.0,148.0,357.0,188.0,45.0
16,NO7 Sunday,2024-04-28T06:32:34.000,39.167933254,-84.453635981,83.0,147.0,357.0,188.0,45.0
17,NO7 Sunday,2024-04-28T06:32:35.000,39.167934597,-84.453628262,83.0,150.0,353.0,186.0,45.0
18,NO7 Sunday,2024-04-28T06:32:36.000,39.16793134,-84.453622749,83.0,150.0,360.0,190.0,45.0
19,NO7 Sunday,2024-04-28T06:32:37.000,39.167930062,-84.453616052,83.0,151.0,360.0,190.0,45.0
20,NO7 Sunday,2024-04-28T06:32:38.000,39.167927781,-84.453611146,83.0,151.0,364.0,192.0,45.0
21,NO7 Sunday,2024-04-28T06:32:39.000,39.167922977,-84.453603663,83.0,151.0,364.0,192.0,45.0
22,NO7 Sunday,2024-04-28T06:32:40.000,39.167921885,-84.453604952,83.0,151.0,364.0,192.0,45.0
23,NO7 Sunday,2024-04-28T06:32:41.000,39.167925747,-84.453608694,83.0,152.0,364.0,192.0,45.0
24,NO7 Sunday,2024-04-28T06:32:42.000,39.167924358,-84.453609991,83.0,152.0,368.0,194.0,45.0
25,NO7 Sunday,2024-04-28T06:32:43.000,39.167925179,-84.453608361,83.0,155.0,368.0,194.0,45.0
26,NO7 Sunday,2024-04-28T06:32:44.000,39.167932384,-84.453604001,83.0,156.0,376.0,197.0,45.0
27,NO7 Sunday,2024-04-28T06:32:45.000,39.167930237,-84.453605218,83.0,156.0,380.0,199.0,45.0
28,NO7 Sunday,2024-04-28T06:32:46.000,39.167931177,-84.453607789,83.0,160.0,380.0,199.0,45.0
29,NO7 Sunday,2024-04-28T06:32:47.000,39.167928478,-84.453611181,83.0,164.0,391.0,205.0,45.0
30,NO7 Sunday,2024-04-28T06:32:48.000,39.167925751,-84.45361367,83.0,166.0,403.0,211.0,45.0
31,NO7 Sunday,2024-04-28T06:32:49.000,39.167916112,-84.453617916,83.0,174.0,407.0,213.0,45.0
32,NO7 Sunday,2024-04-28T06:32:50.000,39.167903425,-84.453626706,83.0,182.0,430.0,225.0,45.0
33,NO7 Sunday,2024-04-28T06:32:51.000,39.16790385,-84.453633136,83.0,191.0,453.0,236.0,45.0
34,NO7 Sunday,2024-04-28T06:32:52.000,39.167904578,-84.453636926,83.0,198.0,481.0,250.0,45.0
35,NO7 Sunday,2024-04-28T06:32:53.000,39.167906541,-84.453636336,83.0,197.0,500.0,259.0,45.0
36,NO7 Sunday,2024-04-28T06:32:54.000,39.167904795,-84.453633995,83.0,206.0,496.0,258.0,45.0
37,NO7 Sunday,2024-04-28T06:32:55.000,39.167904965,-84.453630105,83.0,211.0,523.0,271.0,45.0
38,NO7 Sunday,2024-04-28T06:32:56.000,39.16790524,-84.453624019,83.0,216.0,537.0,278.0,45.0
39,NO7 Sunday,2024-04-28T06:32:57.000,39.167902096,-84.45361918,83.0,224.0,550.0,285.0,45.0
40,NO7 Sunday,2024-04-28T06:32:58.000,39.167902496,-84.453624834,83.0,224.0,573.0,296.0,45.0
41,NO7 Sunday,2024-04-28T06:32:59.000,39.167907342,-84.453632131,83.0,228.0,573.0,296.0,45.0
42,NO7 Sunday,2024-04-28T06:33:00.000,39.167912121,-84.453630186,83.0,228.0,585.0,302.0,45.0
43,NO7 Sunday,2024-04-28T06:33:01.000,39.167911369,-84.453631754,83.0,228.0,585.0,302.0,45.0
44,NO7 Sunday,2024-04-28T06:33:02.000,39.167902134,-84.453641435,83.0,230.0,585.0,302.0,45.0
45,NO7 Sunday,2024-04-28T06:33:03.000,39.167903219,-84.453645306,83.0,232.0,591.0,305.0,45.0
46,NO7 Sunday,2024-04-28T06:33:04.000,39.167906878,-84.453645691,83.0,232.0,597.0,308.0,45.0
47,NO7 Sunday,2024-04-28T06:33:05.000,39.167910236,-84.453644504,83.0,230.0,597.0,308.0,45.0
48,NO7 Sunday,2024-04-28T06:33:06.000,39.167915934,-84.453646086,83.0,229.0,593.0,306.0,45.0
49,NO7 Sunday,2024-04-28T06:33:07.000,39.167916468,-84.453648323,83.0,226.0,589.0,304.0,45.0
50,NO7 Sunday,2024-04-28T06:33:08.000,39.167909993,-84.453651476,83.0,225.0,581.0,300.0,45.0
51,NO7 Sunday,2024-04-28T06:33:09.000,39.167909972,-84.453650589,83.0,221.0,577.0,298.0,45.0
52,NO7 Sunday,2024-04-28T06:33:10.000,39.167907137,-84.453652452,83.0,217.0,566.0,292.0,45.0
53,NO7 Sunday,2024-04-28T06:33:11.000,39.167900824,-84.453649491,83.0,229.0,554.0,287.0,45.0
54,NO7 Sunday,2024-04-28T06:33:12.000,39.167900665,-84.453645122,83.0,235.0,589.0,304.0,45.0
55,NO7 Sunday,2024-04-28T06:33:13.000,39.167900011,-84.453647162,83.0,230.0,606.0,313.0,45.0
56,NO7 Sunday,2024-04-28T06:33:14.000,39.167910804,-84.453642128,83.0,230.0,593.0,306.0,45.0
57,NO7 Sunday,2024-04-28T06:33:15.000,39.167921251,-84.453632726,83.0,229.0,593.0,306.0,45.0
58,NO7 Sunday,2024-04-28T06:33:16.000,39.167931897,-84.453623249,83.0,228.0,589.0,304.0,45.0
59,NO7 Sunday,2024-04-28T06:33:17.000,39.167939315,-84.45362146,83.0,224.0,585.0,302.0,45.0
60,NO7 Sunday,2024-04-28T06:33:18.000,39.167945045,-84.453615089,83.0,224.0,573.0,296.0,45.0
61,NO7 Sunday,2024-04-28T06:33:19.000,39.167945592,-84.45360613,83.0,221.0,573.0,296.0,45.0
62,NO7 Sunday,2024-04-28T06:33:20.000,39.16794671,-84.453604566,83.0,221.0,566.0,292.0,45.0
63,NO7 Sunday,2024-04-28T06:33:21.000,39.16794606,-84.453602221,83.0,221.0,566.0,292.0,45.0
64,NO7 Sunday,2024-04-28T06:33:22.000,39.167951454,-84.453600533,83.0,221.0,566.0,292.0,45.0
65,NO7 Sunday,2024-04-28T06:33:23.000,39.167954091,-84.45360107,83.0,221.0,566.0,292.0,45.0
66,NO7 Sunday,2024-04-28T06:33:24.000,39.167956823,-84.453601963,83.0,220.0,566.0,292.0,45.0
67,NO7 Sunday,2024-04-28T06:33:25.000,39.167959785,-84.45360426,83.0,218.0,562.0,290.0,45.0
68,NO7 Sunday,2024-04-28T06:33:26.000,39.167960369,-84.453609348,83.0,216.0,558.0,288.0,45.0
69,NO7 Sunday,2024-04-28T06:33:27.000,39.167955054,-84.453614752,83.0,216.0,550.0,285.0,45.0
70,NO7 Sunday,2024-04-28T06:33:28.000,39.167954871,-84.453622542,83.0,214.0,550.0,285.0,45.0
71,NO7 Sunday,2024-04-28T06:33:29.000,39.167953698,-84.453630041,83.0,216.0,546.0,283.0,45.0
72,NO7 Sunday,2024-04-28T06:33:30.000,39.16795532,-84.45364162,83.0,216.0,552.0,286.0,45.0
73,NO7 Sunday,2024-04-28T06:33:31.000,39.16795112,-84.45365036,83.0,216.0,550.0,285.0,45.0
74,NO7 Sunday,2024-04-28T06:33:32.000,39.167949545,-84.453650612,83.0,213.0,550.0,285.0,45.0
75,NO7 Sunday,2024-04-28T06:33:33.000,39.167948804,-84.45365077,83.0,211.0,543.0,281.0,45.0
76,NO7 Sunday,2024-04-28T06:33:34.000,39.167943756,-84.4536548,83.0,209.0,539.0,279.0,45.0
77,NO7 Sunday,2024-04-28T06:33:35.000,39.167940751,-84.453659162,83.0,210.0,531.0,275.0,45.0
78,NO7 Sunday,2024-04-28T06:33:36.000,39.167941229,-84.453657997,83.0,210.0,535.0,277.0,45.0
79,NO7 Sunday,2024-04-28T06:33:37.000,39.167940368,-84.45365997,83.0,205.0,535.0,277.0,45.0
80,NO7 Sunday,2024-04-28T06:33:38.000,39.167942425,-84.453679244,83.0,205.0,519.0,269.0,45.0
81,NO7 Sunday,2024-04-28T06:33:39.000,39.167941453,-84.453694218,83.0,207.0,519.0,269.0,45.0
82,NO7 Sunday,2024-04-28T06:33:40.000,39.167942215,-84.453707766,83.0,210.0,525.0,272.0,45.0
83,NO7 Sunday,2024-04-28T06:33:41.000,39.167942286,-84.453719842,83.0,210.0,535.0,277.0,45.0
84,NO7 Sunday,2024-04-28T06:33:42.000,39.167945895,-84.453734638,83.0,213.0,535.0,277.0,45.0
85,NO7 Sunday,2024-04-28T06:33:43.000,39.16794577,-84.453751177,83.0,211.0,543.0,281.0,45.0
86,NO7 Sunday,2024-04-28T06:33:44.000,39.167946783,-84.453763198,83.0,207.0,539.0,279.0,45.0
87,NO7 Sunday,2024-04-28T06:33:45.000,39.167950081,-84.45377697,83.0,207.0,527.0,273.0,45.0
88,NO7 Sunday,2024-04-28T06:33:46.000,39.167947869,-84.453775866,83.0,210.0,527.0,273.0,45.0
89,NO7 Sunday,2024-04-28T06:33:47.000,39.167946563,-84.45377852,83.0,211.0,535.0,277.0,45.0
90,NO7 Sunday,2024-04-28T06:33:48.000,39.167945555,-84.453773681,83.0,210.0,539.0,279.0,45.0
91,NO7 Sunday,2024-04-28T06:33:49.000,39.167943496,-84.453767248,83.0,214.0,535.0,277.0,45.0
92,NO7 Sunday,2024-04-28T06:33:50.000,39.167938535,-84.453762941,83.0,214.0,544.0,282.0,45.0
93,NO7 Sunday,2024-04-28T06:33:51.000,39.167934501,-84.453766169,83.0,213.0,546.0,283.0,45.0
94,NO7 Sunday,2024-04-28T06:33:52.000,39.16793089,-84.453770291,83.0,213.0,543.0,281.0,45.0
95,NO7 Sunday,2024-04-28T06:33:53.000,39.167933146,-84.453773963,83.0,213.0,543.0,281.0,45.0
96,NO7 Sunday,2024-04-28T06:33:54.000,39.167934623,-84.453778461,83.0,213.0,543.0,281.0,45.0
97,NO7 Sunday,2024-04-28T06:33:55.000,39.16793498,-84.453779738,83.0,211.0,543.0,281.0,45.0
98,NO7 Sunday,2024-04-28T06:33:56.000,39.167932792,-84.453783342,83.0,211.0,539.0,279.0,45.0
99,NO7 Sunday,2024-04-28T06:33:57.000,39.167929427,-84.453783314,83.0,211.0,539.0,279.0,45.0
100,NO7 Sunday,2024-04-28T06:33:58.000,39.167928068,-84.453782481,83.0,205.0,539.0,279.0,45.0
101,NO7 Sunday,2024-04-28T06:33:59.000,39.167921302,-84.453776252,84.0,201.0,519.0,269.0,45.0
102,NO7 Sunday,2024-04-28T06:34:00.000,39.167921045,-84.453770321,83.0,197.0,508.0,263.0,45.0
103,NO7 Sunday,2024-04-28T06:34:01.000,39.167918771,-84.453752688,84.0,194.0,496.0,258.0,45.0
104,NO7 Sunday,2024-04-28T06:34:02.000,39.167919804,-84.453751621,84.0,193.0,488.0,254.0,45.0
105,NO7 Sunday,2024-04-28T06:34:03.000,39.167914408,-84.453746333,83.0,191.0,484.0,252.0,45.0
106,NO7 Sunday,2024-04-28T06:34:04.000,39.167915627,-84.453739582,84.0,193.0,481.0,250.0,45.0
107,NO7 Sunday,2024-04-28T06:34:05.000,39.167914611,-84.453723224,84.0,193.0,484.0,252.0,45.0
108,NO7 Sunday,2024-04-28T06:34:06.000,39.167917207,-84.453712692,84.0,194.0,484.0,252.0,45.0
