time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm_a,pm10.0_atm_b
1718416800,175413,35.834,35.834,90.367,90.367,989.547,989.547,7.008,7.508,7.89,8.509,8.309,8.889
1718406000,175413,30.834,30.834,98.5,98.5,987.351,987.351,5.724,5.693,6.285,6.274,6.693,6.509
1718348400,175413,53.4,53.4,81.166,81.166,988.798,988.798,1777.469,6.78,1777.997,7.905,1778.47,8.504
1718344800,175413,43.167,43.167,84.933,84.933,989.368,989.368,6.052,6.475,7.117,7.505,7.791,7.938
1718449200,175413,39.6,39.6,76.233,76.233,994.714,994.714,2.397,2.564,3.01,3.143,3.462,3.459
1718395200,175413,36.8,36.8,98.4,98.4,987.274,987.274,11.471,11.935,12.62,13.149,13.175,13.572
1718330400,175413,31.733,31.733,91.767,91.767,988.102,988.102,5.872,6.489,6.87,7.446,7.627,7.97
1718474400,175413,19.433,19.433,93.5,93.5,993.665,993.665,0.176,0.239,0.344,0.427,0.517,0.553
1718161200,175413,37.067,37.067,78.867,78.867,990.446,990.446,7.94,8.441,10.055,10.494,11.459,11.44
1718172000,175413,45.8,45.8,73.267,73.267,990.763,990.763,43.595,9.883,46.336,12.387,49.479,13.735
1717945200,175413,36.466,36.466,83.267,83.267,986.421,986.421,0.367,0.481,0.55,0.69,0.817,0.791
1717966800,175413,26.3,26.3,90.933,90.933,983.885,983.885,0.917,1.192,1.175,1.425,1.46,1.591
1717657200,175413,61.8,61.8,81.867,81.867,980.017,980.017,3331.927,9.289,3331.927,11.223,3331.927,11.703
1717700400,175413,35.233,35.233,90.1,90.1,979.418,979.418,0.555,0.635,0.766,0.82,1.104,1.043
1717783200,175413,23.634,23.634,88.7,88.7,985.357,985.357,0.23,0.282,0.466,0.484,0.786,0.71
1717736400,175413,34.067,34.067,80.534,80.534,982.311,982.311,0.258,0.354,0.565,0.69,1.052,1.169
1717768800,175413,28.666,28.666,82.067,82.067,985.223,985.223,0.0,0.0,0.015,0.009,0.175,0.124
1718006400,175413,46.566,46.566,75.067,75.067,983.719,983.719,48.831,3.383,49.471,3.922,51.995,4.258
1717995600,175413,35.933,35.933,78.567,78.567,983.938,983.938,2.497,2.74,3.068,3.295,3.573,3.638
1718370000,175413,49.5,49.5,85.333,85.333,988.711,988.711,2631.885,10.005,2632.225,11.53,2632.854,12.146
1718276400,175413,50.967,50.967,75.233,75.233,990.584,990.584,3331.181,10.704,3331.181,13.235,3331.181,14.523
1718316000,175413,25.767,25.767,100.0,100.0,987.176,987.176,3.04,3.592,3.554,4.189,3.903,4.518
1718251200,175413,38.233,38.233,81.767,81.767,989.733,989.733,8.924,9.905,11.237,12.061,13.2,13.32
1717826400,175413,41.334,41.334,76.966,76.966,986.666,986.666,5.159,5.655,6.828,7.146,8.66,8.322
1717804800,175413,23.8,23.8,89.834,89.834,984.942,984.942,0.324,0.522,0.767,0.901,1.816,1.617
1717840800,175413,50.334,50.334,71.5,71.5,988.001,988.001,3332.13,6.688,3332.13,8.261,3332.13,9.579
1717862400,175413,36.433,36.433,83.534,83.534,987.68,987.68,1.599,1.791,2.06,2.264,2.876,2.836
1717887600,175413,37.867,37.867,87.1,87.1,984.735,984.735,1.653,1.879,2.157,2.38,2.783,2.782
1718380800,175413,38.367,38.367,93.633,93.633,988.243,988.243,10.442,11.278,11.925,12.767,12.834,13.263
1718096400,175413,52.367,52.367,66.2,66.2,990.031,990.031,3486.095,5.041,3486.095,6.135,3486.095,6.551
1718125200,175413,27.533,27.533,85.4,85.4,990.235,990.235,5.221,5.535,6.918,7.119,7.915,7.852
1718154000,175413,29.5,29.5,83.8,83.8,989.728,989.728,5.363,5.803,6.716,7.139,7.605,7.745
1718204400,175413,27.1,27.1,87.067,87.067,991.977,991.977,2.817,3.231,3.534,3.925,3.974,4.244
1718222400,175413,20.5,20.5,96.3,96.3,989.784,989.784,2.817,2.493,3.453,3.124,3.949,3.44
1718218800,175413,21.066,21.066,95.133,95.133,990.234,990.234,3.013,2.989,3.617,3.667,4.053,4.005
1717891200,175413,39.034,39.034,86.067,86.067,984.463,984.463,1.471,1.704,1.929,2.139,2.665,2.575
1717650000,175413,62.0,62.0,82.867,82.867,980.104,980.104,3332.246,10.919,3332.246,13.317,3332.246,14.026
1717660800,175413,61.8,61.8,81.466,81.466,979.791,979.791,3332.146,10.832,3332.146,13.255,3332.146,13.878
1717790400,175413,24.066,24.066,91.166,91.166,984.786,984.786,0.528,0.641,0.806,0.919,1.451,1.417
1718046000,175413,36.967,36.967,77.6,77.6,986.893,986.893,3.092,3.374,3.965,4.198,4.721,4.598
1718024400,175413,42.967,42.967,75.5,75.5,985.524,985.524,2.269,2.462,2.679,2.814,3.025,3.02
1718031600,175413,37.767,37.767,79.267,79.267,985.781,985.781,1.506,1.803,1.742,1.974,1.955,2.119
