time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm1.0_60minute_a,pm1.0_60minute_b,pm2.5_60minute_a,pm2.5_60minute_b,pm10.0_60minute_a,pm10.0_60minute_b
1718391600,102568,43.614,NA,89.761,NA,993.169,NA,16.543,18.494,19.443,22.459,19.891,22.992
1718362800,102568,77.034,NA,72.367,NA,993.772,NA,11.524,13.295,14.053,16.864,14.463,17.444
1718424000,102568,49.067,NA,76.534,NA,995.944,NA,4.679,5.668,5.602,6.787,5.876,7.0
1717754400,102568,62.034,NA,64.0,NA,988.892,NA,0.747,1.04,1.07,1.546,1.5,1.85
1717718400,102568,33.066,NA,82.067,NA,985.283,NA,0.244,0.589,0.556,0.854,0.76,1.13
1718294400,102568,37.434,NA,85.9,NA,995.582,NA,6.221,7.046,7.763,8.822,8.345,9.404
1718276400,102568,70.767,NA,64.666,NA,996.231,NA,10.895,12.22,14.705,16.821,15.878,18.203
1718258400,102568,63.233,NA,66.733,NA,995.518,NA,8.951,9.601,12.23,13.497,13.182,14.684
1718298000,102568,34.733,NA,87.633,NA,994.795,NA,5.17,6.066,6.213,7.28,6.459,7.505
1717826400,102568,60.3,NA,63.8,NA,992.14,NA,7.851,9.451,10.029,11.809,10.724,12.61
1717804800,102568,37.433,NA,80.567,NA,990.353,NA,0.578,0.958,0.923,1.398,1.329,1.758
1717840800,102568,67.6,NA,60.0,NA,993.6,NA,6.138,7.219,7.691,9.003,8.381,9.71
1718143200,102568,32.166,NA,81.1,NA,994.174,NA,5.05,5.559,6.462,7.354,6.873,7.839
1718121600,102568,37.533,NA,73.9,NA,996.332,NA,4.353,4.838,6.06,6.993,6.673,7.697
1718085600,102568,67.034,NA,57.0,NA,995.159,NA,3.061,3.708,3.886,4.821,4.136,5.104
1717650000,102568,82.267,NA,75.5,NA,985.399,NA,11.714,12.577,15.142,17.373,15.665,18.03
