time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm_a,pm10.0_atm_b
1717635600,111898,61.375,NA,85.7,NA,976.602,NA,14.41,11.763,20.872,17.855,21.799,18.315
1717632000,111898,52.833,NA,88.767,NA,976.184,NA,13.142,10.954,18.779,16.249,19.572,16.726
1717628400,111898,50.1,NA,89.834,NA,976.288,NA,14.556,11.655,20.79,17.773,21.936,18.173
1717624800,111898,47.666,NA,91.666,NA,976.396,NA,15.768,12.827,22.956,19.346,23.863,19.927
1717621200,111898,45.733,NA,93.3,NA,976.876,NA,13.895,11.532,20.114,17.193,21.105,17.639
1717617600,111898,44.0,NA,94.291,NA,977.135,NA,14.759,12.041,21.026,18.218,21.88,18.634
1717614000,111898,41.9,NA,96.666,NA,977.848,NA,16.363,13.203,23.824,20.495,24.658,20.961
1717610400,111898,41.859,NA,97.159,NA,977.813,NA,15.732,12.544,23.209,19.364,24.04,19.797
1717606800,111898,44.5,NA,94.767,NA,978.919,NA,14.267,11.566,20.419,17.706,21.349,18.155
1717603200,111898,44.6,NA,94.9,NA,979.596,NA,15.995,12.957,24.678,20.984,25.877,21.49
1717599600,111898,48.933,NA,91.667,NA,979.904,NA,11.743,9.572,16.664,14.341,17.434,14.733
1717596000,111898,46.934,NA,92.667,NA,980.081,NA,8.058,6.75,11.798,9.832,12.419,10.165
1717592400,111898,52.533,NA,89.0,NA,980.391,NA,8.485,6.962,12.401,10.412,13.313,10.745
1717588800,111898,59.2,NA,84.333,NA,980.373,NA,8.155,6.934,12.482,10.843,13.254,11.232
1717585200,111898,62.1,NA,82.6,NA,980.347,NA,9.811,8.055,16.309,14.002,17.661,14.583
1717581600,111898,63.166,NA,81.9,NA,980.008,NA,10.169,8.18,17.157,14.527,18.376,15.188
1717578000,111898,62.933,NA,81.934,NA,979.656,NA,9.31,7.788,15.114,13.031,16.068,13.476
1717574400,111898,62.3,NA,82.166,NA,979.576,NA,7.002,5.954,10.636,9.29,11.406,9.632
1717570800,111898,62.534,NA,81.7,NA,979.814,NA,6.11,5.372,9.36,8.091,9.988,8.396
1717567200,111898,63.0,NA,81.0,NA,980.424,NA,6.058,5.51,9.105,8.271,9.796,8.598
1717563600,111898,60.966,NA,82.166,NA,980.995,NA,5.575,4.902,8.558,7.529,9.213,7.841
1717560000,111898,58.9,NA,83.4,NA,981.567,NA,5.992,5.221,8.982,8.014,9.693,8.283
1717556400,111898,57.733,NA,84.7,NA,981.151,NA,6.708,6.093,10.235,9.527,10.984,9.858
1717552800,111898,54.166,NA,85.334,NA,981.106,NA,6.529,5.655,9.813,8.707,10.541,9.085
