time_stamp,sensor_index,pm2.5_cf_1_a,pm2.5_cf_1_b
1719190800,90915,1.017,0.833
1719187200,90915,1.453,1.256
1718827200,90915,1.122,0.886
1718773200,90915,0.389,0.119
1718787600,90915,0.825,0.605
1719028800,90915,0.677,0.368
1719090000,90915,1.751,1.577
1719064800,90915,1.555,1.398
1719201600,90915,0.703,0.507
1719147600,90915,2.005,1.808
1718676000,90915,0.633,0.225
1718690400,90915,0.459,0.278
1718697600,90915,0.592,0.366
1718751600,90915,0.341,0.055
1719169200,90915,7.723,7.959
1719165600,90915,6.341,6.446
1718946000,90915,0.522,0.317
1718931600,90915,0.371,0.183
1719003600,90915,0.928,0.696
1718989200,90915,1.712,1.476
1718902800,90915,1.319,1.044
1718917200,90915,0.781,0.59
1718892000,90915,1.852,1.714
1719158400,90915,5.236,5.344
1718233200,90915,6.389,6.372
1718222400,90915,5.896,5.983
1718218800,90915,5.758,5.679
1718215200,90915,5.585,5.667
1718190000,90915,3.333,3.058
1718650800,90915,1.232,0.945
1718640000,90915,1.535,1.14
1718632800,90915,1.569,1.305
1718604000,90915,0.912,0.564
1718575200,90915,4.677,4.92
1718524800,90915,2.314,2.055
1718542800,90915,6.098,6.185
1718305200,90915,7.033,7.339
1718298000,90915,7.931,8.052
1718478000,90915,1.819,1.339
1718442000,90915,5.256,5.148
1718485200,90915,1.457,1.276
1718420400,90915,9.329,9.708
1718456400,90915,2.676,2.505
1718337600,90915,4.923,4.947
1717696800,90915,4.678,4.777
1717686000,90915,3.553,3.476
1717704000,90915,1.862,1.538
1717650000,90915,8.13,8.26
1717747200,90915,1.029,0.734
1717768800,90915,1.24,0.883
1718103600,90915,1.214,0.87
1718096400,90915,1.326,0.986
1718146800,90915,4.783,4.885
1718107200,90915,1.318,0.817
1717952400,90915,1.685,1.494
1717945200,90915,1.204,0.867
1717963200,90915,1.813,1.601
1717822800,90915,1.346,1.056
1717884000,90915,2.073,1.802
1717804800,90915,1.383,0.998
1718002800,90915,1.776,1.511
1717999200,90915,1.627,1.447
1718046000,90915,1.848,1.423
1718812800,90915,0.792,0.506
1718820000,90915,0.904,0.575
1718758800,90915,0.272,0.022
1718776800,90915,0.578,0.154
1718802000,90915,1.083,0.844
1719018000,90915,0.397,0.151
1719136800,90915,1.5,1.44
1718708400,90915,0.971,0.781
1718679600,90915,0.542,0.254
1719122400,90915,0.921,0.669
1719115200,90915,0.792,0.493
1719104400,90915,0.803,0.623
1719140400,90915,1.782,1.697
1719010800,90915,0.583,0.311
1718956800,90915,1.149,0.891
1718895600,90915,1.564,1.35
1718226000,90915,6.054,6.044
1718193600,90915,3.136,2.989
1718596800,90915,1.145,0.825
1718654400,90915,1.222,0.914
1718593200,90915,1.128,0.706
1718557200,90915,6.409,6.469
1718434800,90915,7.075,7.155
1718377200,90915,6.894,7.117
1718388000,90915,13.095,13.729
1718380800,90915,7.986,8.534
1718373600,90915,7.239,7.393
1717671600,90915,9.545,9.815
1717642800,90915,9.308,9.499
1717682400,90915,5.073,5.021
1717693200,90915,3.334,3.347
1717750800,90915,1.084,0.688
1718121600,90915,1.799,1.234
1718067600,90915,1.256,0.885
1718089200,90915,1.531,1.218
1718082000,90915,1.514,1.02
1717941600,90915,1.475,1.09
1717934400,90915,2.867,2.711
1717927200,90915,2.886,2.657
1717887600,90915,2.098,1.845
1717851600,90915,1.692,1.345
1718049600,90915,1.591,1.335
1718031600,90915,2.083,1.774
1718805600,90915,0.947,0.599
1718784000,90915,0.751,0.454
1718838000,90915,0.648,0.373
1718794800,90915,1.301,0.917
1718780400,90915,0.592,0.328
1718766000,90915,0.384,0.081
1719068400,90915,1.797,1.617
1719039600,90915,1.473,1.156
1719046800,90915,1.998,1.807
1719072000,90915,2.106,1.916
1719057600,90915,2.202,2.069
1718668800,90915,0.746,0.378
1719151200,90915,3.289,3.245
1718960400,90915,1.224,1.132
1718938800,90915,0.422,0.18
1718996400,90915,1.329,1.008
1718928000,90915,0.461,0.283
1718881200,90915,2.865,2.872
1718870400,90915,1.833,1.775
1718852400,90915,0.589,0.398
1718164800,90915,4.146,4.043
1718186400,90915,3.355,3.163
1718168400,90915,4.081,4.024
1718625600,90915,1.397,1.142
1718629200,90915,1.588,1.247
1718607600,90915,1.002,0.629
1718532000,90915,2.892,2.707
1718499600,90915,1.214,0.845
1718564400,90915,6.361,6.489
1718550000,90915,8.3,8.592
1718503200,90915,1.12,0.828
1718262000,90915,5.559,5.734
1718269200,90915,5.88,5.975
1718240400,90915,6.104,6.12
1718312400,90915,6.494,6.672
1718308800,90915,7.151,7.174
1718492400,90915,1.337,1.042
1718488800,90915,1.506,1.047
1718384400,90915,11.082,11.599
1718355600,90915,4.703,4.793
1718366400,90915,7.159,7.306
1718402400,90915,13.651,14.032
1718398800,90915,14.166,14.875
1717700400,90915,3.155,3.07
1717722000,90915,1.23,0.875
1717736400,90915,1.101,0.758
1717758000,90915,1.208,0.742
1718114400,90915,1.295,0.801
1718100000,90915,1.298,0.909
1717974000,90915,2.037,1.626
1717959600,90915,1.948,1.704
1717916400,90915,1.849,1.571
1717830000,90915,1.306,1.022
1717848000,90915,1.77,1.391
1717858800,90915,2.692,2.58
1717840800,90915,1.757,1.383
1717984800,90915,1.652,1.442
1717995600,90915,1.612,1.244
1718769600,90915,0.403,0.102
1718791200,90915,1.11,0.704
1718755200,90915,0.371,0.045
1718830800,90915,0.852,0.643
1719054000,90915,2.256,2.154
1719093600,90915,1.489,1.23
1719025200,90915,0.468,0.257
1719154800,90915,4.675,4.629
1718715600,90915,0.895,0.617
1718733600,90915,0.837,0.53
1718683200,90915,0.502,0.189
1718722800,90915,0.899,0.609
1719129600,90915,1.349,1.002
1719111600,90915,0.825,0.512
1719162000,90915,5.96,5.901
1718974800,90915,1.952,1.856
1718992800,90915,1.54,1.379
1718953200,90915,0.964,0.615
1718848800,90915,0.405,0.242
1718910000,90915,1.247,0.841
1718841600,90915,0.609,0.357
1718150400,90915,4.526,4.554
1718161200,90915,4.439,3.92
1718658000,90915,1.178,0.875
1718611200,90915,0.929,0.585
1718665200,90915,0.882,0.544
1718636400,90915,1.581,1.18
1718514000,90915,1.461,1.163
1718528400,90915,2.625,2.351
1718571600,90915,6.459,6.606
1718316000,90915,6.189,6.271
1718265600,90915,5.645,5.652
1718409600,90915,11.918,12.05
1718438400,90915,6.274,6.196
1718449200,90915,3.719,3.76
1718424000,90915,8.7,8.954
1718445600,90915,4.258,4.293
1718395200,90915,14.694,15.351
1718362800,90915,5.816,5.842
1718406000,90915,12.618,13.009
1718334000,90915,4.938,4.915
1717657200,90915,7.203,7.398
1717660800,90915,6.832,7.017
1717689600,90915,3.027,2.861
1717639200,90915,9.941,10.163
1717729200,90915,1.18,0.819
1717732800,90915,1.03,0.728
1717776000,90915,1.275,0.976
1717790400,90915,1.873,1.521
1717797600,90915,1.461,1.3
1717740000,90915,1.029,0.76
1718139600,90915,5.382,5.367
1718064000,90915,1.414,1.048
1717912800,90915,1.933,1.517
1717920000,90915,2.394,2.083
1717894800,90915,2.003,1.707
1717948800,90915,1.372,0.972
1717923600,90915,2.75,2.543
1717869600,90915,2.492,2.107
1717819200,90915,1.196,0.876
1718035200,90915,2.152,1.869
1718042400,90915,1.901,1.574
1718006400,90915,1.773,1.497
1718024400,90915,2.035,1.658
1718798400,90915,1.277,0.943
1718816400,90915,0.776,0.538
1719014400,90915,0.48,0.239
1719061200,90915,1.85,1.687
1719036000,90915,0.964,0.706
1719097200,90915,1.294,1.063
1718744400,90915,0.368,0.082
1718704800,90915,0.933,0.581
1719172800,90915,5.643,5.777
1719183600,90915,1.933,1.808
1719108000,90915,0.871,0.576
1719133200,90915,1.536,1.332
1719000000,90915,1.125,0.896
1718971200,90915,2.502,2.283
1718964000,90915,1.643,1.483
1718985600,90915,1.381,1.063
1718942400,90915,0.387,0.249
1718877600,90915,2.437,2.333
1718899200,90915,1.327,1.058
1718211600,90915,5.828,5.861
1718157600,90915,4.249,4.128
1718179200,90915,3.595,3.381
1718172000,90915,3.859,3.643
1718182800,90915,3.58,3.217
1718200800,90915,5.83,6.026
1718197200,90915,3.498,3.3
1718600400,90915,1.009,0.655
1718589600,90915,1.119,0.778
1718647200,90915,1.272,1.003
1718614800,90915,0.934,0.641
1718517600,90915,1.6,1.485
1718560800,90915,6.095,6.138
1718546400,90915,8.049,8.026
1718539200,90915,5.065,5.011
1718506800,90915,1.104,0.837
1718535600,90915,3.839,3.591
1718280000,90915,8.276,8.334
1718276400,90915,7.944,8.045
1718287200,90915,8.351,8.22
1718319600,90915,5.928,5.88
1718474400,90915,1.869,1.534
1718463600,90915,1.976,1.641
1718416800,90915,10.216,10.546
1718460000,90915,2.171,1.869
1718323200,90915,5.54,5.567
1718359200,90915,4.626,4.609
1717714800,90915,1.45,1.013
1717718400,90915,1.402,0.973
1717754400,90915,0.99,0.603
1717779600,90915,1.459,1.028
1718085600,90915,1.497,1.141
1718128800,90915,4.802,4.696
1718136000,90915,5.377,5.114
1718071200,90915,1.032,0.742
1717909200,90915,1.942,1.535
1717930800,90915,2.847,2.559
1717862400,90915,2.663,2.374
1717812000,90915,1.2,0.914
1717873200,90915,2.274,2.061
1717876800,90915,2.167,1.993
1717844400,90915,1.741,1.362
1717880400,90915,2.136,1.857
1717866000,90915,2.54,2.244
1718038800,90915,2.09,1.722
1717988400,90915,1.644,1.349
1718053200,90915,1.629,1.262
1719126000,90915,1.038,0.857
1719180000,90915,2.59,2.474
1718809200,90915,0.723,0.497
1718823600,90915,1.44,1.25
1719144000,90915,2.12,1.892
1719043200,90915,1.966,1.886
1719079200,90915,2.678,2.587
1719021600,90915,0.4,0.165
1718726400,90915,1.049,0.752
1718701200,90915,0.718,0.431
1718694000,90915,0.652,0.282
1718712000,90915,1.019,0.677
1718686800,90915,0.509,0.241
1718740800,90915,0.577,0.174
1719100800,90915,1.01,0.774
1718978400,90915,1.816,1.562
1719007200,90915,0.799,0.47
1718982000,90915,1.456,1.206
1718967600,90915,2.493,2.259
1718949600,90915,0.797,0.529
1718935200,90915,0.426,0.282
1718913600,90915,0.955,0.8
1718924400,90915,0.551,0.352
1718920800,90915,0.718,0.44
1718906400,90915,1.022,0.862
1718866800,90915,1.647,1.478
1718204400,90915,6.464,6.399
1718154000,90915,4.601,4.438
1718643600,90915,1.333,1.042
1718618400,90915,1.149,0.772
1718553600,90915,6.771,6.888
1718521200,90915,2.054,1.665
1718568000,90915,6.355,6.314
1718301600,90915,7.535,7.72
1718244000,90915,6.152,5.941
1718254800,90915,5.353,5.369
1718431200,90915,7.206,7.456
1718427600,90915,7.797,7.889
1718452800,90915,3.373,3.141
1718467200,90915,1.907,1.54
1718341200,90915,4.717,4.706
1718391600,90915,14.776,15.296
1718370000,90915,7.295,7.377
1718326800,90915,5.245,5.405
1718330400,90915,5.087,5.06
1718352000,90915,4.957,4.869
1717668000,90915,7.636,7.771
1717707600,90915,1.588,1.308
1717664400,90915,6.716,6.822
1717646400,90915,8.813,8.967
1717678800,90915,7.12,7.278
1717653600,90915,7.795,7.808
1717794000,90915,1.728,1.349
1717725600,90915,1.281,0.827
1717765200,90915,1.215,0.903
1717801200,90915,1.503,1.129
1717772400,90915,1.215,0.926
1717761600,90915,1.132,0.794
1718074800,90915,1.058,0.663
1718125200,90915,3.386,3.045
1718132400,90915,5.244,5.114
1718118000,90915,1.242,0.936
1718078400,90915,1.216,0.808
1718110800,90915,1.304,0.844
1717938000,90915,2.536,2.184
1717891200,90915,2.006,1.662
1717902000,90915,2.01,1.514
1717956000,90915,1.788,1.413
1717837200,90915,1.585,1.276
1717815600,90915,1.242,0.903
1718028000,90915,2.027,1.65
1718056800,90915,1.512,1.259
1717977600,90915,1.893,1.694
1719118800,90915,0.801,0.476
1718762400,90915,0.289,0.026
1718834400,90915,0.714,0.443
1719075600,90915,2.678,2.513
1719050400,90915,2.33,2.067
1719032400,90915,0.815,0.541
1719082800,90915,2.217,2.22
1719086400,90915,1.938,1.764
1719194400,90915,0.896,0.598
1718737200,90915,0.682,0.334
1718748000,90915,0.355,0.065
1718672400,90915,0.725,0.373
1718719200,90915,0.823,0.565
1718730000,90915,1.083,0.696
1719198000,90915,0.774,0.6
1718863200,90915,1.295,1.032
1718856000,90915,0.621,0.461
1718845200,90915,0.467,0.31
1718874000,90915,2.222,2.031
1718884800,90915,2.755,2.632
1718888400,90915,2.241,2.059
1718859600,90915,1.045,0.749
1719176400,90915,3.617,3.575
1718229600,90915,6.474,6.396
1718175600,90915,3.628,3.524
1718208000,90915,5.952,5.917
1718586000,90915,1.089,0.747
1718582400,90915,1.733,1.451
1718622000,90915,1.401,0.911
1718661600,90915,0.994,0.674
1718496000,90915,1.206,0.853
1718578800,90915,2.877,2.66
1718510400,90915,1.341,0.952
1718236800,90915,6.173,6.248
1718294400,90915,7.688,8.045
1718247600,90915,5.822,5.691
1718258400,90915,5.379,5.457
1718272800,90915,6.38,6.404
1718283600,90915,8.658,8.971
1718251200,90915,5.563,5.522
1718290800,90915,7.568,7.732
1718470800,90915,2.174,1.813
1718481600,90915,1.643,1.237
1718413200,90915,10.884,11.327
1718348400,90915,4.763,4.845
1718344800,90915,4.742,4.754
1717675200,90915,8.768,8.863
1717711200,90915,1.369,1.127
1717783200,90915,1.733,1.353
1717786800,90915,1.565,1.273
1717743600,90915,1.031,0.78
1718143200,90915,5.142,5.091
1718092800,90915,1.403,1.018
1717966800,90915,1.881,1.528
1717898400,90915,2.026,1.61
1717905600,90915,1.982,1.547
1717970400,90915,1.893,1.723
1717808400,90915,1.29,0.91
1717855200,90915,2.394,2.07
1717833600,90915,1.478,1.167
1717826400,90915,1.329,0.949
1718013600,90915,1.924,1.666
1718020800,90915,2.135,1.686
1717981200,90915,1.852,1.492
1718010000,90915,1.921,1.591
1718060400,90915,1.408,1.21
1718017200,90915,2.054,1.813
1717992000,90915,1.619,1.325
