time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm_a,pm10.0_atm_b
1717617600,130719,43.767,NA,92.933,NA,976.991,NA,4.661,4.029,10.061,8.599,10.774,9.079
1714334400,130719,31.634,NA,90.6,NA,989.238,NA,0.878,0.189,2.816,1.858,3.057,2.047
1715752800,130719,73.367,NA,68.633,NA,976.303,NA,4.71,3.92,10.677,8.541,11.829,9.034
1715799600,130719,52.633,NA,78.967,NA,977.994,NA,0.024,0.009,0.135,0.079,0.187,0.12
1708945200,130719,55.933,NA,43.067,NA,983.357,NA,9.122,5.83,14.906,10.432,15.936,11.078
1707339600,130719,20.633,NA,65.1,NA,992.362,NA,0.013,0.0,1.472,1.217,1.755,1.453
1705183200,130719,52.867,NA,33.233,NA,982.605,NA,0.003,0.0,0.447,0.003,0.747,0.019
1705129200,130719,65.166,NA,32.7,NA,967.702,NA,0.0,0.0,0.051,0.068,0.109,0.113
1709118000,130719,71.2,NA,62.9,NA,969.491,NA,3.45,0.276,7.338,2.84,7.936,3.196
1709136000,130719,65.966,NA,40.534,NA,980.389,NA,0.376,0.194,3.412,1.314,3.776,1.656
1708837200,130719,56.0,NA,28.4,NA,989.861,NA,2.052,0.292,4.481,2.577,4.899,2.844
1708855200,130719,65.1,NA,26.8,NA,989.334,NA,1.423,0.104,3.823,2.273,4.141,2.494
1713510000,130719,73.967,NA,65.467,NA,982.313,NA,0.0,0.0,0.158,0.001,0.203,0.009
1712012400,130719,71.7,NA,69.166,NA,979.348,NA,4.027,3.494,8.308,7.27,8.809,7.639
1706666400,130719,72.834,NA,41.867,NA,986.298,NA,4.669,2.086,13.672,6.423,15.714,7.617
1706727600,130719,55.034,NA,47.267,NA,992.513,NA,1.84,0.699,5.191,2.954,5.556,3.318
1706688000,130719,71.0,NA,43.0,NA,988.526,NA,9.267,5.95,23.095,17.334,25.736,18.968
1704268800,130719,69.466,NA,31.966,NA,991.795,NA,9.114,5.652,19.73,14.754,21.15,15.977
1704146400,130719,64.5,NA,41.933,NA,996.053,NA,3.891,1.613,10.185,5.369,12.954,6.205
1706464800,130719,73.709,NA,41.7,NA,982.476,NA,0.0,0.0,0.003,0.0,0.013,0.0
1712638800,130719,64.666,NA,66.2,NA,987.502,NA,6.697,6.086,13.778,11.675,15.325,12.798
1710464400,130719,50.166,NA,76.466,NA,982.698,NA,3.407,1.969,7.173,5.451,7.598,5.896
1710532800,130719,63.7,NA,55.267,NA,986.764,NA,5.256,3.813,11.362,8.13,12.239,8.726
1710460800,130719,49.6,NA,76.367,NA,981.839,NA,3.403,2.498,7.127,5.913,7.521,6.298
1715983200,130719,56.067,NA,77.8,NA,981.865,NA,1.067,0.525,3.75,3.286,4.005,3.471
1715947200,130719,71.604,NA,70.796,NA,982.984,NA,6.372,5.62,15.229,12.449,16.606,13.576
1715907600,130719,58.567,NA,75.966,NA,980.843,NA,6.675,5.975,15.31,12.476,16.479,13.876
1715918400,130719,60.334,NA,74.7,NA,982.062,NA,7.8,6.774,17.352,15.264,18.272,16.41
1715911200,130719,58.867,NA,75.533,NA,981.07,NA,7.262,6.438,16.935,13.769,17.886,14.86
1717524000,130719,34.334,NA,100.1,NA,981.946,NA,4.416,4.108,8.566,7.873,8.929,8.008
1717531200,130719,39.1,NA,93.166,NA,981.037,NA,3.67,3.226,7.553,6.918,7.912,7.117
1717502400,130719,69.066,NA,74.966,NA,983.991,NA,3.162,2.578,6.434,5.623,6.704,5.835
1717509600,130719,47.966,NA,88.8,NA,984.239,NA,3.854,3.367,7.218,6.431,7.418,6.596
1707620400,130719,54.3,NA,50.167,NA,987.084,NA,0.322,0.064,3.444,2.156,3.89,2.563
1707688800,130719,41.966,NA,53.534,NA,985.653,NA,7.358,5.441,18.517,13.245,19.903,15.393
1702540800,130719,51.0,NA,32.633,NA,1010.445,NA,10.136,5.901,19.056,14.07,20.26,15.207
1702566000,130719,42.133,NA,44.034,NA,1011.766,NA,7.492,5.068,17.662,12.713,19.213,14.658
1716663600,130719,38.466,NA,91.966,NA,982.07,NA,2.353,1.762,5.736,5.098,6.061,5.325
1704909600,130719,65.934,NA,38.333,NA,977.868,NA,0.046,0.0,1.954,0.044,2.459,0.101
1704902400,130719,69.533,NA,37.867,NA,977.525,NA,0.702,0.011,4.442,0.841,4.952,1.151
1704866400,130719,72.867,NA,38.0,NA,962.05,NA,0.0,0.0,0.0,0.0,0.0,0.0
1705327200,130719,48.1,NA,14.833,NA,995.898,NA,0.0,0.0,0.157,0.004,0.359,0.019
1716138000,130719,25.967,NA,96.767,NA,987.389,NA,2.166,1.848,4.925,4.568,5.082,4.729
1710619200,130719,31.4,NA,65.267,NA,981.052,NA,0.0,0.0,0.026,0.0,0.073,0.0
1706119200,130719,77.4,NA,56.933,NA,990.918,NA,0.0,0.0,0.379,0.024,0.734,0.099
1706126400,130719,77.166,NA,57.067,NA,989.997,NA,2.13,0.887,10.249,4.109,13.108,5.021
1709578800,130719,38.7,NA,82.733,NA,988.608,NA,1.997,1.428,5.486,4.982,5.82,5.244
1709532000,130719,68.2,NA,55.534,NA,989.034,NA,2.607,1.128,5.522,3.939,5.8,4.206
1709582400,130719,37.933,NA,80.867,NA,987.854,NA,1.73,1.183,5.035,4.565,5.301,4.844
1706184000,130719,75.767,NA,61.867,NA,990.154,NA,0.0,0.0,0.022,0.003,0.152,0.031
1706202000,130719,73.166,NA,64.3,NA,989.635,NA,0.006,0.0,2.845,1.021,4.691,1.972
1716793200,130719,75.167,NA,68.3,NA,973.505,NA,0.0,10.117,0.414,10.24,0.67,10.368
1704654000,130719,58.334,NA,41.534,NA,986.923,NA,3.677,0.28,9.245,2.579,11.223,3.143
1704632400,130719,73.0,NA,39.0,NA,982.316,NA,1.582,0.0,5.197,0.448,5.533,0.643
1709766000,130719,73.034,NA,52.267,NA,985.058,NA,3.183,2.357,9.816,6.74,11.433,7.527
1709704800,130719,76.2,NA,62.8,NA,984.274,NA,1.881,0.771,8.53,5.397,11.512,6.585
1712991600,130719,65.0,NA,50.067,NA,988.079,NA,0.0,0.0,0.0,0.0,0.0,0.0
1715058000,130719,74.534,NA,71.233,NA,981.59,NA,11.191,9.099,22.918,21.305,23.941,22.087
1715047200,130719,73.8,NA,71.633,NA,982.003,NA,3.371,2.794,6.994,6.259,7.334,6.516
1715086800,130719,67.033,NA,74.666,NA,981.109,NA,5.453,4.689,15.421,12.748,16.934,13.947
1712044800,130719,70.434,NA,67.867,NA,974.435,NA,5.631,4.857,12.165,10.529,13.432,11.375
1712084400,130719,66.033,NA,75.066,NA,969.077,NA,0.131,0.004,1.159,1.159,1.331,1.312
1705042800,130719,66.966,NA,37.567,NA,983.893,NA,0.575,0.102,3.48,2.024,3.827,2.401
1705035600,130719,62.067,NA,39.966,NA,986.268,NA,0.249,0.011,2.405,1.362,2.732,1.726
1706050800,130719,76.066,NA,48.133,NA,996.225,NA,7.402,4.779,21.117,11.617,24.712,13.266
1712210400,130719,72.0,NA,39.7,NA,967.814,NA,0.0,0.0,0.0,0.0,0.0,0.0
1713420000,130719,55.367,NA,63.2,NA,986.858,NA,0.0,0.0,0.229,0.073,0.293,0.113
1709046000,130719,53.966,NA,68.034,NA,974.861,NA,10.29,8.283,19.776,16.939,20.445,17.864
1717300800,130719,76.1,NA,66.367,NA,987.524,NA,5.317,4.166,9.816,7.952,10.535,8.268
1707231600,130719,53.334,NA,43.0,NA,994.289,NA,7.115,4.892,17.564,13.607,19.05,15.014
1715864400,130719,57.8,NA,73.1,NA,983.096,NA,12.916,10.326,23.922,22.102,25.361,23.354
1704499200,130719,46.9,NA,40.767,NA,990.401,NA,4.546,2.944,8.654,5.489,9.793,5.989
1711148400,130719,54.534,NA,52.767,NA,983.83,NA,4.826,3.667,9.556,7.063,11.038,7.494
1709665200,130719,72.167,NA,66.767,NA,984.744,NA,5.591,4.744,13.99,11.274,15.715,12.825
1709676000,130719,73.663,NA,66.3,NA,984.255,NA,5.412,4.887,13.467,12.177,14.44,12.969
1706641200,130719,71.3,NA,40.267,NA,983.993,NA,2.697,1.12,7.323,4.55,7.915,5.105
1703120400,130719,37.3,NA,43.233,NA,999.654,NA,0.0,0.0,1.414,0.524,1.724,0.81
1703134800,130719,42.333,NA,40.267,NA,999.849,NA,0.287,0.018,2.851,1.653,3.137,1.978
1709974800,130719,77.6,NA,59.6,NA,978.544,NA,0.231,0.0,2.271,1.371,2.496,1.637
1709953200,130719,78.233,NA,59.433,NA,981.001,NA,0.529,0.0,2.798,1.683,3.005,1.904
1710018000,130719,58.7,NA,49.466,NA,979.66,NA,0.102,0.0,2.024,0.244,2.272,0.343
1708401600,130719,43.2,NA,40.533,NA,993.752,NA,4.531,2.915,9.834,5.931,11.607,6.706
1708462800,130719,19.034,NA,66.066,NA,993.549,NA,0.088,0.066,2.04,1.663,2.287,1.959
1713866400,130719,48.0,NA,50.1,NA,988.561,NA,0.315,0.047,3.027,1.792,3.273,2.103
1706835600,130719,51.0,NA,53.7,NA,984.788,NA,0.045,0.0,0.947,0.141,1.133,0.209
1706871600,130719,62.733,NA,49.0,NA,986.474,NA,5.191,3.671,12.137,7.923,13.453,8.92
1710061200,130719,48.3,NA,41.067,NA,983.875,NA,0.0,0.0,0.11,0.0,0.2,0.005
1705597200,130719,30.534,NA,37.167,NA,988.284,NA,0.0,0.0,0.24,0.023,0.445,0.066
1705600800,130719,27.666,NA,40.3,NA,986.978,NA,0.0,0.0,0.193,0.018,0.454,0.106
1705579200,130719,41.933,NA,25.934,NA,990.12,NA,0.0,0.0,1.111,0.143,1.497,0.371
1709236800,130719,21.834,NA,51.867,NA,1002.268,NA,0.0,0.0,0.003,0.0,0.037,0.002
1707462000,130719,51.534,NA,57.1,NA,985.918,NA,3.376,1.803,6.296,4.563,6.662,4.881
1707469200,130719,53.0,NA,55.1,NA,985.862,NA,4.532,2.886,8.149,6.199,8.646,6.631
1717228800,130719,61.867,NA,59.0,NA,992.036,NA,0.75,0.0,3.564,1.889,3.854,2.144
1707084000,130719,36.433,NA,54.834,NA,983.293,NA,0.005,0.0,0.778,0.189,1.178,0.347
1706486400,130719,72.966,NA,42.0,NA,988.641,NA,0.0,0.0,0.0,0.0,0.0,0.0
1716904800,130719,41.933,NA,78.9,NA,985.722,NA,0.0,0.0,0.001,0.0,0.021,0.0
1708596000,130719,38.0,NA,60.25,NA,979.225,NA,24.89,22.152,37.188,32.487,43.737,37.99
1708570800,130719,37.433,NA,56.7,NA,985.124,NA,12.563,8.706,21.783,18.017,22.858,18.927
1708606800,130719,44.334,NA,62.133,NA,978.478,NA,25.426,22.71,38.059,34.105,45.276,39.695
1708639200,130719,76.233,NA,56.8,NA,973.764,NA,8.328,3.925,17.873,9.058,18.928,9.707
1708628400,130719,71.4,NA,58.233,NA,974.278,NA,19.749,14.796,29.875,24.068,32.329,25.548
1704232800,130719,53.033,NA,40.933,NA,993.521,NA,1.708,0.193,4.944,2.543,5.246,2.846
1704214800,130719,53.0,NA,40.867,NA,995.75,NA,1.892,0.059,5.624,1.179,5.921,1.368
1705683600,130719,51.8,NA,30.0,NA,990.323,NA,6.878,3.579,14.489,7.377,15.46,8.027
1707904800,130719,46.867,NA,41.166,NA,992.13,NA,0.979,0.079,4.249,2.519,4.658,2.925
1717102800,130719,25.334,NA,88.433,NA,992.179,NA,0.0,0.0,0.228,0.174,0.348,0.284
1717081200,130719,38.8,NA,81.934,NA,993.799,NA,0.062,0.003,0.877,0.595,1.028,0.769
1714024800,130719,60.2,NA,45.034,NA,995.104,NA,0.0,0.0,0.48,0.065,0.691,0.131
1703782800,130719,60.933,NA,43.8,NA,980.532,NA,1.622,0.237,4.668,2.784,5.103,3.055
1708304400,130719,34.5,NA,42.508,NA,987.837,NA,0.0,0.0,0.387,0.026,0.651,0.062
1708300800,130719,32.2,NA,43.733,NA,987.282,NA,0.0,0.0,0.076,0.0,0.194,0.003
1714662000,130719,33.383,NA,93.583,NA,987.312,NA,2.253,2.258,4.622,4.301,4.796,4.463
1714611600,130719,48.633,NA,78.233,NA,985.524,NA,3.449,3.124,6.399,5.793,6.672,5.978
1714629600,130719,70.133,NA,68.3,NA,985.88,NA,7.811,6.732,15.958,13.418,17.248,14.355
1708527600,130719,32.033,NA,56.533,NA,993.452,NA,3.866,2.791,7.449,5.833,7.994,6.242
1703995200,130719,61.0,NA,41.867,NA,986.967,NA,3.856,2.214,9.401,5.861,11.132,6.563
1710270000,130719,21.834,NA,73.334,NA,986.095,NA,6.471,4.82,13.319,10.404,14.239,11.333
1710248400,130719,41.966,NA,51.5,NA,989.779,NA,0.163,0.084,1.91,0.683,2.204,0.915
1703408400,130719,72.367,NA,54.067,NA,995.503,NA,16.816,11.021,25.644,20.474,27.236,21.553
1706968800,130719,65.5,NA,38.9,NA,991.333,NA,4.043,2.514,9.669,6.023,12.517,6.991
1706983200,130719,41.166,NA,53.367,NA,989.042,NA,1.01,0.193,4.268,3.2,4.651,3.546
1715266800,130719,58.433,NA,76.5,NA,975.818,NA,0.046,0.026,0.637,0.367,0.765,0.548
1708066800,130719,54.767,NA,40.0,NA,991.699,NA,0.0,0.0,0.323,0.014,0.604,0.081
1702141200,130719,70.5,NA,64.5,NA,984.032,NA,1.383,0.821,3.877,3.293,4.114,3.46
