time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm_a,pm10.0_atm_b
1715205600,83761,52.183,NA,85.417,NA,979.487,NA,6.5,5.934,9.766,8.744,10.255,9.573
1715162400,83761,72.233,NA,70.233,NA,980.916,NA,3.893,3.586,6.36,5.742,6.784,6.413
1716537600,83761,65.867,NA,70.567,NA,986.504,NA,1.567,1.305,2.893,2.492,3.081,3.093
1716555600,83761,66.267,NA,75.1,NA,987.884,NA,11.907,11.231,17.313,16.325,18.035,17.423
1714204800,83761,60.0,NA,69.034,NA,990.826,NA,18.975,16.791,25.734,22.868,26.425,23.814
1712833200,83761,80.666,NA,66.0,NA,973.448,NA,10.122,8.691,13.921,11.716,14.414,12.332
1706306400,83761,64.334,NA,54.4,NA,994.486,NA,3.718,3.171,5.234,4.403,5.335,4.59
1706227200,83761,83.733,NA,62.833,NA,984.855,NA,1.393,1.11,2.545,1.915,2.713,2.091
1711562400,83761,54.9,NA,48.466,NA,992.976,NA,6.447,5.426,10.447,8.848,11.151,9.654
1716242400,83761,31.267,NA,93.233,NA,986.01,NA,6.579,5.471,8.764,7.213,8.994,7.514
1705755600,83761,49.633,NA,10.067,NA,1003.876,NA,7.607,5.54,12.386,9.447,13.752,12.538
1704740400,83761,55.4,NA,42.534,NA,995.972,NA,9.563,8.216,14.685,14.261,15.459,15.93
1709607600,83761,52.267,NA,69.133,NA,987.881,NA,8.389,7.08,12.663,10.624,13.171,11.251
1709632800,83761,65.466,NA,63.1,NA,987.429,NA,9.389,8.216,14.005,12.105,14.78,12.916
1709654400,83761,63.667,NA,69.133,NA,987.466,NA,9.498,8.046,14.052,11.88,14.713,12.641
1711908000,83761,65.733,NA,65.434,NA,986.511,NA,21.474,19.797,32.532,30.818,36.389,34.29
1711875600,83761,68.0,NA,59.334,NA,985.648,NA,21.814,19.986,32.731,31.03,36.635,34.605
1711890000,83761,74.8,NA,56.3,NA,986.942,NA,21.797,20.541,34.33,33.28,39.407,38.295
1710165600,83761,46.4,NA,45.044,NA,998.635,NA,1.131,0.665,1.896,1.349,2.025,1.755
1711627200,83761,58.433,NA,38.566,NA,996.861,NA,10.815,9.176,15.502,13.736,16.284,15.811
1711645200,83761,36.233,NA,55.6,NA,995.072,NA,6.372,5.56,9.429,8.379,9.806,9.236
1714806000,83761,73.767,NA,73.966,NA,987.266,NA,16.018,14.813,23.548,21.788,24.572,22.808
1714827600,83761,72.667,NA,73.434,NA,988.486,NA,8.091,7.296,12.022,10.985,12.522,11.762
1714860000,83761,62.133,NA,81.466,NA,985.612,NA,7.572,6.905,11.06,9.72,11.405,10.189
1714863600,83761,62.934,NA,81.4,NA,985.329,NA,7.79,6.888,11.291,9.683,11.796,10.203
1714802400,83761,74.133,NA,74.534,NA,987.834,NA,20.09,19.114,30.537,29.331,33.16,31.578
1713783600,83761,59.466,NA,42.867,NA,995.423,NA,9.662,8.328,13.382,12.026,13.859,12.833
1713790800,83761,47.933,NA,55.7,NA,995.909,NA,5.406,4.806,7.664,6.839,7.98,7.425
1713765600,83761,58.534,NA,43.966,NA,994.342,NA,8.742,7.234,11.624,10.406,11.955,11.444
1713682800,83761,54.1,NA,45.933,NA,994.197,NA,3.51,2.772,5.163,4.177,5.441,4.633
1715493600,83761,58.666,NA,60.2,NA,985.909,NA,12.423,10.533,16.216,13.808,16.758,14.684
1716354000,83761,53.733,NA,80.434,NA,985.248,NA,8.712,7.412,11.535,9.62,11.893,10.023
1716328800,83761,38.4,NA,93.534,NA,983.958,NA,8.943,7.749,11.836,9.905,12.171,10.191
1716256800,83761,52.5,NA,80.267,NA,986.633,NA,10.127,8.692,13.848,11.744,14.149,12.213
1716332400,83761,40.367,NA,92.2,NA,983.599,NA,10.805,8.899,14.286,11.575,14.789,12.114
1716264000,83761,57.167,NA,77.233,NA,986.672,NA,12.967,11.107,17.561,14.905,18.056,15.448
1717293600,83761,67.5,NA,72.2,NA,990.09,NA,10.755,9.432,14.34,12.744,14.7,13.212
1715720400,83761,69.1,NA,73.0,NA,979.518,NA,4.994,4.407,6.736,5.783,7.07,6.121
1715659200,83761,61.567,NA,71.0,NA,984.628,NA,5.812,4.846,7.932,6.532,8.197,6.823
1714467600,83761,74.367,NA,69.534,NA,986.067,NA,3.901,3.224,5.564,4.713,5.903,5.014
1714489200,83761,57.4,NA,72.5,NA,988.165,NA,3.521,2.995,5.134,4.272,5.321,4.534
1714903200,83761,70.966,NA,70.333,NA,987.663,NA,8.245,7.424,12.301,11.264,12.872,12.123
1714950000,83761,40.967,NA,83.633,NA,988.198,NA,4.22,3.498,5.749,4.776,6.101,5.271
1714921200,83761,54.367,NA,80.067,NA,989.84,NA,3.845,3.159,5.319,4.341,5.515,4.546
1716800400,83761,71.797,NA,70.072,NA,976.342,NA,1.434,1.145,2.593,2.143,2.795,2.501
1708099200,83761,36.567,NA,43.1,NA,991.385,NA,3.615,2.651,5.161,4.076,5.348,4.547
1708473600,83761,37.233,NA,50.667,NA,996.535,NA,2.609,2.066,3.869,3.138,4.094,3.653
1708527600,83761,36.034,NA,54.6,NA,995.411,NA,7.104,5.999,9.857,8.541,10.318,9.332
1717614000,83761,53.0,NA,89.1,NA,979.055,NA,10.399,9.261,14.688,12.79,15.228,13.369
1717128000,83761,47.667,NA,68.5,NA,995.794,NA,5.338,4.46,7.428,6.163,7.774,6.632
1716447600,83761,71.434,NA,73.2,NA,987.576,NA,9.818,9.375,15.572,15.108,16.587,16.215
1716480000,83761,53.3,NA,80.6,NA,987.805,NA,6.992,6.492,10.462,9.483,10.904,9.951
1716750000,83761,68.534,NA,75.333,NA,977.589,NA,4.167,3.915,6.729,6.162,7.21,6.684
1713639600,83761,28.0,NA,58.466,NA,994.67,NA,0.401,0.229,0.827,0.589,0.889,0.762
1707732000,83761,56.4,NA,42.066,NA,986.795,NA,17.845,15.049,27.322,25.404,29.009,28.428
1705888800,83761,45.966,NA,24.967,NA,1007.053,NA,10.39,8.402,14.614,12.154,15.68,14.582
1703858400,83761,64.5,NA,43.433,NA,983.256,NA,4.324,3.578,6.801,5.847,7.225,6.493
1703880000,83761,63.0,NA,43.7,NA,983.351,NA,3.112,2.457,4.536,3.671,4.712,4.012
1712383200,83761,62.466,NA,41.3,NA,994.89,NA,7.802,6.435,11.137,9.909,11.834,11.087
1706518800,83761,71.534,NA,38.534,NA,994.935,NA,0.425,0.074,0.915,0.424,0.983,0.492
1706558400,83761,61.4,NA,42.7,NA,995.394,NA,6.17,4.986,9.059,7.899,9.376,8.422
1703955600,83761,67.433,NA,44.966,NA,987.237,NA,0.317,0.287,0.57,0.532,0.656,0.722
1703894400,83761,63.9,NA,43.2,NA,985.138,NA,5.514,4.479,8.348,7.088,8.799,7.933
1706778000,83761,63.034,NA,39.533,NA,993.536,NA,12.623,10.587,19.353,17.778,20.63,20.18
1703408400,83761,71.0,NA,55.933,NA,997.461,NA,19.389,17.959,27.602,26.337,28.919,28.502
1703390400,83761,71.0,NA,55.4,NA,997.678,NA,18.799,17.077,26.787,25.48,27.982,27.899
1703437200,83761,65.233,NA,61.533,NA,997.665,NA,13.129,11.602,17.495,15.968,18.166,17.029
1712282400,83761,67.1,NA,44.7,NA,985.115,NA,0.0,0.0,0.053,0.032,0.088,0.109
1712289600,83761,67.267,NA,44.2,NA,985.898,NA,0.083,0.027,0.322,0.131,0.372,0.212
1709906400,83761,71.067,NA,57.233,NA,989.519,NA,6.225,5.409,9.383,8.393,9.792,8.794
1702296000,83761,56.966,NA,39.7,NA,995.438,NA,3.973,3.295,6.494,5.87,6.899,6.845
1707220800,83761,61.267,NA,38.334,NA,995.22,NA,17.672,15.58,28.52,26.936,30.398,31.22
1710907200,83761,34.7,NA,51.233,NA,982.239,NA,5.221,4.41,7.601,6.604,8.069,7.415
1710928800,83761,44.9,NA,48.567,NA,982.688,NA,5.997,4.928,8.43,7.11,8.928,7.867
1712509200,83761,35.334,NA,63.533,NA,991.776,NA,0.33,0.106,0.72,0.416,0.746,0.504
1704405600,83761,39.467,NA,40.767,NA,1000.369,NA,3.525,2.628,4.954,3.784,5.226,4.212
1711011600,83761,34.566,NA,36.467,NA,996.634,NA,1.532,0.98,2.346,1.698,2.542,2.096
1711004400,83761,33.4,NA,36.7,NA,996.226,NA,1.748,1.203,2.743,1.962,2.986,2.231
1711047600,83761,24.8,NA,47.033,NA,997.159,NA,2.846,2.135,4.279,3.26,4.552,3.719
1709330400,83761,67.8,NA,46.834,NA,994.505,NA,6.993,5.716,9.758,8.272,10.303,9.157
1710057600,83761,48.8,NA,42.867,NA,986.488,NA,4.046,3.134,5.669,4.571,6.033,5.061
1710097200,83761,37.567,NA,46.066,NA,990.781,NA,1.76,1.301,2.501,1.982,2.63,2.293
1711386000,83761,25.067,NA,69.5,NA,988.609,NA,3.04,2.305,4.301,3.393,4.518,3.865
1703368800,83761,70.133,NA,53.633,NA,996.473,NA,19.591,18.28,28.345,27.516,29.87,30.006
1708192800,83761,50.066,NA,27.834,NA,995.18,NA,11.18,9.031,16.457,13.936,17.495,15.923
1706464800,83761,79.066,NA,39.933,NA,985.352,NA,1.578,1.196,2.334,1.813,2.413,1.941
1706446800,83761,78.067,NA,40.6,NA,981.615,NA,0.076,0.302,0.353,0.507,0.373,0.55
1702382400,83761,56.3,NA,35.733,NA,1000.823,NA,7.194,6.543,11.909,10.7,12.961,12.736
1710597600,83761,60.633,NA,51.8,NA,988.643,NA,5.989,5.333,8.651,7.69,9.076,8.466
1710219600,83761,41.433,NA,49.767,NA,992.0,NA,2.297,1.83,3.404,2.807,3.633,3.241
1710205200,83761,36.2,NA,52.8,NA,993.049,NA,3.03,2.406,4.404,3.501,4.59,3.876
1712548800,83761,31.1,NA,64.233,NA,987.005,NA,0.37,0.067,0.756,0.378,0.835,0.507
1711774800,83761,51.966,NA,55.633,NA,988.248,NA,18.316,15.462,24.628,21.166,25.451,22.666
1711782000,83761,55.633,NA,52.2,NA,986.545,NA,17.258,14.331,23.072,19.767,23.983,21.093
1711796400,83761,43.934,NA,55.034,NA,983.905,NA,5.428,4.486,7.444,6.194,7.814,6.622
1709402400,83761,62.967,NA,56.666,NA,993.862,NA,8.345,7.194,11.575,10.309,12.049,11.091
1709384400,83761,72.166,NA,51.0,NA,994.415,NA,8.645,8.215,15.849,15.83,17.63,19.105
1709370000,83761,72.0,NA,50.3,NA,992.482,NA,9.37,8.784,17.047,17.465,18.476,20.135
1712689200,83761,64.5,NA,70.0,NA,988.478,NA,12.346,10.395,17.075,14.389,17.531,15.268
1712635200,83761,61.233,NA,68.966,NA,989.917,NA,12.498,10.576,16.687,14.178,17.264,14.944
1707127200,83761,43.633,NA,39.4,NA,987.247,NA,4.206,3.219,6.712,5.495,7.393,7.022
1707170400,83761,34.4,NA,55.2,NA,988.538,NA,8.434,7.661,13.129,12.372,14.328,13.938
