time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm_a,pm10.0_atm_b
1717628400,120311,51.4,NA,86.166,NA,977.317,NA,6.899,5.652,16.098,13.008,17.159,14.49
1715796000,120311,59.033,NA,77.533,NA,980.032,NA,0.0,0.0,0.071,0.0,0.127,0.0
1715767200,120311,73.6,NA,70.9,NA,978.15,NA,0.982,0.0,3.917,1.085,4.259,1.581
1713038400,120311,25.067,NA,77.367,NA,991.721,NA,0.0,0.0,0.002,0.0,0.005,0.0
1715918400,120311,56.367,NA,77.133,NA,983.701,NA,7.382,4.097,16.416,7.636,17.637,8.59
1715950800,120311,71.1,NA,73.566,NA,985.187,NA,4.466,1.639,8.748,4.818,9.501,5.243
1708138800,120311,59.0,NA,35.933,NA,987.59,NA,0.303,0.0,3.035,0.0,3.45,0.003
1708200000,120311,36.0,NA,37.4,NA,993.28,NA,3.444,0.0,6.199,0.026,6.941,0.114
1708174800,120311,55.867,NA,31.733,NA,993.147,NA,6.415,0.006,15.096,0.967,16.87,1.439
1708135200,120311,59.833,NA,36.367,NA,987.157,NA,1.829,0.0,4.5,0.0,4.895,0.018
1705910400,120311,49.833,NA,25.3,NA,1004.564,NA,1.805,0.004,3.885,0.846,4.454,1.275
1717606800,120311,50.733,NA,88.533,NA,980.054,NA,2.995,2.117,6.254,5.057,6.626,5.444
1708966800,120311,28.634,NA,74.633,NA,985.103,NA,7.161,0.502,14.506,3.129,16.186,3.636
1707004800,120311,49.733,NA,48.466,NA,989.797,NA,2.635,0.0,6.428,1.45,7.016,1.881
1707012000,120311,50.6,NA,46.166,NA,990.178,NA,4.505,0.286,8.724,2.808,10.505,3.308
1704200400,120311,50.0,NA,42.133,NA,998.807,NA,0.0,0.0,1.407,0.003,1.603,0.008
1704229200,120311,47.533,NA,44.033,NA,995.428,NA,0.426,0.0,2.988,0.019,3.26,0.086
1707836400,120311,43.4,NA,48.767,NA,988.024,NA,4.944,0.0,11.072,0.97,14.75,1.5
1707858000,120311,25.767,NA,57.1,NA,988.455,NA,0.0,0.0,0.92,0.0,1.476,0.012
1705359600,120311,38.167,NA,23.533,NA,994.762,NA,0.377,1.385,2.054,4.472,2.468,5.34
1705348800,120311,34.8,NA,25.5,NA,995.199,NA,0.0,0.059,0.398,2.483,0.857,3.201
1716883200,120311,58.133,NA,71.367,NA,985.277,NA,0.0,0.0,0.006,0.0,0.076,0.0
1705532400,120311,30.9,NA,31.066,NA,992.453,NA,0.0,0.0,0.007,0.0,0.03,0.0
1706896800,120311,43.066,NA,54.133,NA,990.837,NA,0.18,0.0,2.147,0.0,2.556,0.024
1703574000,120311,66.9,NA,61.534,NA,988.44,NA,0.0,0.0,0.0,0.0,0.013,0.0
1703581200,120311,65.5,NA,62.334,NA,988.359,NA,0.0,0.0,0.025,0.0,0.1,0.0
1703552400,120311,70.034,NA,59.034,NA,988.518,NA,0.0,0.0,0.0,0.0,0.0,0.0
1703620800,120311,62.0,NA,64.5,NA,987.291,NA,1.248,0.005,4.13,1.095,4.627,1.346
1707490800,120311,46.6,NA,62.266,NA,988.168,NA,13.933,3.414,21.671,7.497,22.902,9.191
1716609600,120311,57.433,NA,78.367,NA,984.098,NA,0.251,0.0,2.277,0.88,2.58,1.177
1705590000,120311,33.433,NA,33.2,NA,991.954,NA,0.0,0.0,0.227,0.0,0.512,0.001
1705611600,120311,28.534,NA,40.766,NA,988.141,NA,0.07,0.0,1.948,0.043,2.292,0.186
1715022000,120311,47.8,NA,83.233,NA,985.568,NA,0.003,0.0,0.265,0.0,0.44,0.003
1714996800,120311,66.233,NA,71.434,NA,988.624,NA,5.311,0.004,9.378,1.621,9.897,2.111
1712628000,120311,54.133,NA,72.767,NA,989.589,NA,13.088,2.805,21.205,5.753,21.999,6.357
1712638800,120311,59.0,NA,69.4,NA,989.181,NA,7.159,0.317,15.046,2.984,16.468,3.392
1712700000,120311,58.667,NA,70.6,NA,987.513,NA,3.433,0.0,6.336,0.524,6.742,0.851
1712656800,120311,63.267,NA,65.867,NA,988.374,NA,8.998,0.499,18.789,3.231,19.714,3.62
1712692800,120311,53.067,NA,74.2,NA,987.509,NA,8.778,1.994,18.481,5.267,19.956,5.876
1717246800,120311,43.0,NA,73.966,NA,993.872,NA,0.003,0.0,1.409,0.192,1.739,0.516
1717232400,120311,49.733,NA,62.966,NA,994.052,NA,0.198,0.0,2.716,0.275,3.042,0.627
1702515600,120311,41.642,NA,41.292,NA,1012.084,NA,9.632,1.443,16.622,3.816,18.147,4.601
1702522800,120311,45.367,NA,39.1,NA,1011.912,NA,15.107,3.056,22.663,6.573,24.727,8.523
1702584000,120311,21.3,NA,57.5,NA,1010.246,NA,4.568,0.217,10.434,2.604,14.238,3.173
1716195600,120311,65.8,NA,71.5,NA,987.764,NA,8.976,4.373,18.744,8.279,19.74,9.761
1710608400,120311,33.367,NA,68.4,NA,985.46,NA,0.0,0.0,0.343,0.0,0.554,0.0
1715590800,120311,55.466,NA,62.9,NA,986.181,NA,0.675,0.0,3.505,0.004,3.835,0.04
1715637600,120311,31.133,NA,85.233,NA,982.859,NA,2.867,0.216,6.019,2.329,6.377,2.708
1715612400,120311,32.566,NA,85.267,NA,986.379,NA,1.623,0.026,4.298,1.339,4.588,1.625
1716130800,120311,36.033,NA,90.066,NA,989.445,NA,1.742,0.766,4.48,3.455,4.714,3.667
1711990800,120311,45.133,NA,79.666,NA,983.428,NA,2.709,0.082,5.181,1.305,5.47,1.526
1711947600,120311,67.1,NA,66.334,NA,981.244,NA,8.347,0.492,17.608,3.1,18.703,3.527
1716336000,120311,43.5,NA,88.0,NA,983.185,NA,4.218,3.252,7.271,6.102,7.48,6.442
1716375600,120311,67.0,NA,74.733,NA,984.901,NA,6.566,3.606,13.012,6.521,14.841,7.079
1706598000,120311,59.8,NA,40.933,NA,992.586,NA,4.652,0.821,9.919,3.748,12.288,4.497
1706616000,120311,62.933,NA,39.5,NA,990.308,NA,1.877,0.003,5.014,1.53,5.386,1.912
1713272400,120311,37.267,NA,74.434,NA,990.859,NA,0.272,0.0,2.128,0.009,2.434,0.024
1713240000,120311,41.8,NA,72.717,NA,989.518,NA,0.814,0.0,3.061,0.03,3.313,0.091
1708394400,120311,40.067,NA,44.633,NA,995.862,NA,5.486,0.001,13.2,0.484,15.627,1.022
1708444800,120311,30.733,NA,57.166,NA,998.34,NA,0.266,0.0,2.678,0.0,3.142,0.002
1708466400,120311,21.334,NA,62.767,NA,995.523,NA,0.175,0.0,2.098,0.002,2.336,0.004
1709308800,120311,34.867,NA,48.0,NA,997.844,NA,0.0,0.0,0.053,0.0,0.18,0.0
1714496400,120311,38.8,NA,81.434,NA,987.888,NA,0.0,0.0,0.111,0.0,0.199,0.0
1714485600,120311,67.0,NA,72.1,NA,987.887,NA,0.0,0.0,0.131,0.0,0.237,0.0
1714492800,120311,45.7,NA,79.5,NA,987.968,NA,0.731,0.0,1.673,0.036,1.784,0.122
1714456800,120311,65.6,NA,71.034,NA,985.747,NA,0.0,0.0,0.163,0.0,0.288,0.0
1710680400,120311,39.817,NA,50.092,NA,983.304,NA,0.0,0.0,0.0,0.0,0.0,0.0
1710716400,120311,30.0,NA,51.633,NA,983.974,NA,0.0,0.0,0.0,0.0,0.0,0.0
1710712800,120311,26.1,NA,55.5,NA,982.969,NA,0.0,0.0,0.0,0.0,0.0,0.0
1710709200,120311,26.133,NA,57.734,NA,982.208,NA,0.0,0.0,0.0,0.0,0.0,0.0
1706439600,120311,67.966,NA,49.767,NA,978.39,NA,0.0,0.0,0.132,0.0,0.304,0.011
1702468800,120311,49.966,NA,38.3,NA,1009.857,NA,0.64,0.0,3.614,0.036,3.887,0.192
1703862000,120311,56.6,NA,46.733,NA,983.377,NA,0.005,0.0,1.663,0.007,1.973,0.041
1715050800,120311,67.333,NA,74.8,NA,983.667,NA,11.764,1.869,22.681,5.482,24.111,6.364
1711094400,120311,32.5,NA,40.867,NA,993.058,NA,0.0,0.0,0.567,0.0,0.952,0.0
1704636000,120311,63.8,NA,43.034,NA,984.921,NA,1.336,0.0,4.518,0.263,4.957,0.619
1716422400,120311,60.1,NA,82.7,NA,985.22,NA,11.536,7.877,21.486,17.449,22.662,18.548
1716458400,120311,69.867,NA,72.0,NA,988.131,NA,7.542,3.828,18.752,9.16,20.116,11.383
1716454800,120311,68.3,NA,71.9,NA,987.875,NA,6.865,3.296,16.817,7.337,17.962,8.328
1706040000,120311,66.733,NA,51.367,NA,997.649,NA,2.986,0.051,6.096,2.088,6.495,2.433
1710799200,120311,36.633,NA,42.767,NA,991.221,NA,0.0,0.0,0.013,0.0,0.099,0.0
1706976000,120311,52.166,NA,47.2,NA,993.429,NA,2.857,0.033,6.381,0.978,7.293,1.347
1706245200,120311,74.233,NA,64.534,NA,983.759,NA,0.0,0.0,0.0,0.0,0.0,0.0
1706270400,120311,62.633,NA,57.433,NA,990.631,NA,0.0,0.0,0.124,0.0,0.224,0.006
1711706400,120311,42.1,NA,52.867,NA,990.053,NA,0.412,0.0,2.864,0.0,3.222,0.001
1711699200,120311,37.534,NA,55.467,NA,990.043,NA,1.044,0.0,3.679,0.0,4.06,0.009
1711717200,120311,40.133,NA,57.034,NA,990.987,NA,5.736,0.007,12.521,1.245,15.059,1.817
1711735200,120311,26.733,NA,77.4,NA,989.827,NA,6.036,0.603,12.435,3.28,14.587,3.788
1707688800,120311,39.934,NA,54.6,NA,987.678,NA,4.045,0.0,8.296,0.233,9.371,0.57
1704337200,120311,49.8,NA,42.833,NA,992.358,NA,0.085,0.0,2.957,0.002,3.692,0.03
1704380400,120311,42.791,NA,41.211,NA,999.217,NA,0.0,0.0,0.166,0.0,0.214,0.0
1704391200,120311,35.766,NA,46.8,NA,998.633,NA,0.0,0.0,0.0,0.0,0.017,0.0
1702634400,120311,47.667,NA,37.067,NA,1007.665,NA,13.099,2.474,20.596,5.534,22.732,6.851
1702623600,120311,42.1,NA,38.966,NA,1008.054,NA,15.075,2.981,22.743,6.184,24.778,7.997
1711418400,120311,15.666,NA,69.867,NA,980.747,NA,0.0,0.0,0.037,0.0,0.133,0.0
1708736400,120311,43.3,NA,53.834,NA,979.189,NA,4.895,0.0,8.642,0.29,9.444,0.558
1709715600,120311,69.0,NA,65.066,NA,985.282,NA,0.157,0.0,2.925,0.004,3.426,0.019
1709690400,120311,67.0,NA,64.934,NA,987.019,NA,0.0,0.0,0.155,0.0,0.318,0.0
1706742000,120311,54.034,NA,48.867,NA,994.582,NA,5.112,1.231,11.931,5.104,14.194,6.319
1706695200,120311,63.233,NA,46.367,NA,991.282,NA,7.122,2.24,19.496,9.524,22.508,12.765
1712138400,120311,58.4,NA,47.567,NA,970.919,NA,0.0,0.0,0.0,0.0,0.0,0.0
1715400000,120311,53.0,NA,61.8,NA,984.583,NA,1.609,0.002,3.953,0.213,4.296,0.316
1715461200,120311,26.5,NA,77.733,NA,981.823,NA,0.0,0.0,0.0,0.0,0.003,0.0
1715450400,120311,27.767,NA,79.267,NA,981.97,NA,0.0,0.0,0.011,0.0,0.071,0.0
1713106800,120311,33.7,NA,79.867,NA,984.99,NA,0.276,0.0,2.021,0.026,2.269,0.102
1713060000,120311,44.4,NA,60.567,NA,990.162,NA,7.452,0.297,14.944,2.188,17.043,2.515
1708063200,120311,52.066,NA,42.5,NA,993.547,NA,0.033,0.0,1.122,0.0,1.428,0.0
1704517200,120311,44.0,NA,43.534,NA,988.897,NA,3.421,0.086,6.931,0.968,7.815,1.241
1704542400,120311,59.633,NA,40.967,NA,981.517,NA,5.295,0.123,11.109,1.765,13.195,2.135
1702144800,120311,64.267,NA,66.233,NA,984.683,NA,3.932,0.655,8.296,2.659,9.283,3.246
1704301200,120311,46.4,NA,49.2,NA,990.017,NA,9.352,1.898,20.216,5.321,21.968,6.726
